sample	method	haplotype	contig	switch_position	from_type	to_type	from_kmer_count	to_kmer_count	from_block_length	to_block_length	chr	ref_position	strand
T2T00	hifiasm_trio	haplotype1	h1tg000001l	10186025	paternal	maternal	5	90	13039	159390	chr14	85008473.0	-
T2T00	hifiasm_trio	haplotype1	h1tg000001l	41980944	maternal	paternal	8	6	108799	40354	chr14	53372066.0	-
T2T00	hifiasm_trio	haplotype1	h1tg000001l	42025517	paternal	maternal	6	272	40354	209139	chr14	53158974.0	-
T2T00	hifiasm_trio	haplotype1	h1tg000001l	66727691	maternal	paternal	47	5	37307	24618	chr14	28671876.0	-
T2T00	hifiasm_trio	haplotype1	h1tg000001l	70725892	paternal	maternal	6	60	49136	90116	chr14	24613241.0	-
T2T00	hifiasm_trio	haplotype1	h1tg000001l	83381969	paternal	maternal	15	27	28436	30098	chr14	12032880.0	-
T2T00	hifiasm_trio	haplotype1	h1tg000001l	83486469	maternal	paternal	25	10	30586	19695	chr14	11938900.0	-
T2T00	hifiasm_trio	haplotype1	h1tg000001l	83506823	paternal	maternal	10	5	19695	4240	chr14	11934007.0	-
T2T00	hifiasm_trio	haplotype1	h1tg000001l	83554902	maternal	paternal	44	5	34630	9304	chr14	11880930.0	-
T2T00	hifiasm_trio	haplotype1	h1tg000001l	83803226	maternal	paternal	5	5	868	3244	chr14	11638968.0	-
T2T00	hifiasm_trio	haplotype1	h1tg000003l	200775	maternal	paternal	10	8	34017	34832	chr8	46045550.0	+
T2T00	hifiasm_trio	haplotype1	h1tg000003l	254386	maternal	paternal	5	18	5607	44800	chr8	46099134.0	+
T2T00	hifiasm_trio	haplotype1	h1tg000003l	15520277	maternal	paternal	39	12	180594	5698	chr8	61357274.0	+
T2T00	hifiasm_trio	haplotype1	h1tg000003l	21458740	paternal	maternal	6	9	28307	129552	chr8	67292722.0	+
T2T00	hifiasm_trio	haplotype1	h1tg000004l	5282762	maternal	paternal	115	5	284973	51284	chr18	75180049.0	-
T2T00	hifiasm_trio	haplotype1	h1tg000004l	34189827	paternal	maternal	5	17	35539	98083	chr18	46270419.0	-
T2T00	hifiasm_trio	haplotype1	h1tg000005l	6698010	maternal	paternal	18	5	188813	18049	chr9	44660888.0	+
