#sample	chromosome	dataset_name0	dataset_name1	file_name0	file_name1	intersection_blocks	covered_variants	all_assessed_pairs	all_switches	all_switch_rate	all_switchflips	all_switchflip_rate	blockwise_hamming	blockwise_hamming_rate	blockwise_diff_genotypes	blockwise_diff_genotypes_rate	largestblock_assessed_pairs	largestblock_switches	largestblock_switch_rate	largestblock_switchflips	largestblock_switchflip_rate	largestblock_hamming	largestblock_hamming_rate	largestblock_diff_genotypes	largestblock_diff_genotypes_rate	het_variants0	only_snvs
SAMPLE	chr1	giab	assembly	assembly/qc/phased_hprc/HG01361/giab.filtered.vcf.gz	assembly/qc/phased_hprc/HG01361/assembly.filtered.vcf.gz	1	31212	31211	1615	0.05174457723238602	947/334	0.041043221940982345	14797	0.474080481865949	0	0.0	31211	1615	0.05174457723238602	947/334	0.041043221940982345	14797	0.474080481865949	0	0.0	121728	0
SAMPLE	chr10	giab	assembly	assembly/qc/phased_hprc/HG01361/giab.filtered.vcf.gz	assembly/qc/phased_hprc/HG01361/assembly.filtered.vcf.gz	1	21618	21617	1161	0.053707730027293336	631/265	0.04144885969375954	10598	0.4902396151355352	0	0.0	21617	1161	0.053707730027293336	631/265	0.04144885969375954	10598	0.4902396151355352	0	0.0	74723	0
SAMPLE	chr11	giab	assembly	assembly/qc/phased_hprc/HG01361/giab.filtered.vcf.gz	assembly/qc/phased_hprc/HG01361/assembly.filtered.vcf.gz	1	18381	18380	1049	0.05707290533188248	595/227	0.04472252448313384	8753	0.4761982481910669	0	0.0	18380	1049	0.05707290533188248	595/227	0.04472252448313384	8753	0.4761982481910669	0	0.0	69883	0
SAMPLE	chr12	giab	assembly	assembly/qc/phased_hprc/HG01361/giab.filtered.vcf.gz	assembly/qc/phased_hprc/HG01361/assembly.filtered.vcf.gz	1	19590	19589	1163	0.059370054622492216	679/242	0.047016182551431925	9463	0.4830525778458397	0	0.0	19589	1163	0.059370054622492216	679/242	0.047016182551431925	9463	0.4830525778458397	0	0.0	73578	0
SAMPLE	chr13	giab	assembly	assembly/qc/phased_hprc/HG01361/giab.filtered.vcf.gz	assembly/qc/phased_hprc/HG01361/assembly.filtered.vcf.gz	1	15142	15141	762	0.05032692688725976	462/150	0.04042005151575193	6891	0.45509179764892355	0	0.0	15141	762	0.05032692688725976	462/150	0.04042005151575193	6891	0.45509179764892355	0	0.0	56967	0
SAMPLE	chr14	giab	assembly	assembly/qc/phased_hprc/HG01361/giab.filtered.vcf.gz	assembly/qc/phased_hprc/HG01361/assembly.filtered.vcf.gz	1	13293	13292	749	0.056349684020463434	433/158	0.04446283478784231	6474	0.4870232453170842	0	0.0	13292	749	0.056349684020463434	433/158	0.04446283478784231	6474	0.4870232453170842	0	0.0	80268	0
SAMPLE	chr15	giab	assembly	assembly/qc/phased_hprc/HG01361/giab.filtered.vcf.gz	assembly/qc/phased_hprc/HG01361/assembly.filtered.vcf.gz	1	13640	13639	797	0.05843536916196202	443/177	0.045457878143558915	6634	0.4863636363636364	0	0.0	13639	797	0.05843536916196202	443/177	0.045457878143558915	6634	0.4863636363636364	0	0.0	73841	0
SAMPLE	chr16	giab	assembly	assembly/qc/phased_hprc/HG01361/giab.filtered.vcf.gz	assembly/qc/phased_hprc/HG01361/assembly.filtered.vcf.gz	1	13541	13540	921	0.06802067946824225	533/194	0.05369276218611521	5936	0.4383723506388007	0	0.0	13540	921	0.06802067946824225	533/194	0.05369276218611521	5936	0.4383723506388007	0	0.0	55083	0
SAMPLE	chr17	giab	assembly	assembly/qc/phased_hprc/HG01361/giab.filtered.vcf.gz	assembly/qc/phased_hprc/HG01361/assembly.filtered.vcf.gz	1	12705	12704	738	0.0580919395465995	438/150	0.04628463476070529	5793	0.45596221959858324	0	0.0	12704	738	0.0580919395465995	438/150	0.04628463476070529	5793	0.45596221959858324	0	0.0	50689	0
SAMPLE	chr18	giab	assembly	assembly/qc/phased_hprc/HG01361/giab.filtered.vcf.gz	assembly/qc/phased_hprc/HG01361/assembly.filtered.vcf.gz	1	11751	11750	670	0.05702127659574468	380/145	0.04468085106382979	5421	0.4613224406433495	0	0.0	11750	670	0.05702127659574468	380/145	0.04468085106382979	5421	0.4613224406433495	0	0.0	42144	0
