C	J  inter-chromosomal misjoin
C	j  inter-chromosomal misjoin with both breakpoints ending in centromeres
C	G  long gap on the reference genome
C	g  long gap on the reference genome with both breakpoints ending in centromeres
C	M  closed inversion
C
G	h2tg000005l	182906268	31989920	40565049	+	chr4	193574945	40677310	49270812	8557075	8604769	60
G	h2tg000005l	182906268	44987317	49833965	+	chr4	193574945	55520290	60364591	4836895	4849481	60
M	h2tg000006l	52527686	21691786	22806833	+	chrY	62460029	21929252	23044264	1114665	1115224	60
M	h2tg000006l	52527686	23843046	25374123	-	chrY	62460029	24086549	25606288	1518518	1531958	60
M	h2tg000006l	52527686	26155547	27426201	+	chrY	62460029	26357939	27616692	1257017	1271303	60
G	h2tg000008l	89790989	39141560	41465004	-	chr16	96330374	52099387	54414630	2314059	2324132	60
G	h2tg000008l	89790989	52288410	54037613	-	chr16	96330374	37794989	39557879	1742579	1769072	60
G	h2tg000008l	89790989	52288410	54037613	-	chr16	96330374	37794989	39557879	1742579	1769072	60
G	h2tg000008l	89790989	58272881	62575059	-	chr16	96330374	27416803	31721851	4295172	4309398	60
G	h2tg000011l	183797799	45601604	46656354	+	chr5	182045439	45625978	46686347	1049950	1063516	60
G	h2tg000011l	183797799	52082349	54052133	+	chr5	182045439	50957787	52932924	1966131	1976387	60
J	h2tg000022l	107126620	109117	1191804	+	chr21	45090682	99781	1253177	1038665	1194396	60
J	h2tg000022l	107126620	6235011	7229297	+	chr13	113566686	11879914	12931073	990149	1053291	60
G	h2tg000024l	46654817	4390528	6262644	+	chr9	150617247	42391682	44266330	1855541	1886569	60
G	h2tg000024l	46654817	24266380	27473426	+	chr9	150617247	76484998	79716935	3204147	3233403	60
G	h2tg000041l	37287814	11650647	13796559	+	chr11	135127769	46318029	48471501	2142555	2155407	60
G	h2tg000041l	37287814	22778612	25240377	+	chr11	135127769	54467944	56975119	2447330	2517798	60
# inter-chromosomal misjoins: 1,0
# intra-chromosomal gaps: 6,0
# candidate inversions in the middle: 1,0
# candidate inversions at contig ends: 2,0
