File name::assembly/qc/phased_verkko/TUE_02_03UL/both.mapped_T2T.paf, l.n::5161
haplotype1-0000001	245398328	18003	245391134	+	chr1	248387328	5655	248384188
haplotype1-0000002	78991454	5071	78986775	-	chr18	80542538	163883	80539385
haplotype1-0000004	136566791	4808	136445226	+	chr10	134758134	2986	134656672
haplotype1-0000005	200680242	6432	200674970	+	chr3	201105948	2598	201101349
haplotype1-0000006	83836360	45714	83831684	-	chr17	84276897	2186	84235759
haplotype1-0000007	242664474	5879	242659716	-	chr2	242696752	3349	242694129
haplotype1-0000008	159256231	4515	159249558	-	chr7	160567428	3497	160565235
haplotype1-0000010	99386947	63100	99234397	-	chr15	99753195	128709	99694390
haplotype1-0000011	52703089	176241	52699153	+	chrY	62460029	191858	62454237
haplotype1-0000014	61709164	5993	61574954	-	chr19	61707364	152469	61703816
haplotype1-0000015	145923315	146765	145918274	+	chr8	146259331	2019	146254006
haplotype1-0000016	65611324	105830	65606113	-	chr20	66210255	2680	66107480
haplotype1-0000018	102016679	5334	101793747	-	chr14	101161492	634274	101159374
haplotype1-0000019	137904311	5906	137897731	-	chr11	135127769	1805	135125569
haplotype1-0000020	134052960	4238	133858576	-	chr12	133324548	194128	133322704
haplotype1-0000021	182099431	6075	182095314	+	chr5	182045439	1828	182044327
haplotype1-0000022	191927918	8779	191891641	+	chr4	193574945	3227	193491054
haplotype1-0000023	92123731	6623	91912985	-	chr16	96330374	26094	96327892
haplotype1-0000024	172159936	104358	172153453	+	chr6	172126628	2875	172123986
haplotype1-0000025	138884307	153591	138878138	-	chr9	150617247	3538	150547900
haplotype2-0000045	245133717	7943	245126665	+	chr1	248387328	2717	248383457
haplotype2-0000047	79952054	5111	79947589	-	chr18	80542538	164124	80538994
haplotype2-0000048	136628182	5560	136623741	+	chr10	134758134	3247	134755100
haplotype2-0000049	200623752	5949	200608032	+	chr3	201105948	2423	201088876
haplotype2-0000050	83961448	208655	83958473	-	chr17	84276897	2180	83925851
haplotype2-0000051	242536137	7283	242530535	-	chr2	242696752	3127	242694129
haplotype2-0000052	159962893	5271	159956579	-	chr7	160567428	3069	160565748
haplotype2-0000056	154363537	131177	154355807	+	chrX	154259566	102143	154255892
haplotype2-0000057	64201663	106473	64194454	-	chr20	66210255	2327	66107372
haplotype2-0000059	50008979	918400	50004601	+	chr22	51324926	2197785	51322096
haplotype2-0000060	145735667	276666	145731173	+	chr8	146259331	131173	146254006
haplotype2-0000061	62408664	6496	62402996	-	chr19	61707364	2037	61704033
haplotype2-0000062	183921487	76170	183915230	-	chr5	182045439	1940	181966763
haplotype2-0000063	173072865	7903	172967978	-	chr6	172126628	2875	172124041
haplotype2-0000066	136649847	5188	136643990	-	chr11	135127769	2136	135125199
haplotype2-0000067	133650667	6411	133552019	-	chr12	133324548	95917	133322223
haplotype2-0000068	191590024	6551	191583749	+	chr4	193574945	2971	193573028
haplotype2-0000069	92814533	5231	92807783	-	chr16	96330374	3537	96327739
haplotype2-0000070	43812684	6586	42824331	-	chr21	45090682	920789	45086134
haplotype2-0000071	136367677	4434	136362196	-	chr9	150617247	3514	150500240
