sample	contig	chromosome	contig_length	gap_length	ref_length	motif_length	n_gaps	total_gap_length_bed	mean_gap_size	max_gap_size	min_gap_size	gap_density	classification
TUE_02_02UL	haplotype2-0000166	chr1	244213631	69084	248387328	244213631	4	69084	17271.0	46584	7500	0.02	scaffold
TUE_02_02UL	haplotype2-0000144	chr11	136580020	7500	135127769	136580020	1	7500	7500.0	7500	7500	0.01	scaffold
TUE_02_02UL	haplotype2-0000149	chr12	133840758	15000	133324548	133840758	2	15000	7500.0	7500	7500	0.01	scaffold
TUE_02_02UL	haplotype2-0000161	chr14	102278996	101500	101161492	102278996	2	101500	50750.0	100000	1500	0.02	scaffold
TUE_02_02UL	haplotype2-0000164	chr16	92814540	0	96330374	92814540	0	0	0.0	0	0	0.0	contig
TUE_02_02UL	haplotype2-0000153	chr17	83226014	7500	84276897	83226014	1	7500	7500.0	7500	7500	0.01	scaffold
TUE_02_02UL	haplotype2-0000158	chr18	79952078	0	80542538	79952078	0	0	0.0	0	0	0.0	contig
TUE_02_02UL	haplotype2-0000143	chr19	59750129	15000	61707364	59750129	2	15000	7500.0	7500	7500	0.03	scaffold
TUE_02_02UL	haplotype2-0000159	chr2	242644214	15000	242696752	242644214	2	15000	7500.0	7500	7500	0.01	scaffold
TUE_02_02UL	haplotype2-0000148	chr20	65300623	22500	66210255	65300623	3	22500	7500.0	7500	7500	0.05	scaffold
TUE_02_02UL	haplotype2-0000145	chr21	42511941	100000	45090682	42511941	1	100000	100000.0	100000	100000	0.02	scaffold
TUE_02_02UL	haplotype2-0000154	chr3	201202794	20667	201105948	201202794	5	20667	4133.4	7500	1500	0.02	scaffold
TUE_02_02UL	haplotype2-0000139	chr4	191773962	0	193574945	191773962	0	0	0.0	0	0	0.0	contig
TUE_02_02UL	haplotype2-0000147	chr5	181597811	15000	182045439	181597811	2	15000	7500.0	7500	7500	0.01	scaffold
TUE_02_02UL	haplotype2-0000142	chr6	172085121	7500	172126628	172085121	1	7500	7500.0	7500	7500	0.01	scaffold
TUE_02_02UL	haplotype2-0000146	chr7	159021495	7500	160567428	159021495	1	7500	7500.0	7500	7500	0.01	scaffold
TUE_02_02UL	haplotype2-0000152	chr8	145801984	0	146259331	145801984	0	0	0.0	0	0	0.0	contig
TUE_02_02UL	haplotype2-0000150	chr9	138674223	49302	150617247	138674223	8	49302	6162.8	38802	1500	0.06	scaffold
TUE_02_02UL	haplotype2-0000160	chrX	154254582	7500	154259566	154254582	1	7500	7500.0	7500	7500	0.01	scaffold
