sample	contig	chromosome	contig_length	gap_length	ref_length	motif_length	n_gaps	total_gap_length_bed	mean_gap_size	max_gap_size	min_gap_size	gap_density	classification
T2T13	haplotype1-0000005	chr1	250271348	75390	248387328	250271348	10	75390	7539.0	46596	1500	0.04	scaffold
T2T13	haplotype2-0000081	chr1	248992217	22500	248387328	248992217	3	22500	7500.0	7500	7500	0.01	scaffold
T2T13	haplotype1-0000015	chr10	136614819	0	134758134	136614819	0	0	0.0	0	0	0.0	contig
T2T13	haplotype2-0000066	chr10	136588959	0	134758134	136588959	0	0	0.0	0	0	0.0	contig
T2T13	haplotype1-0000006	chr11	135933991	7500	135127769	135933991	1	7500	7500.0	7500	7500	0.01	scaffold
T2T13	haplotype2-0000064	chr11	134477033	7500	135127769	134477033	1	7500	7500.0	7500	7500	0.01	scaffold
T2T13	haplotype1-0000008	chr12	133811342	0	133324548	133811342	0	0	0.0	0	0	0.0	contig
T2T13	haplotype2-0000076	chr12	133546671	0	133324548	133546671	0	0	0.0	0	0	0.0	contig
T2T13	haplotype1-0000010	chr15	98354156	204004	99753195	98354156	3	204004	68001.3	100000	7500	0.03	scaffold
T2T13	haplotype1-0000022	chr16	90973850	1500	96330374	90973850	1	1500	1500.0	1500	1500	0.01	scaffold
T2T13	haplotype2-0000084	chr16	90842583	18852	96330374	90842583	1	18852	18852.0	18852	18852	0.01	scaffold
T2T13	haplotype1-0000018	chr17	83161726	9000	84276897	83161726	2	9000	4500.0	7500	1500	0.02	scaffold
T2T13	haplotype2-0000079	chr17	84673538	9000	84276897	84673538	2	9000	4500.0	7500	1500	0.02	scaffold
T2T13	haplotype1-0000007	chr18	79969374	0	80542538	79969374	0	0	0.0	0	0	0.0	contig
T2T13	haplotype2-0000088	chr18	78267439	0	80542538	78267439	0	0	0.0	0	0	0.0	contig
T2T13	haplotype1-0000021	chr19	61750380	0	61707364	61750380	0	0	0.0	0	0	0.0	contig
T2T13	haplotype2-0000080	chr19	61188998	7500	61707364	61188998	1	7500	7500.0	7500	7500	0.02	scaffold
T2T13	haplotype1-0000025	chr2	242380047	0	242696752	242380047	0	0	0.0	0	0	0.0	contig
T2T13	haplotype2-0000067	chr2	241846985	0	242696752	241846985	0	0	0.0	0	0	0.0	contig
T2T13	haplotype1-0000004	chr20	65665022	60868	66210255	65665022	1	60868	60868.0	60868	60868	0.02	scaffold
T2T13	haplotype2-0000063	chr20	68556411	0	66210255	68556411	0	0	0.0	0	0	0.0	contig
T2T13	haplotype1-0000002	chr22	48778448	107500	51324926	48778448	2	107500	53750.0	100000	7500	0.04	scaffold
T2T13	haplotype2-0000074	chr22	47947314	100000	51324926	47947314	1	100000	100000.0	100000	100000	0.02	scaffold
T2T13	haplotype1-0000016	chr3	199552244	0	201105948	199552244	0	0	0.0	0	0	0.0	contig
T2T13	haplotype2-0000077	chr3	200353512	0	201105948	200353512	0	0	0.0	0	0	0.0	contig
T2T13	haplotype1-0000023	chr4	191189136	0	193574945	191189136	0	0	0.0	0	0	0.0	contig
T2T13	haplotype2-0000070	chr4	194814221	7500	193574945	194814221	1	7500	7500.0	7500	7500	0.01	scaffold
T2T13	haplotype1-0000011	chr5	182895846	0	182045439	182895846	0	0	0.0	0	0	0.0	contig
T2T13	haplotype2-0000071	chr5	182870169	67030	182045439	182870169	2	67030	33515.0	59530	7500	0.01	scaffold
T2T13	haplotype1-0000014	chr6	172455371	0	172126628	172455371	0	0	0.0	0	0	0.0	contig
T2T13	haplotype2-0000073	chr6	173065735	0	172126628	173065735	0	0	0.0	0	0	0.0	contig
T2T13	haplotype1-0000012	chr7	161269342	7500	160567428	161269342	1	7500	7500.0	7500	7500	0.01	scaffold
T2T13	haplotype2-0000072	chr7	160871283	107500	160567428	160871283	2	107500	53750.0	100000	7500	0.01	scaffold
T2T13	haplotype1-0000009	chr8	145253291	0	146259331	145253291	0	0	0.0	0	0	0.0	contig
T2T13	haplotype2-0000068	chr8	145965060	7500	146259331	145965060	1	7500	7500.0	7500	7500	0.01	scaffold
T2T13	haplotype1-0000003	chrX	155499359	1500	154259566	155499359	1	1500	1500.0	1500	1500	0.01	scaffold
T2T13	haplotype2-0000062	chrX	155029929	1500	154259566	155029929	1	1500	1500.0	1500	1500	0.01	scaffold
