File name::assembly/qc/phased_hifiasm/TUE_02_03_hifiasm_ont/T2T_contigs.haplotype1.paf, l.n::155
h1tg000001l	133746940	11166	133742223	+	chr12	133324548	3416	133322282
h1tg000002l	200489638	7182	200489625	+	chr3	201105948	2631	201043703
h1tg000003l	65606267	5356	65600496	+	chr20	66210255	2724	66205788
h1tg000004l	79953558	6001	79945823	-	chr18	80542538	164922	80538991
h1tg000005l	61998354	6910	61992465	+	chr19	61707364	2061	61703624
h1tg000007l	172855329	103329	172844821	+	chr6	172126628	2882	172123886
h1tg000008l	99685987	6322	98587627	-	chr14	101161492	3373084	101159045
h1tg000010l	83843943	4634	83837830	-	chr17	84276897	2214	84274189
h1tg000011l	145929730	148401	145916877	+	chr8	146259331	2068	146253993
h1tg000012l	192213317	38773	192206313	-	chr4	193574945	3254	193490696
h1tg000013l	182915928	5231	182908158	-	chr5	182045439	2287	182044180
h1tg000014l	136335128	6799	136328340	-	chr10	134758134	3895	134755004
h1tg000015l	243070169	9183	243063427	-	chr2	242696752	3355	242693050
h1tg000017l	159979456	6445	159969817	-	chr7	160567428	3826	160565462
h1tg000018l	137905490	6769	137898787	+	chr11	135127769	1840	135125239
h1tg000019l	154373222	9750	154368043	-	chrX	154259566	1815	154255206
h1tg000022l	94529622	9480	92967994	-	chr15	99753195	4689067	99748717
h1tg000026l	137652323	130292	137646115	-	chr9	150617247	3570	150576373
h1tg000027l	92992299	5740	92781746	-	chr16	96330374	25639	96327761
