#sample	chromosome	file_name	variants	phased	unphased	singletons	blocks	variant_per_block_median	variant_per_block_avg	variant_per_block_min	variant_per_block_max	variant_per_block_sum	bp_per_block_median	bp_per_block_avg	bp_per_block_min	bp_per_block_max	bp_per_block_sum	heterozygous_variants	heterozygous_snvs	phased_snvs	phased_fraction	phased_snvs_fraction	block_n50
syndip	chr1	assembly/variants/published_herro/phased_verkko/small_variants.dip.vcf.gz	367816	240984	9463	0	1	240984	240984.0	240984	240984	240984	248380281	248380281.0	248380281	248380281	248380281	250447	206074	197086	0.9622155585812567	0.9563845997069014	248380281
syndip	chr2	assembly/variants/published_herro/phased_verkko/small_variants.dip.vcf.gz	350842	224388	568	0	1	224388	224388.0	224388	224388	224388	242689799	242689799.0	242689799	242689799	242689799	224956	184260	183754	0.9974750617898611	0.9972538803864105	242689799
syndip	chr3	assembly/variants/published_herro/phased_verkko/small_variants.dip.vcf.gz	324793	217497	620	0	1	217497	217497.0	217497	217497	217497	201086519	201086519.0	201086519	201086519	201086519	218117	182078	181551	0.997157488870652	0.9971056360460901	201086519
syndip	chr4	assembly/variants/published_herro/phased_verkko/small_variants.dip.vcf.gz	327773	216335	4803	0	1	216335	216335.0	216335	216335	216335	193569703	193569703.0	193569703	193569703	193569703	221138	184795	180629	0.9782805307093309	0.9774561000027057	193569703
syndip	chr5	assembly/variants/published_herro/phased_verkko/small_variants.dip.vcf.gz	292530	195691	0	0	1	195691	195691.0	195691	195691	195691	182041510	182041510.0	182041510	182041510	182041510	195691	162466	162466	1.0	1.0	182041510
syndip	chr6	assembly/variants/published_herro/phased_verkko/small_variants.dip.vcf.gz	284843	183659	542	0	1	183659	183659.0	183659	183659	183659	172105049	172105049.0	172105049	172105049	172105049	184201	152293	151791	0.997057562119641	0.99670372242979	172105049
syndip	chr7	assembly/variants/published_herro/phased_verkko/small_variants.dip.vcf.gz	263286	178845	789	0	1	178845	178845.0	178845	178845	178845	160561912	160561912.0	160561912	160561912	160561912	179634	147453	146721	0.9956077357293163	0.9950357062928527	160561912
syndip	chrX	assembly/variants/published_herro/phased_verkko/small_variants.dip.vcf.gz	131365	131319	46	0	1	131319	131319.0	131319	131319	131319	154202039	154202039.0	154202039	154202039	154202039	131365	99188	99176	0.9996498306245956	0.9998790176230996	154202039
syndip	chr9	assembly/variants/published_herro/phased_verkko/small_variants.dip.vcf.gz	234635	164482	4065	0	1	164482	164482.0	164482	164482	164482	150609641	150609641.0	150609641	150609641	150609641	168547	133455	130858	0.9758820981684634	0.9805402570154734	150609641
syndip	chr8	assembly/variants/published_herro/phased_verkko/small_variants.dip.vcf.gz	255340	169454	973	0	1	169454	169454.0	169454	169454	169454	146242587	146242587.0	146242587	146242587	146242587	170427	143652	142715	0.994290810728347	0.9934772923453903	146242587
