#sample	chromosome	dataset_name0	dataset_name1	file_name0	file_name1	intersection_blocks	covered_variants	all_assessed_pairs	all_switches	all_switch_rate	all_switchflips	all_switchflip_rate	blockwise_hamming	blockwise_hamming_rate	blockwise_diff_genotypes	blockwise_diff_genotypes_rate	largestblock_assessed_pairs	largestblock_switches	largestblock_switch_rate	largestblock_switchflips	largestblock_switchflip_rate	largestblock_hamming	largestblock_hamming_rate	largestblock_diff_genotypes	largestblock_diff_genotypes_rate	het_variants0	only_snvs
SAMPLE	chr1	giab	assembly	assembly/qc/phased_verkko/TUE_02_02UL/giab.filtered.vcf.gz	assembly/qc/phased_verkko/TUE_02_02UL/assembly.filtered.vcf.gz	1	31859	31858	1676	0.052608449996861074	970/353	0.04152803063594702	15650	0.4912269688314134	0	0.0	31858	1676	0.052608449996861074	970/353	0.04152803063594702	15650	0.4912269688314134	0	0.0	134688	0
SAMPLE	chr10	giab	assembly	assembly/qc/phased_verkko/TUE_02_02UL/giab.filtered.vcf.gz	assembly/qc/phased_verkko/TUE_02_02UL/assembly.filtered.vcf.gz	1	21462	21461	1109	0.05167513163412702	673/218	0.041517170681701694	9890	0.4608144627714099	0	0.0	21461	1109	0.05167513163412702	673/218	0.041517170681701694	9890	0.4608144627714099	0	0.0	74681	0
SAMPLE	chr11	giab	assembly	assembly/qc/phased_verkko/TUE_02_02UL/giab.filtered.vcf.gz	assembly/qc/phased_verkko/TUE_02_02UL/assembly.filtered.vcf.gz	1	19007	19006	1040	0.05471956224350205	612/214	0.04345996001262759	9265	0.48745199137159995	0	0.0	19006	1040	0.05471956224350205	612/214	0.04345996001262759	9265	0.48745199137159995	0	0.0	69678	0
SAMPLE	chr12	giab	assembly	assembly/qc/phased_verkko/TUE_02_02UL/giab.filtered.vcf.gz	assembly/qc/phased_verkko/TUE_02_02UL/assembly.filtered.vcf.gz	1	18250	18249	1028	0.05633185380020823	590/219	0.044331196229930404	8493	0.46536986301369865	0	0.0	18249	1028	0.05633185380020823	590/219	0.044331196229930404	8493	0.46536986301369865	0	0.0	69024	0
SAMPLE	chr13	giab	assembly	assembly/qc/phased_verkko/TUE_02_02UL/giab.filtered.vcf.gz	assembly/qc/phased_verkko/TUE_02_02UL/assembly.filtered.vcf.gz	1	14887	14886	724	0.048636302566169555	412/156	0.038156657261856776	7035	0.4725599516356553	0	0.0	14886	724	0.048636302566169555	412/156	0.038156657261856776	7035	0.4725599516356553	0	0.0	54599	0
SAMPLE	chr14	giab	assembly	assembly/qc/phased_verkko/TUE_02_02UL/giab.filtered.vcf.gz	assembly/qc/phased_verkko/TUE_02_02UL/assembly.filtered.vcf.gz	1	13215	13214	670	0.05070379900105948	414/128	0.04101710307249887	6134	0.46416950435111615	0	0.0	13214	670	0.05070379900105948	414/128	0.04101710307249887	6134	0.46416950435111615	0	0.0	79467	0
SAMPLE	chr15	giab	assembly	assembly/qc/phased_verkko/TUE_02_02UL/giab.filtered.vcf.gz	assembly/qc/phased_verkko/TUE_02_02UL/assembly.filtered.vcf.gz	1	12026	12025	684	0.05688149688149688	366/159	0.04365904365904366	5791	0.48153999667387326	0	0.0	12025	684	0.05688149688149688	366/159	0.04365904365904366	5791	0.48153999667387326	0	0.0	74350	0
SAMPLE	chr16	giab	assembly	assembly/qc/phased_verkko/TUE_02_02UL/giab.filtered.vcf.gz	assembly/qc/phased_verkko/TUE_02_02UL/assembly.filtered.vcf.gz	1	13006	13005	795	0.06113033448673587	479/158	0.048981161091887736	5964	0.45855758880516684	0	0.0	13005	795	0.06113033448673587	479/158	0.048981161091887736	5964	0.45855758880516684	0	0.0	56265	0
SAMPLE	chr17	giab	assembly	assembly/qc/phased_verkko/TUE_02_02UL/giab.filtered.vcf.gz	assembly/qc/phased_verkko/TUE_02_02UL/assembly.filtered.vcf.gz	1	11688	11687	693	0.05929665440232737	425/134	0.047830923248053395	5014	0.4289869952087611	0	0.0	11687	693	0.05929665440232737	425/134	0.047830923248053395	5014	0.4289869952087611	0	0.0	43935	0
SAMPLE	chr18	giab	assembly	assembly/qc/phased_verkko/TUE_02_02UL/giab.filtered.vcf.gz	assembly/qc/phased_verkko/TUE_02_02UL/assembly.filtered.vcf.gz	1	10657	10656	690	0.06475225225225226	402/144	0.051238738738738736	4956	0.4650464483438116	0	0.0	10656	690	0.06475225225225226	402/144	0.051238738738738736	4956	0.4650464483438116	0	0.0	41185	0
SAMPLE	chr19	giab	assembly	assembly/qc/phased_verkko/TUE_02_02UL/giab.filtered.vcf.gz	assembly/qc/phased_verkko/TUE_02_02UL/assembly.filtered.vcf.gz	1	7221	7220	610	0.08448753462603878	332/139	0.06523545706371191	3577	0.49536075335826063	0	0.0	7220	610	0.08448753462603878	332/139	0.06523545706371191	3577	0.49536075335826063	0	0.0	36127	0
SAMPLE	chr2	giab	assembly	assembly/qc/phased_verkko/TUE_02_02UL/giab.filtered.vcf.gz	assembly/qc/phased_verkko/TUE_02_02UL/assembly.filtered.vcf.gz	1	33542	33541	1747	0.05208550728958588	1041/353	0.04156107450582869	16765	0.4998211197901139	0	0.0	33541	1747	0.05208550728958588	1041/353	0.04156107450582869	16765	0.4998211197901139	0	0.0	111846	0
SAMPLE	chr20	giab	assembly	assembly/qc/phased_verkko/TUE_02_02UL/giab.filtered.vcf.gz	assembly/qc/phased_verkko/TUE_02_02UL/assembly.filtered.vcf.gz	1	8701	8700	570	0.06551724137931035	350/110	0.052873563218390804	4151	0.4770716009654063	0	0.0	8700	570	0.06551724137931035	350/110	0.052873563218390804	4151	0.4770716009654063	0	0.0	40501	0
SAMPLE	chr21	giab	assembly	assembly/qc/phased_verkko/TUE_02_02UL/giab.filtered.vcf.gz	assembly/qc/phased_verkko/TUE_02_02UL/assembly.filtered.vcf.gz	1	6181	6180	318	0.05145631067961165	194/62	0.041423948220064725	2979	0.48196084775926223	0	0.0	6180	318	0.05145631067961165	194/62	0.041423948220064725	2979	0.48196084775926223	0	0.0	30274	0
SAMPLE	chr22	giab	assembly	assembly/qc/phased_verkko/TUE_02_02UL/giab.filtered.vcf.gz	assembly/qc/phased_verkko/TUE_02_02UL/assembly.filtered.vcf.gz	1	6699	6698	414	0.06180949537175276	234/90	0.04837264855180651	3086	0.4606657710105986	0	0.0	6698	414	0.06180949537175276	234/90	0.04837264855180651	3086	0.4606657710105986	0	0.0	47852	0
