contig_name	contig_length_bp	haplotype	primary_chrom	aligned_bp	satellite_bp	satellite_fraction	classification
unassigned-0000840	105980	unassigned	chr16	106076	0	0	non_satellite
unassigned-0000882	92759	unassigned	chr2	92713	0	0	non_satellite
unassigned-0000800	29220	unassigned	chr14	29210	0	0	non_satellite
unassigned-0000801	91561	unassigned	chr7	91564	0	0	non_satellite
unassigned-0000842	81515	unassigned	chr6	81515	0	0	non_satellite
unassigned-0000883	79392	unassigned	chr1	79375	0	0	non_satellite
unassigned-0000802	76947	unassigned	chr9	128890	25778	0.2	non_satellite
unassigned-0000843	85758	unassigned	chr15	85735	0	0	non_satellite
unassigned-0000570	29672	unassigned	chr6	29669	0	0	non_satellite
unassigned-0000885	27365	unassigned	chr19	27334	0	0	non_satellite
unassigned-0000844	26693	unassigned	chr1	26677	0	0	non_satellite
unassigned-0000804	52644	unassigned	chr22	210392	52598	0.25	non_satellite
unassigned-0000845	42202	unassigned	chr1	42187	0	0	non_satellite
unassigned-0000887	127180	unassigned	chr9	636035	127207	0.2	non_satellite
unassigned-0000573	41356	unassigned	chr21	165432	41358	0.25	non_satellite
unassigned-0000848	261810	unassigned	chr22	245613	245613	1	satellite
unassigned-0000807	26983	unassigned	chr11	26950	0	0	non_satellite
unassigned-0000809	98460	unassigned	chrX	98287	0	0	non_satellite
unassigned-0000538	82700	unassigned	chr14	165382	82691	0.5	satellite
unassigned-0000539	35322	unassigned	chr14	35303	35303	1	satellite
haplotype2-0000300	194298	haplotype2	chr12	210734	210734	1	satellite
haplotype2-0000304	275856	haplotype2	chr9	274929	0	0	non_satellite
haplotype2-0000305	86959	haplotype2	chr15	83625	83625	1	satellite
unassigned-0001572	20523	unassigned	chr21	40990	20495	0.5	satellite
haplotype2-0000306	142430	haplotype2	chr15	122245	122245	1	satellite
unassigned-0001531	37490	unassigned	chr12	37378	0	0	non_satellite
unassigned-0001573	109001	unassigned	chr13	95424	95424	1	satellite
haplotype2-0000307	452722	haplotype2	chr15	448422	448422	1	satellite
unassigned-0001533	53877	unassigned	chr5	53872	0	0	non_satellite
haplotype2-0000308	86022	haplotype2	chr15	85984	85984	1	satellite
haplotype2-0000309	106687	haplotype2	chr4	106621	0	0	non_satellite
unassigned-0001534	35791	unassigned	chr21	178310	35662	0.2	non_satellite
haplotype1-0000031	1453922	haplotype1	chr4	159499	159499	1	satellite
unassigned-0001535	26896	unassigned	chr17	26891	0	0	non_satellite
unassigned-0001576	526344	unassigned	chr15	551302	551302	1	satellite
unassigned-0001261	65445	unassigned	chr12	65388	0	0	non_satellite
unassigned-0001577	61838	unassigned	chr13	57201	57201	1	satellite
haplotype1-0000032	916106	haplotype1	chr15	13256296	916309	0.0691226	non_satellite
unassigned-0001537	155240	unassigned	chr17	129761	0	0	non_satellite
haplotype1-0000033	6357492	haplotype1	chr22	85478703	5821046	0.0680994	non_satellite
unassigned-0001263	192898	unassigned	chr1	192868	0	0	non_satellite
haplotype1-0000075	36947	haplotype1	chr3	36923	0	0	non_satellite
unassigned-0001538	400263	unassigned	chr17	412967	0	0	non_satellite
haplotype1-0000034	130487	haplotype1	chr14	302315	119231	0.394393	non_satellite
unassigned-0001223	77876	unassigned	chr10	77851	0	0	non_satellite
unassigned-0001265	155658	unassigned	chr21	777980	155596	0.2	non_satellite
haplotype1-0000035	139217	haplotype1	chr2	139278	0	0	non_satellite
unassigned-0001539	79884	unassigned	chr17	79849	0	0	non_satellite
haplotype1-0000076	64751	haplotype1	chr13	25263	25263	1	satellite
haplotype1-0000077	63128	haplotype1	chr19	63078	0	0	non_satellite
unassigned-0001225	98297	unassigned	chr10	98373	0	0	non_satellite
unassigned-0001267	61061	unassigned	chr7	60793	0	0	non_satellite
haplotype1-0000078	76114	haplotype1	chr17	76265	0	0	non_satellite
haplotype1-0000037	189478	haplotype1	chr17	228281	0	0	non_satellite
unassigned-0001268	88066	unassigned	chr22	74393	74393	1	satellite
haplotype1-0000038	117976	haplotype1	chr16	115114	115114	1	satellite
unassigned-0001227	217348	unassigned	chr16	217378	0	0	non_satellite
haplotype1-0000079	126700	haplotype1	chr16	46089	46089	1	satellite
unassigned-0001269	26244	unassigned	chr22	78636	26212	0.333333	non_satellite
haplotype1-0000039	63207	haplotype1	chr16	54353	54353	1	satellite
unassigned-0001228	26949	unassigned	chr13	26909	26909	1	satellite
unassigned-0000961	36722	unassigned	chr13	26469	26469	1	satellite
unassigned-0000920	34412	unassigned	chr14	34396	0	0	non_satellite
unassigned-0000921	78317	unassigned	chr8	78336	0	0	non_satellite
unassigned-0000922	28613	unassigned	chr2	28576	0	0	non_satellite
unassigned-0000923	44535	unassigned	chr2	44506	0	0	non_satellite
unassigned-0000690	53000	unassigned	chr15	143361	47787	0.333333	non_satellite
unassigned-0000965	27637	unassigned	chrX	27639	0	0	non_satellite
unassigned-0000691	208566	unassigned	chr15	990135	202756	0.204776	non_satellite
unassigned-0000966	132414	unassigned	chrX	131637	0	0	non_satellite
unassigned-0000692	35593	unassigned	chr17	35600	0	0	non_satellite
unassigned-0000651	57663	unassigned	chr13	58958	58958	1	satellite
unassigned-0000652	29391	unassigned	chr21	29326	29326	1	satellite
unassigned-0000611	27681	unassigned	chr19	27683	0	0	non_satellite
unassigned-0000693	53041	unassigned	chr1	53024	0	0	non_satellite
unassigned-0000612	31471	unassigned	chr19	33047	0	0	non_satellite
unassigned-0000380	39492	unassigned	chr5	39481	0	0	non_satellite
unassigned-0000928	139664	unassigned	chr10	139654	0	0	non_satellite
unassigned-0000654	100417	unassigned	chr13	97316	97316	1	satellite
unassigned-0000613	65562	unassigned	chr13	327745	65549	0.2	non_satellite
unassigned-0000381	147019	unassigned	chr4	147072	0	0	non_satellite
unassigned-0000382	77529	unassigned	chr4	77574	0	0	non_satellite
unassigned-0000656	71784	unassigned	chr21	42565	42565	1	satellite
unassigned-0000697	27375	unassigned	chr17	27361	0	0	non_satellite
unassigned-0000383	144928	unassigned	chr3	144914	0	0	non_satellite
unassigned-0000384	24867	unassigned	chr4	24858	0	0	non_satellite
unassigned-0000343	72382	unassigned	chr20	72347	0	0	non_satellite
unassigned-0000385	26817	unassigned	chr4	26794	0	0	non_satellite
unassigned-0000344	58045	unassigned	chr20	57996	0	0	non_satellite
unassigned-0000386	45745	unassigned	chr14	45711	45711	1	satellite
unassigned-0000387	210564	unassigned	chr16	210640	210640	1	satellite
unassigned-0000388	31101	unassigned	chr11	31094	31094	1	satellite
unassigned-0001610	87758	unassigned	chr21	13273	13273	1	satellite
haplotype1-0000150	65850	haplotype1	chr13	17693	17693	1	satellite
haplotype1-0000192	122956	haplotype1	chr21	22229	22229	1	satellite
unassigned-0001381	34866	unassigned	chr1	34810	0	0	non_satellite
unassigned-0001382	47299	unassigned	chrX	47300	0	0	non_satellite
haplotype1-0000111	611862	haplotype1	chr15	4980807	383139	0.0769231	non_satellite
unassigned-0001383	139986	unassigned	chr9	1120000	140000	0.125	non_satellite
unassigned-0001698	154688	unassigned	chr18	154715	154715	1	satellite
haplotype1-0000153	463264	haplotype1	chr1	147482	147482	1	satellite
haplotype1-0000112	629401	haplotype1	chr15	4162102	594586	0.142857	non_satellite
unassigned-0001302	15047	unassigned	chr21	14707	14707	1	satellite
haplotype1-0000154	68704	haplotype1	chr1	22608	22608	1	satellite
unassigned-0001384	219757	unassigned	chr1	215006	0	0	non_satellite
haplotype1-0000196	306022	haplotype1	chr4	65079	65079	1	satellite
unassigned-0001303	33425	unassigned	chr22	65294	32647	0.5	satellite
unassigned-0001385	129920	unassigned	chr1	129911	0	0	non_satellite
unassigned-0001304	26571	unassigned	chr22	26570	26570	1	satellite
unassigned-0001619	246169	unassigned	chr2	246200	0	0	non_satellite
unassigned-0001386	85307	unassigned	chr1	85261	0	0	non_satellite
unassigned-0001305	214784	unassigned	chrX	214782	0	0	non_satellite
unassigned-0001072	195841	unassigned	chr1	195805	0	0	non_satellite
unassigned-0001347	129064	unassigned	chr21	258094	129047	0.5	satellite
haplotype1-0000117	144162	haplotype1	chr19	137387	0	0	non_satellite
unassigned-0001073	60356	unassigned	chr1	60311	0	0	non_satellite
haplotype1-0000158	63803	haplotype1	chr14	127608	63804	0.5	satellite
unassigned-0001388	75894	unassigned	chr1	75867	0	0	non_satellite
unassigned-0001348	51467	unassigned	chr20	51449	0	0	non_satellite
unassigned-0001033	145466	unassigned	chr10	145488	0	0	non_satellite
unassigned-0001075	105584	unassigned	chrX	105584	0	0	non_satellite
