chrom	length	bases	mean	min	max
chr1	248387328	7872996807	31.70	0	2542
chr1_region	248387328	7872996807	31.70	0	2542
chr2	242696752	8100160083	33.38	0	2797
chr2_region	242696752	8100160083	33.38	0	2797
chr3	201105948	6681731936	33.22	0	2897
chr3_region	201105948	6681731936	33.22	0	2897
chr4	193574945	6442082289	33.28	0	6818
chr4_region	193574945	6442082289	33.28	0	6818
chr5	182045439	6079810972	33.40	0	8167
chr5_region	182045439	6079810972	33.40	0	8167
chr6	172126628	5740553921	33.35	0	14021
chr6_region	172126628	5740553921	33.35	0	14021
chr7	160567428	5242207187	32.65	0	1247
chr7_region	160567428	5242207187	32.65	0	1247
chrX	154259566	2571986132	16.67	0	411
chrX_region	154259566	2571986132	16.67	0	411
chr9	150617247	4527540197	30.06	0	1924
chr9_region	150617247	4527540197	30.06	0	1924
chr8	146259331	4851191043	33.17	0	721
chr8_region	146259331	4851191043	33.17	0	721
chr11	135127769	4426587759	32.76	0	1018
chr11_region	135127769	4426587759	32.76	0	1018
chr10	134758134	4474107044	33.20	0	7891
chr10_region	134758134	4474107044	33.20	0	7891
chr12	133324548	4422539702	33.17	0	499
chr12_region	133324548	4422539702	33.17	0	499
chr13	113566686	3476864089	30.62	0	1752
chr13_region	113566686	3476864089	30.62	0	1752
chr14	101161492	3284307067	32.47	0	3949
chr14_region	101161492	3284307067	32.47	0	3949
chr15	99753195	3150106389	31.58	0	5148
chr15_region	99753195	3150106389	31.58	0	5148
chr16	96330374	2933127439	30.45	0	935
chr16_region	96330374	2933127439	30.45	0	935
chr17	84276897	2677691224	31.77	0	13920
chr17_region	84276897	2677691224	31.77	0	13920
chr18	80542538	2598759630	32.27	0	1156
chr18_region	80542538	2598759630	32.27	0	1156
chr20	66210255	2091546109	31.59	0	2125
chr20_region	66210255	2091546109	31.59	0	2125
chrY	62460029	738077558	11.82	0	499
chrY_region	62460029	738077558	11.82	0	499
chr19	61707364	1907076377	30.91	0	886
chr19_region	61707364	1907076377	30.91	0	886
chr22	51324926	1704308777	33.21	0	2725
chr22_region	51324926	1704308777	33.21	0	2725
chr21	45090682	1566043833	34.73	0	2290
chr21_region	45090682	1566043833	34.73	0	2290
chrM	16569	48341157	2917.57	12	3766
chrM_region	16569	48341157	2917.57	12	3766
total	3117292070	97609744721	31.31	0	14021
total_region	3117292070	97609744721	31.31	0	14021
