sample	source	chr	start	end	feature_type
T2T00	Flagger	chr1	5655	138553	Hap
T2T00	Flagger	chr1	138553	174566	Dup
T2T00	Flagger	chr1	216657	506601	Hap
T2T00	Flagger	chr1	801512	885515	Dup
T2T00	Flagger	chr1	1040538	1716307	Hap
T2T00	Flagger	chr1	2343932	2362140	Err
T2T00	Flagger	chr1	6468972	13957970	Hap
T2T00	Flagger	chr1	19538879	19542882	Dup
T2T00	Flagger	chr1	19542882	19550881	Hap
T2T00	Flagger	chr1	19550881	19562881	Err
T2T00	Flagger	chr1	19562881	21835333	Hap
T2T00	Flagger	chr1	26608957	26648952	Dup
T2T00	Flagger	chr1	26648952	29395022	Hap
T2T00	Flagger	chr1	32022915	32050918	Dup
T2T00	Flagger	chr1	32050918	32270925	Hap
T2T00	Flagger	chr1	32270925	32362934	Dup
T2T00	Flagger	chr1	32404796	33754043	Hap
T2T00	Flagger	chr1	33754043	33838027	Dup
T2T00	Flagger	chr1	33838027	36130575	Hap
T2T00	Flagger	chr1	41857547	41937518	Dup
T2T00	Flagger	chr1	41937518	48381496	Hap
T2T00	Flagger	chr1	48381496	48413493	Col
T2T00	Flagger	chr1	48413493	50113625	Hap
T2T00	Flagger	chr1	50113625	50133632	Dup
T2T00	Flagger	chr1	50133632	50261613	Hap
T2T00	Flagger	chr1	50261613	50317642	Dup
T2T00	Flagger	chr1	50317642	51787770	Hap
T2T00	Flagger	chr1	52188333	52304345	Dup
T2T00	Flagger	chr1	52304345	52708312	Hap
T2T00	Flagger	chr1	52708312	52756283	Dup
T2T00	Flagger	chr1	54812555	58822437	Hap
T2T00	Flagger	chr1	58822437	58903307	Col
T2T00	Flagger	chr1	58903307	62924287	Hap
T2T00	Flagger	chr1	69880349	69908346	Col
T2T00	Flagger	chr1	69908346	70640374	Hap
T2T00	Flagger	chr1	70640374	70696382	Dup
T2T00	Flagger	chr1	70696382	70880359	Hap
T2T00	Flagger	chr1	70880359	70912354	Col
T2T00	Flagger	chr1	70912354	71806180	Hap
T2T00	Flagger	chr1	72112874	72148875	Col
T2T00	Flagger	chr1	72148875	73781277	Hap
T2T00	Flagger	chr1	74070068	74166044	Col
T2T00	Flagger	chr1	74166044	74514151	Hap
T2T00	Flagger	chr1	74514151	74662460	Col
T2T00	Flagger	chr1	74662460	74686460	Hap
T2T00	Flagger	chr1	74686460	74814446	Col
T2T00	Flagger	chr1	75744248	78389793	Hap
T2T00	Flagger	chr1	78389793	78425811	Col
T2T00	Flagger	chr1	78425811	79374395	Hap
T2T00	Flagger	chr1	79374395	79406379	Col
T2T00	Flagger	chr1	79406379	82392639	Hap
T2T00	Flagger	chr1	82392639	82416624	Col
T2T00	Flagger	chr1	82416624	83763052	Hap
T2T00	Flagger	chr1	87361791	87389804	Col
T2T00	Flagger	chr1	87389804	89334040	Hap
T2T00	Flagger	chr1	89334040	89398043	Col
T2T00	Flagger	chr1	89398043	90117601	Hap
T2T00	Flagger	chr1	90117601	90254167	Col
T2T00	Flagger	chr1	91511682	95248779	Hap
T2T00	Flagger	chr1	95248779	95300765	Col
T2T00	Flagger	chr1	95300765	98292185	Hap
T2T00	Flagger	chr1	98292185	98332156	Col
T2T00	Flagger	chr1	98332156	101402132	Hap
T2T00	Flagger	chr1	101669437	101725435	Col
T2T00	Flagger	chr1	101725435	102087747	Hap
T2T00	Flagger	chr1	102087747	102103747	Col
T2T00	Flagger	chr1	102103747	102571798	Hap
T2T00	Flagger	chr1	102571798	102671804	Col
T2T00	Flagger	chr1	102671804	103021961	Hap
T2T00	Flagger	chr1	103171599	103343571	Col
T2T00	Flagger	chr1	103343571	105007892	Hap
T2T00	Flagger	chr1	105108237	105220225	Col
T2T00	Flagger	chr1	105220225	105420233	Hap
T2T00	Flagger	chr1	105420233	105548677	Col
T2T00	Flagger	chr1	105548677	108343966	Hap
T2T00	Flagger	chr1	108552021	108587853	Col
T2T00	Flagger	chr1	108587853	113427443	Hap
T2T00	Flagger	chr1	114225492	114265676	Col
T2T00	Flagger	chr1	114265676	114841549	Hap
T2T00	Flagger	chr1	114841549	114909503	Col
T2T00	Flagger	chr1	114909503	115377207	Hap
T2T00	Flagger	chr1	115377207	115429227	Col
T2T00	Flagger	chr1	115429227	115489264	Hap
T2T00	Flagger	chr1	115489264	115529273	Col
T2T00	Flagger	chr1	115529273	120336348	Hap
T2T00	Flagger	chr1	121466833	121518834	Col
T2T00	Flagger	chr1	121518834	121659555	Hap
T2T00	Flagger	chr1	126298230	126890457	Hap
T2T00	Flagger	chr1	126890457	126948581	Col
T2T00	Flagger	chr1	126948581	126968701	Hap
T2T00	Flagger	chr1	128783556	129035716	Hap
T2T00	Flagger	chr1	129035714	129037412	Col
T2T00	Flagger	chr1	128178259	128734021	Hap
T2T00	Flagger	chr1	127710301	128167756	Hap
T2T00	Flagger	chr1	129120502	129254401	Hap
T2T00	Flagger	chr1	129481631	129510229	Col
T2T00	Flagger	chr1	129510229	129537202	Hap
T2T00	Flagger	chr1	136063161	136125770	Hap
T2T00	Flagger	chr1	132820518	132894139	Col
T2T00	Flagger	chr1	134947148	134992864	Hap
T2T00	Flagger	chr1	131589926	131704952	Col
T2T00	Flagger	chr1	131071710	131091076	Hap
T2T00	Flagger	chr1	131091076	131126241	Col
T2T00	Flagger	chr1	145590439	148258787	Hap
T2T00	Flagger	chr1	148258787	148306797	Dup
T2T00	Flagger	chr1	148306797	148347195	Err
T2T00	Flagger	chr1	148375846	148459865	Dup
T2T00	Flagger	chr1	148974440	155701931	Hap
T2T00	Flagger	chr1	155701931	155765949	Dup
