#sample	chromosome	phase_set	from	to	variants
syndip	chr1	0	2942	248373797	249960
syndip	chr2	0	3155	242693993	232987
syndip	chr3	0	2645	201088028	214569
syndip	chr4	0	20155	193542895	212251
syndip	chr5	0	2170	182043943	184674
syndip	chr6	0	3023	172122209	209136
syndip	chr7	0	3132	160565296	188843
syndip	chrX	0	49961	154257259	124708
syndip	chr9	0	4978	150615083	145598
syndip	chr8	0	3641	146257122	165800
syndip	chr11	0	1954	135068576	154695
syndip	chr10	0	2227	134726146	153629
syndip	chr12	0	2988	133322411	135726
syndip	chr13	0	4979691	113563497	133185
syndip	chr14	0	2740	101158994	147466
syndip	chr15	0	6091	99750749	169313
syndip	chr16	0	3518	96327809	115166
syndip	chr17	0	46858	84272854	97820
syndip	chr18	0	164067	80537978	94373
syndip	chr20	0	2555	66207655	87871
syndip	chr19	0	2197	61703597	95177
syndip	chr22	0	4614	51320957	106078
syndip	chr21	0	3033	45086474	60003
