read_id	filename	runid	sample_name	read_length	mean_quality	channel	read_number	start_time
9523faca-b983-4368-9cae-f0d316ca09e5;3972880a-7246-4d66-a8fa-90c21e244df6	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	70528	33.84	0	0	
43876581-c1db-44eb-a60a-a61562813cf8;7ea79e4e-08b6-4aa1-bb70-3bcb1dc38347	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	49164	34.99	0	0	
26b5ae98-322a-48ed-987e-fb9b94fc6298;022892d9-8861-4dc1-b242-d0769d960eb6	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	55766	32.70	0	0	
7beda168-2f0a-4615-9840-074330510fe2;2bb46549-fe10-40b8-a402-5f0d102ab51a	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	61304	31.88	0	0	
1e9c6f92-28fa-4748-bc6e-e1705f1b3cbc;c9bb2bad-2433-4126-817b-043b19e4468b	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	1575	30.96	0	0	
c31cb1e1-658e-4803-a861-dc3f348f17ff;c1120103-085d-4680-9652-3b68539e8162	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	30884	12.31	0	0	
90d3abd6-a8da-4cec-974d-dfeb5dd3dce7;ad5d9f23-429d-43ff-bc57-5f5fc8f8352c	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	54392	31.67	0	0	
607b041a-1bd3-41ee-a222-dcc9eb51cf64;3a41e589-5613-4135-bf7a-9b854a59748c	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	13391	29.09	0	0	
1eb7526a-289d-4008-9a37-2b341762a932;567fa44b-aa9c-4697-a70b-9887c071910b	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	26921	37.45	0	0	
3d8c7f58-c5f6-46f4-a182-169abb23a8f0;883e88b3-f52f-49af-a3ef-1c7a0f44b3f9	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	2374	32.63	0	0	
7f981a51-1f65-4f3e-b1d7-d35c0033b21d;a0f9f3dc-1580-4e23-ad47-90bbedf3356a	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	15970	35.84	0	0	
febab106-3508-4797-82e6-3c81b2d8d0ec;1d2b0fc4-5e71-4525-85a4-615cdfcbd585	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	36396	38.80	0	0	
dade3b11-a392-4ef5-aa8e-2da1140d603f;883635d8-1629-4cf0-9f83-892d29659ca4	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	31378	38.50	0	0	
805be950-0438-4646-845a-135dad46c329;6fd33e74-3350-4d6b-bd05-385a090f15a7	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	51454	35.34	0	0	
aa000644-0243-41b4-b123-21e793086565;f7255860-8559-4595-9a89-431f9fb44f51	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	19118	34.32	0	0	
9ef925bc-e12d-48f7-b367-d8497608a85c;974b67c7-24cc-42fb-9e02-ed16f1dc2bce	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	40688	37.00	0	0	
546a1514-ae1a-481d-a747-d663886ff970;bae79c1c-bfdc-4f89-9fc1-a1e1cd09516a	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	17619	32.20	0	0	
fcce2ba1-b133-4484-96b6-13b218b48bb5;b4373387-5555-413c-977f-5abbca139a6e	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	20688	38.34	0	0	
a233a3de-23a9-499c-baa0-b0b8e158653f;aa9962bb-778d-46e4-9677-b76cd7bde226	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	7657	26.40	0	0	
e4c517a8-e1a2-40e3-b5a0-9852275ecf7b;cf29e004-5d62-42e6-a8ae-a9b8ba0f5330	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	56134	26.54	0	0	
7f805d4f-0ff5-4bbe-9bc5-4670d51e60bd;8587ccb9-8b6b-47d2-8280-6901f6eb078d	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	32120	38.19	0	0	
548afbac-0038-40ef-a49d-f686d72b205e;93227752-849f-4316-92ce-06ae76245649	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	22868	34.70	0	0	
48491c8c-1375-45b9-a25a-70e6448aa463;5f116268-be31-4d2c-b46b-4d5f52f5de7b	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	952	27.20	0	0	
28dab9b6-0787-4715-8d1d-f2f214f0717a;36a9a643-7692-47f8-834d-2fe72ab861bb	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	9248	29.55	0	0	
d32e6f5e-934b-487d-82d3-e6cb8bc819b3;a845e1ec-e390-4a4e-94d1-c30986ab0252	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	38761	32.25	0	0	
74f431ea-f899-4a40-9199-5d7af52aa0e8;6855a7f9-f98f-4b56-9358-6df5e922bff6	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	26028	35.83	0	0	
877357ce-4032-4c25-86d1-8134271b8dae;ecc41038-b710-4010-96d3-f8d6b52f8542	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	19050	31.95	0	0	
072ff8ff-9118-430f-9218-2f6480d8a844;b1e443d6-9fb4-4126-a44b-1020810b4752	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	19343	35.11	0	0	
48f7e410-97c0-40c3-af08-72467861be04;29024e44-d3ec-4d87-9b89-caecc9cb67e5	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	32644	35.64	0	0	
d4eb5265-eae3-4f46-aab9-5a1866d79790;6f47ee01-7bd5-484f-9109-67139d16f01f	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	38989	40.24	0	0	
422f1c59-0935-4b0a-8445-5f655cb0aea7;5ff018e6-6d2b-4675-827a-739968f05dcd	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	30285	31.41	0	0	
f78c89af-8904-4dfc-95ee-901a88640443;005280eb-f82e-42e0-bebf-fa9d84869cf7	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	13919	35.38	0	0	
1fd86ef6-6739-4014-9bf7-fc4a4209fd84;536a19a5-3e50-4fca-a7da-46651b3521a7	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	43933	24.18	0	0	
16e92cd6-ac06-45c2-9dbf-5ef210ce9da6;62295b35-41da-4f52-bc32-416a4aad8394	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	32516	35.31	0	0	
c33e60ba-25c2-499c-ac9c-076b1f4384e0;31f38fa6-e121-45c3-a9af-c16d495f8978	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	20481	33.29	0	0	
ca50cd0c-b7c2-4972-968e-bc507b24e7ff;9cd5a6fa-16ee-4989-95b2-b8c76468f3f7	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	45006	37.79	0	0	
3207da24-3af4-4464-8762-0c6a49b861bf;bdf77a90-6438-4cb4-a8a0-32e8a2f40f6f	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	36454	35.69	0	0	
0d74d739-1cad-4e0e-ae6f-3786c0e13512;c302532c-cd09-4a99-bc7a-8e1ffc07c8d9	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	26410	31.77	0	0	
f8096a84-74af-4815-9be5-84bd935b2780;1b026658-d86b-4539-abee-92b4838bc8a9	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	22729	36.51	0	0	
b1b8fb0b-6d66-45cd-8e00-bb62f6b8de1f;01d9bd72-bfa3-474f-8eaa-e95203444894	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	43429	40.53	0	0	
546883f9-34e2-4aea-b456-5140fcd0450e;584b921b-758c-45f8-bfea-94b6a9b7b33c	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	16565	38.47	0	0	
9cf44b6b-289d-459d-bcaa-68b5e0ee7edc;bb459af2-7316-4b52-b747-d6d89fae5519	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	36448	34.50	0	0	
05cdebe3-61e2-4c55-8bdf-6bc1834ab339;4b2c0498-d071-4834-9c69-2587f145ed16	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	20406	27.77	0	0	
d33e1a99-8c7e-40e6-b222-7a7e4b29494f;2506d515-f23c-4cb2-aceb-da368ef6017c	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	6166	31.16	0	0	
4fbbfb2b-2f18-4c57-aaa1-6bf10c865876;41356951-2a7b-4a7e-9cb3-09e1dbc7c064	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	26411	37.79	0	0	
67730cfc-4983-4cda-ad9e-25f7da6f7372;05c502ed-8c85-443d-a685-81fffdc2d452	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	31360	16.11	0	0	
757d5870-2836-465d-975e-2139d51deb3f;e84cbbec-5bfd-447a-bbcd-1b396bab081f	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	70226	33.98	0	0	
34d83dd4-1310-425b-b2b0-05da75bff1d5;87f00b98-20b8-4c18-bade-c4cef3d1f956	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	32823	39.19	0	0	
a9098d41-1b75-42d5-a205-22d37ae34e63;fe3c3d05-ade3-4bbb-917b-e7d979444ed4	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	19352	35.99	0	0	
30f94c79-4071-4a17-967d-90686cf2a5ed;d1db4f7b-ca25-49aa-be3d-bf08688f61f6	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	38917	35.98	0	0	
b0b7f727-a8cd-4130-aa31-23d86b2a097d;1b9adc4b-7289-4702-a8cb-9b58ca5424e3	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	25010	21.04	0	0	
8d14df11-9552-477b-85b5-83e0c63fff47;d0f287f3-8527-46ab-9ee8-9a9cc57b2c46	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	4553	32.76	0	0	
588edd9d-fca8-481c-80ca-24d597191342;4901be99-4a80-4da8-8946-62efd31094c5	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	50588	37.51	0	0	
3c8a46d6-870e-4b0b-b4f4-fe37cfcc93dd;6225b3fc-6fcd-487b-838d-0bf5df61ff29	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	34215	38.39	0	0	
7a56036d-f43d-4e30-9671-81b47e667b70;5da39517-334e-4b9f-bebb-1e46b3d88fec	assembly/input/published/published.HQ_duplex.chr19.fastq.gz		published_HQ_duplex.chr19	25063	38.54	0	0	
