sample	category	subcategory	sv_type	count	total_length	mean_length
NA20762	total	all_svs	all	58432	60629912	1037.6148685651697
NA20762	sv_type	BND	BND	14	0	0.0
NA20762	sv_type	DEL	DEL	30049	32257579	1073.4992512230024
NA20762	sv_type	DUP:TANDEM	DUP:TANDEM	22	20095	913.4090909090909
NA20762	sv_type	INS	INS	28326	28352238	1000.9262868036433
NA20762	sv_type	INV	INV	21	0	0.0
NA20762	zygosity	ALT_HOM	all	10192	0	0
NA20762	zygosity	HET	all	48240	0	0
NA20762	zygosity	HET	BND	14	0	0
NA20762	zygosity	ALT_HOM	DEL	5238	0	0
NA20762	zygosity	HET	DEL	24811	0	0
NA20762	zygosity	ALT_HOM	DUP:TANDEM	1	0	0
NA20762	zygosity	HET	DUP:TANDEM	21	0	0
NA20762	zygosity	ALT_HOM	INS	4949	0	0
NA20762	zygosity	HET	INS	23377	0	0
NA20762	zygosity	ALT_HOM	INV	4	0	0
NA20762	zygosity	HET	INV	17	0	0
NA20762	size_class	large (500bp-5kb)	all	14939	0	0
NA20762	size_class	massive (>50kb)	all	155	0	0
NA20762	size_class	medium (50-500bp)	all	28191	0	0
NA20762	size_class	small (<50bp)	all	13484	0	0
NA20762	size_class	very_large (5kb-50kb)	all	1663	0	0
NA20762	size_class	small (<50bp)	BND	14	0	0
NA20762	size_class	large (500bp-5kb)	DEL	8032	0	0
NA20762	size_class	massive (>50kb)	DEL	78	0	0
NA20762	size_class	medium (50-500bp)	DEL	14220	0	0
NA20762	size_class	small (<50bp)	DEL	6776	0	0
NA20762	size_class	very_large (5kb-50kb)	DEL	943	0	0
NA20762	size_class	large (500bp-5kb)	DUP:TANDEM	17	0	0
NA20762	size_class	medium (50-500bp)	DUP:TANDEM	5	0	0
NA20762	size_class	large (500bp-5kb)	INS	6890	0	0
NA20762	size_class	massive (>50kb)	INS	77	0	0
NA20762	size_class	medium (50-500bp)	INS	13966	0	0
NA20762	size_class	small (<50bp)	INS	6673	0	0
NA20762	size_class	very_large (5kb-50kb)	INS	720	0	0
NA20762	size_class	small (<50bp)	INV	21	0	0
NA20762	haplotype	both	all	10192	0	0
NA20762	haplotype	haplotype1	all	23700	0	0
NA20762	haplotype	haplotype2	all	24540	0	0
NA20762	haplotype	haplotype1	BND	8	0	0
NA20762	haplotype	haplotype2	BND	6	0	0
NA20762	haplotype	both	DEL	5238	0	0
NA20762	haplotype	haplotype1	DEL	12099	0	0
NA20762	haplotype	haplotype2	DEL	12712	0	0
NA20762	haplotype	both	DUP:TANDEM	1	0	0
NA20762	haplotype	haplotype1	DUP:TANDEM	9	0	0
NA20762	haplotype	haplotype2	DUP:TANDEM	12	0	0
NA20762	haplotype	both	INS	4949	0	0
NA20762	haplotype	haplotype1	INS	11578	0	0
NA20762	haplotype	haplotype2	INS	11799	0	0
NA20762	haplotype	both	INV	4	0	0
NA20762	haplotype	haplotype1	INV	6	0	0
NA20762	haplotype	haplotype2	INV	11	0	0
NA20762	phasing	phased	all	58432	0	0
NA20762	chromosome	chr1	all	5037	0	0
NA20762	chromosome	chr2	all	3213	0	0
NA20762	chromosome	chr3	all	3658	0	0
NA20762	chromosome	chr4	all	2232	0	0
NA20762	chromosome	chr5	all	2732	0	0
NA20762	chromosome	chr6	all	2312	0	0
NA20762	chromosome	chr7	all	2337	0	0
NA20762	chromosome	chr8	all	2341	0	0
NA20762	chromosome	chr9	all	4533	0	0
NA20762	chromosome	chrX	all	984	0	0
NA20762	chromosome	chrY	all	1210	0	0
NA20762	chromosome	chr10	all	2503	0	0
NA20762	chromosome	chr11	all	1910	0	0
NA20762	chromosome	chr12	all	2079	0	0
NA20762	chromosome	chr13	all	2670	0	0
NA20762	chromosome	chr14	all	1522	0	0
NA20762	chromosome	chr15	all	3426	0	0
NA20762	chromosome	chr16	all	3729	0	0
NA20762	chromosome	chr17	all	2214	0	0
NA20762	chromosome	chr18	all	1478	0	0
