#sample	chromosome	file_name	variants	phased	unphased	singletons	blocks	variant_per_block_median	variant_per_block_avg	variant_per_block_min	variant_per_block_max	variant_per_block_sum	bp_per_block_median	bp_per_block_avg	bp_per_block_min	bp_per_block_max	bp_per_block_sum	heterozygous_variants	heterozygous_snvs	phased_snvs	phased_fraction	phased_snvs_fraction	block_n50
syndip	chr1	assembly/variants/T2T04_2/phased_verkko/small_variants.dip.vcf.gz	376977	246528	8749	0	1	246528	246528.0	246528	246528	246528	248380958	248380958.0	248380958	248380958	248380958	255277	213334	204991	0.9657274255024934	0.9608923097115322	248380958
syndip	chr2	assembly/variants/T2T04_2/phased_verkko/small_variants.dip.vcf.gz	348179	226172	526	0	1	226172	226172.0	226172	226172	226172	242690209	242690209.0	242690209	242690209	242690209	226698	186653	186180	0.9976797325075651	0.9974658858952173	242690209
syndip	chr3	assembly/variants/T2T04_2/phased_verkko/small_variants.dip.vcf.gz	322734	214542	309	0	1	214542	214542.0	214542	214542	214542	201048059	201048059.0	201048059	201048059	201048059	214851	181104	180823	0.998561793987461	0.9984484053361604	201048059
syndip	chr4	assembly/variants/T2T04_2/phased_verkko/small_variants.dip.vcf.gz	326191	217599	3542	0	1	217599	217599.0	217599	217599	217599	193522863	193522863.0	193522863	193522863	193522863	221141	186686	183376	0.9839830696252617	0.9822696934960308	193522863
syndip	chr5	assembly/variants/T2T04_2/phased_verkko/small_variants.dip.vcf.gz	278722	178871	34	0	1	178871	178871.0	178871	178871	178871	181991426	181991426.0	181991426	181991426	181991426	178905	148402	148368	0.9998099550040525	0.9997708925755717	181991426
syndip	chr6	assembly/variants/T2T04_2/phased_verkko/small_variants.dip.vcf.gz	319131	211097	7	0	1	211097	211097.0	211097	211097	211097	172120999	172120999.0	172120999	172120999	172120999	211104	179044	179039	0.999966840988328	0.9999720739036214	172120999
syndip	chr7	assembly/variants/T2T04_2/phased_verkko/small_variants.dip.vcf.gz	272163	185008	43	0	1	185008	185008.0	185008	185008	185008	160560661	160560661.0	160560661	160560661	160560661	185051	155565	155533	0.9997676316258761	0.9997942982033233	160560661
syndip	chrX	assembly/variants/T2T04_2/phased_verkko/small_variants.dip.vcf.gz	184407	119285	0	0	1	119285	119285.0	119285	119285	119285	154197964	154197964.0	154197964	154197964	154197964	119285	99191	99191	1.0	1.0	154197964
syndip	chr9	assembly/variants/T2T04_2/phased_verkko/small_variants.dip.vcf.gz	236714	164334	2260	0	1	164334	164334.0	164334	164334	164334	150589536	150589536.0	150589536	150589536	150589536	166594	135754	133596	0.9864340852611738	0.9841035991572993	150589536
syndip	chr8	assembly/variants/T2T04_2/phased_verkko/small_variants.dip.vcf.gz	242658	170352	433	0	1	170352	170352.0	170352	170352	170352	146245674	146245674.0	146245674	146245674	146245674	170785	144429	144022	0.9974646485347074	0.9971820063837595	146245674
syndip	chr11	assembly/variants/T2T04_2/phased_verkko/small_variants.dip.vcf.gz	255924	193303	38	0	1	193303	193303.0	193303	193303	193303	135123429	135123429.0	135123429	135123429	135123429	193341	168689	168660	0.9998034560698456	0.9998280860044223	135123429
syndip	chr10	assembly/variants/T2T04_2/phased_verkko/small_variants.dip.vcf.gz	213133	145121	4	0	1	145121	145121.0	145121	145121	145121	134751614	134751614.0	134751614	134751614	134751614	145125	120112	120109	0.9999724375538329	0.9999750233115758	134751614
syndip	chr12	assembly/variants/T2T04_2/phased_verkko/small_variants.dip.vcf.gz	205258	139447	144	0	1	139447	139447.0	139447	139447	139447	133320016	133320016.0	133320016	133320016	133320016	139591	114726	114584	0.9989684148691534	0.9987622683611387	133320016
syndip	chr13	assembly/variants/T2T04_2/phased_verkko/small_variants.dip.vcf.gz	175163	121375	0	0	1	121375	121375.0	121375	121375	121375	108791194	108791194.0	108791194	108791194	108791194	121375	100996	100996	1.0	1.0	108791194
syndip	chr14	assembly/variants/T2T04_2/phased_verkko/small_variants.dip.vcf.gz	208041	150186	9683	0	1	150186	150186.0	150186	150186	150186	100524928	100524928.0	100524928	100524928	100524928	159869	139487	130701	0.9394316596713559	0.9370120513022719	100524928
