sample	contig	chromosome	contig_length	gap_length	ref_length	motif_length	n_gaps	total_gap_length_bed	mean_gap_size	max_gap_size	min_gap_size	gap_density	classification
T2T04_hifiasm_trio	h2tg000015l	chr1	251282323	0	248387328	251282323	0	0	0.0	0	0	0.0	contig
T2T04_hifiasm_trio	h2tg000006l	chr10	134292421	0	134758134	134292421	0	0	0.0	0	0	0.0	contig
T2T04_hifiasm_trio	h2tg000024l	chr11	134556221	100	135127769	134556221	1	100	100.0	100	100	0.01	scaffold
T2T04_hifiasm_trio	h2tg000010l	chr12	134079857	0	133324548	134079857	0	0	0.0	0	0	0.0	contig
T2T04_hifiasm_trio	h2tg000002l	chr14	101473679	0	101161492	101473679	0	0	0.0	0	0	0.0	contig
T2T04_hifiasm_trio	h2tg000007l	chr16	92880001	100	96330374	92880001	1	100	100.0	100	100	0.01	scaffold
T2T04_hifiasm_trio	h2tg000017l	chr17	83152832	0	84276897	83152832	0	0	0.0	0	0	0.0	contig
T2T04_hifiasm_trio	h2tg000008l	chr18	80264335	0	80542538	80264335	0	0	0.0	0	0	0.0	contig
T2T04_hifiasm_trio	h2tg000021l	chr19	62721423	1221711	61707364	62721423	2	1221711	610855.5	1203186	18525	0.03	scaffold
T2T04_hifiasm_trio	h2tg000004l	chr2	242234727	0	242696752	242234727	0	0	0.0	0	0	0.0	contig
T2T04_hifiasm_trio	h2tg000014l	chr20	66491881	0	66210255	66491881	0	0	0.0	0	0	0.0	contig
T2T04_hifiasm_trio	h2tg000025l	chr21	46519524	0	45090682	46519524	0	0	0.0	0	0	0.0	contig
T2T04_hifiasm_trio	h2tg000003l	chr22	46829965	0	51324926	46829965	0	0	0.0	0	0	0.0	contig
T2T04_hifiasm_trio	h2tg000009l	chr3	200471290	100	201105948	200471290	1	100	100.0	100	100	0.0	scaffold
T2T04_hifiasm_trio	h2tg000005l	chr4	191276788	0	193574945	191276788	0	0	0.0	0	0	0.0	contig
T2T04_hifiasm_trio	h2tg000016l	chr5	182840019	0	182045439	182840019	0	0	0.0	0	0	0.0	contig
T2T04_hifiasm_trio	h2tg000011l	chr6	172730078	100	172126628	172730078	1	100	100.0	100	100	0.01	scaffold
T2T04_hifiasm_trio	h2tg000001l	chr7	160703531	0	160567428	160703531	0	0	0.0	0	0	0.0	contig
T2T04_hifiasm_trio	h2tg000013l	chr8	145310573	0	146259331	145310573	0	0	0.0	0	0	0.0	contig
T2T04_hifiasm_trio	h2tg000019l	chr9	134880276	0	150617247	134880276	0	0	0.0	0	0	0.0	contig
T2T04_hifiasm_trio	h2tg000022l	chrY	51891988	0	62460029	51891988	0	0	0.0	0	0	0.0	contig
