#sample	chromosome	file_name	variants	phased	unphased	singletons	blocks	variant_per_block_median	variant_per_block_avg	variant_per_block_min	variant_per_block_max	variant_per_block_sum	bp_per_block_median	bp_per_block_avg	bp_per_block_min	bp_per_block_max	bp_per_block_sum	heterozygous_variants	heterozygous_snvs	phased_snvs	phased_fraction	phased_snvs_fraction	block_n50
syndip	chr1	assembly/variants/T2T00_hifiasm_porec/phased_hifiasm/small_variants.dip.vcf.gz	384542	267386	8498	0	1	267386	267386.0	267386	267386	267386	248375637	248375637.0	248375637	248375637	248375637	275884	218352	210261	0.9691971988226936	0.9629451527808309	248375637
syndip	chr2	assembly/variants/T2T00_hifiasm_porec/phased_hifiasm/small_variants.dip.vcf.gz	361195	250856	579	0	1	250856	250856.0	250856	250856	250856	242517024	242517024.0	242517024	242517024	242517024	251435	197330	196809	0.9976972179688588	0.9973597526985253	242517024
syndip	chr3	assembly/variants/T2T00_hifiasm_porec/phased_hifiasm/small_variants.dip.vcf.gz	310132	211915	7852	0	1	211915	211915.0	211915	211915	211915	201098698	201098698.0	201098698	201098698	201098698	219767	175956	170065	0.9642712509157426	0.9665200391006843	201098698
syndip	chr4	assembly/variants/T2T00_hifiasm_porec/phased_hifiasm/small_variants.dip.vcf.gz	335754	232163	3238	0	1	232163	232163.0	232163	232163	232163	193487794	193487794.0	193487794	193487794	193487794	235401	192014	189041	0.9862447483230743	0.9845167539866885	193487794
syndip	chr5	assembly/variants/T2T00_hifiasm_porec/phased_hifiasm/small_variants.dip.vcf.gz	278711	196000	1	0	1	196000	196000.0	196000	196000	196000	181994113	181994113.0	181994113	181994113	181994113	196001	157044	157043	0.9999948979852143	0.9999936323578106	181994113
syndip	chr6	assembly/variants/T2T00_hifiasm_porec/phased_hifiasm/small_variants.dip.vcf.gz	311096	217311	625	0	1	217311	217311.0	217311	217311	217311	172115959	172115959.0	172115959	172115959	172115959	217936	178371	177804	0.9971321855957712	0.9968212321509663	172115959
syndip	chr7	assembly/variants/T2T00_hifiasm_porec/phased_hifiasm/small_variants.dip.vcf.gz	285888	197266	3	0	1	197266	197266.0	197266	197266	197266	160546508	160546508.0	160546508	160546508	160546508	197269	157304	157301	0.9999847923393944	0.9999809286477139	160546508
syndip	chrX	assembly/variants/T2T00_hifiasm_porec/phased_hifiasm/small_variants.dip.vcf.gz	134112	134111	1	0	1	134111	134111.0	134111	134111	134111	154238985	154238985.0	154238985	154238985	154238985	134112	100343	100342	0.9999925435456931	0.9999900341827531	154238985
syndip	chr9	assembly/variants/T2T00_hifiasm_porec/phased_hifiasm/small_variants.dip.vcf.gz	236376	160445	2428	0	1	160445	160445.0	160445	160445	160445	150610674	150610674.0	150610674	150610674	150610674	162873	126887	124875	0.9850926795724276	0.9841433716613995	150610674
syndip	chr8	assembly/variants/T2T00_hifiasm_porec/phased_hifiasm/small_variants.dip.vcf.gz	242248	158056	1359	0	1	158056	158056.0	158056	158056	158056	146233312	146233312.0	146233312	146233312	146233312	159415	128573	127300	0.9914750807640436	0.9900990099009901	146233312
