File name::assembly/qc/phased_hprc/HG01361/T2T_contigs.haplotype1.paf, l.n::162
HG01361#1#CM089019.1	247519237	33025	247494788	+	chr1	248387328	3209	248384138
HG01361#1#CM089020.1	242695984	11723	242668773	+	chr2	242696752	3355	242692891
HG01361#1#CM089021.1	200800509	8018	200781915	+	chr3	201105948	2631	201100096
HG01361#1#CM089022.1	191319697	13343	191225346	+	chr4	193574945	3263	193542783
HG01361#1#CM089023.1	182191846	23277	182111973	+	chr5	182045439	3403	181966214
HG01361#1#CM089024.1	173688909	121576	173676153	+	chr6	172126628	2882	172123997
HG01361#1#CM089025.1	147437824	163270	147432393	+	chr8	146259331	2068	146253993
HG01361#1#CM089026.1	135655967	16822	135644773	+	chr9	150617247	5501	150614561
HG01361#1#CM089027.1	135296179	11939	135258691	+	chr10	134758134	3895	134641500
HG01361#1#CM089028.1	134522544	81339	134498221	+	chr11	135127769	129447	135124313
HG01361#1#CM089029.1	133662817	13945	133647892	+	chr12	133324548	4043	133322282
HG01361#1#CM089030.1	97292521	19310	97280314	+	chr15	99753195	6405	99749108
HG01361#1#CM089031.1	88442693	22728	88421596	+	chr16	96330374	3675	96327643
HG01361#1#CM089032.1	80222484	15387	80209060	+	chr18	80542538	164902	80538995
HG01361#1#CM089033.1	67071049	19243	67038363	+	chr20	66210255	2724	66205788
HG01361#1#CM089034.1	154031596	1109948	154012352	+	chrX	154259566	1806541	154255757
HG01361#1#JAGYYX020000001.1	96487646	1168691	96466902	+	chr14	101161492	3373069	101159670
HG01361#1#JAGYYX020000054.1	59375991	13321	59375988	+	chr19	61707364	3657	58809361
