contig	color
haplotype1-0000001	#808080	chr21
haplotype1-0000002	#CCA0BF	chr18
haplotype1-0000003	#D58C66	chr20
haplotype1-0000004	#E6B847	chr15
haplotype1-0000005	#1A7FBA	chr12
haplotype1-0000006	#009E73	chr3
haplotype1-0000007	#338CC2	chr19
haplotype1-0000008	#CC8DB3	chr11
haplotype1-0000009	#CC79A7	chr4
haplotype1-0000010	#567DE9	chr16
haplotype1-0000011	#5699E9	chr9
haplotype1-0000012	#E6C47F	chr22
haplotype1-0000013	#00B28C	chr17
haplotype1-0000014	#E6AB23	chr8
haplotype1-0000015	#56B4E9	chr2
haplotype1-0000016	#666666	chr7
haplotype1-0000017	#00A880	chr10
haplotype1-0000018	#737373	chr14
haplotype1-0000019	#8C564B	chrY
haplotype1-0000020	#00B28C	chr17
haplotype1-0000021	#D55E00	chr6
haplotype1-0000022	#808080	chr21
haplotype1-0000023	#0072B2	chr5
haplotype1-0000024	#808080	chr21
haplotype1-0000025	#D57533	chr13
haplotype1-0000026	#808080	chr21
haplotype1-0000027	#E6C47F	chr22
haplotype1-0000028	#8C564B	chrY
haplotype1-0000029	#E69F00	chr1
haplotype1-0000030	#D57533	chr13
haplotype1-0000031	#D58C66	chr20
haplotype1-0000032	#D58C66	chr20
haplotype1-0000033	#D55E00	chr6
haplotype1-0000034	#E69F00	chr1
haplotype1-0000035	#D58C66	chr20
haplotype1-0000036	#D58C66	chr20
haplotype1-0000037	#808080	chr21
haplotype1-0000038	#E6B847	chr15
haplotype1-0000039	#D57533	chr13
haplotype1-0000040	#808080	chr21
haplotype1-0000041	#E69F00	chr1
haplotype1-0000042	#E69F00	chr1
haplotype1-0000043	#D57533	chr13
haplotype1-0000044	#D58C66	chr20
haplotype1-0000045	#D58C66	chr20
haplotype1-0000046	#D58C66	chr20
haplotype1-0000047	#D57533	chr13
haplotype1-0000048	#D57533	chr13
haplotype1-0000049	#808080	chr21
haplotype1-0000050	#D58C66	chr20
haplotype1-0000051	#D58C66	chr20
haplotype1-0000052	#D58C66	chr20
haplotype1-0000053	#808080	chr21
haplotype1-0000054	#E6B847	chr15
haplotype1-0000055	#E6B847	chr15
haplotype1-0000056	#808080	chr21
haplotype1-0000057	#E6B847	chr15
haplotype1-0000058	#D57533	chr13
haplotype1-0000059	#808080	chr21
haplotype1-0000060	#E6B847	chr15
haplotype1-0000061	#E6B847	chr15
haplotype1-0000062	#808080	chr21
haplotype1-0000063	#E6B847	chr15
haplotype1-0000064	#E6C47F	chr22
haplotype1-0000065	#E6C47F	chr22
haplotype1-0000066	#00A880	chr10
haplotype1-0000067	#00A880	chr10
haplotype1-0000068	#808080	chr21
haplotype1-0000069	#737373	chr14
haplotype1-0000070	#737373	chr14
haplotype1-0000071	#737373	chr14
haplotype1-0000072	#808080	chr21
haplotype1-0000073	#D57533	chr13
haplotype1-0000074	#D57533	chr13
haplotype1-0000075	#D57533	chr13
haplotype1-0000076	#D57533	chr13
haplotype1-0000077	#808080	chr21
haplotype1-0000078	#D57533	chr13
haplotype1-0000079	#D57533	chr13
haplotype1-0000080	#D57533	chr13
haplotype1-0000081	#737373	chr14
haplotype1-0000082	#D57533	chr13
haplotype1-0000083	#D57533	chr13
haplotype1-0000084	#808080	chr21
haplotype1-0000085	#D57533	chr13
haplotype1-0000086	#E69F00	chr1
haplotype1-0000087	#D58C66	chr20
haplotype1-0000088	#009E73	chr3
haplotype1-0000089	#D57533	chr13
haplotype1-0000090	#737373	chr14
haplotype1-0000091	#737373	chr14
haplotype1-0000092	#808080	chr21
haplotype1-0000093	#8C564B	chrY
haplotype1-0000094	#8C564B	chrY
haplotype1-0000095	#E6C47F	chr22
haplotype1-0000096	#808080	chr21
haplotype1-0000097	#737373	chr14
haplotype1-0000098	#808080	chr21
haplotype1-0000099	#808080	chr21
haplotype1-0000100	#D57533	chr13
haplotype1-0000101	#E6C47F	chr22
haplotype1-0000102	#E6B847	chr15
haplotype1-0000103	#808080	chr21
haplotype1-0000104	#E6B847	chr15
haplotype1-0000105	#737373	chr14
haplotype2-0000106	#E6B847	chr15
haplotype2-0000107	#1A7FBA	chr12
haplotype2-0000108	#338CC2	chr19
haplotype2-0000109	#CC79A7	chr4
haplotype2-0000110	#D58C66	chr20
haplotype2-0000111	#5699E9	chr9
haplotype2-0000112	#E6C47F	chr22
haplotype2-0000113	#00B28C	chr17
haplotype2-0000114	#9467BD	chrX
haplotype2-0000115	#E6AB23	chr8
haplotype2-0000116	#666666	chr7
haplotype2-0000117	#567DE9	chr16
haplotype2-0000118	#00A880	chr10
haplotype2-0000119	#CCA0BF	chr18
haplotype2-0000120	#737373	chr14
haplotype2-0000121	#00B28C	chr17
haplotype2-0000122	#D57533	chr13
haplotype2-0000123	#D55E00	chr6
haplotype2-0000124	#808080	chr21
haplotype2-0000125	#E69F00	chr1
haplotype2-0000126	#8C564B	chrY
haplotype2-0000127	#0072B2	chr5
haplotype2-0000128	#808080	chr21
haplotype2-0000129	#009E73	chr3
haplotype2-0000130	#CC8DB3	chr11
haplotype2-0000131	#56B4E9	chr2
haplotype2-0000132	#E6C47F	chr22
haplotype2-0000133	#E6C47F	chr22
haplotype2-0000134	#E6C47F	chr22
haplotype2-0000135	#737373	chr14
haplotype2-0000136	#E6C47F	chr22
haplotype2-0000137	#E6C47F	chr22
haplotype2-0000138	#D57533	chr13
haplotype2-0000139	#00B28C	chr17
haplotype2-0000140	#00B28C	chr17
