sample	category	subcategory	sv_type	count	total_length	mean_length
T2T00	chromosome	chr1	DEL	2490	0	0.0
T2T00	chromosome	chr10	DEL	1303	0	0.0
T2T00	chromosome	chr11	DEL	976	0	0.0
T2T00	chromosome	chr12	DEL	970	0	0.0
T2T00	chromosome	chr13	DEL	1036	0	0.0
T2T00	chromosome	chr14	DEL	979	0	0.0
T2T00	chromosome	chr15	DEL	1705	0	0.0
T2T00	chromosome	chr16	DEL	2171	0	0.0
T2T00	chromosome	chr17	DEL	1583	0	0.0
T2T00	chromosome	chr18	DEL	938	0	0.0
T2T00	chromosome	chr19	DEL	808	0	0.0
T2T00	chromosome	chr2	DEL	1702	0	0.0
T2T00	chromosome	chr20	DEL	981	0	0.0
T2T00	chromosome	chr21	DEL	721	0	0.0
T2T00	chromosome	chr22	DEL	1135	0	0.0
T2T00	chromosome	chr3	DEL	1436	0	0.0
T2T00	chromosome	chr4	DEL	1049	0	0.0
T2T00	chromosome	chr5	DEL	1330	0	0.0
T2T00	chromosome	chr6	DEL	1045	0	0.0
T2T00	chromosome	chr7	DEL	1259	0	0.0
T2T00	chromosome	chr8	DEL	1154	0	0.0
T2T00	chromosome	chr9	DEL	2988	0	0.0
T2T00	chromosome	chrX	DEL	474	0	0.0
T2T00	chromosome	chrY	DEL	567	0	0.0
T2T00	chromosome	chr1	INS	2416	0	0.0
T2T00	chromosome	chr10	INS	1349	0	0.0
T2T00	chromosome	chr11	INS	1107	0	0.0
T2T00	chromosome	chr12	INS	1007	0	0.0
T2T00	chromosome	chr13	INS	933	0	0.0
T2T00	chromosome	chr14	INS	878	0	0.0
T2T00	chromosome	chr15	INS	1766	0	0.0
T2T00	chromosome	chr16	INS	1984	0	0.0
T2T00	chromosome	chr17	INS	887	0	0.0
T2T00	chromosome	chr18	INS	739	0	0.0
T2T00	chromosome	chr19	INS	806	0	0.0
T2T00	chromosome	chr2	INS	1686	0	0.0
T2T00	chromosome	chr20	INS	797	0	0.0
T2T00	chromosome	chr21	INS	723	0	0.0
