#sample	chromosome	phase_set	from	to	variants
syndip	chr1	0	3211	248384152	251205
syndip	chr2	0	3155	242694066	237911
syndip	chr3	0	2460	201100844	205593
syndip	chr4	0	3022	193490816	223627
syndip	chr5	0	1855	182044304	186815
syndip	chr6	0	8047	172124006	203233
syndip	chr7	0	3200	160565562	187889
syndip	chrX	0	5347	154256551	128943
syndip	chr9	0	3545	150614219	156997
syndip	chr8	0	2183	146242688	150845
syndip	chr11	0	1837	135125485	190362
syndip	chr10	0	3727	134754977	150340
syndip	chr12	0	3019	133322669	138297
syndip	chr13	0	4933280	113562614	108823
syndip	chr14	0	2510	101159346	143835
syndip	chr15	0	6091	99749463	156490
syndip	chr16	0	3666	96327872	129837
syndip	chr17	0	2260	84237411	93092
syndip	chr18	0	163949	80539281	92802
syndip	chr20	0	2374	66206087	83332
syndip	chr19	0	2210	61703957	86487
syndip	chr22	0	4721	51322042	118919
syndip	chr21	0	3159	45086599	72638
