File name::assembly/qc/phased_verkko/TUE_02_06UL_02DX/T2T_contigs.haplotype2.paf, l.n::216
haplotype2-0000167	61710830	6597	61704731	-	chr19	61707364	3375	61703590
haplotype2-0000169	182225309	16	182147557	+	chr5	182045439	4176	181966214
haplotype2-0000170	242844904	5685	242836367	+	chr2	242696752	3355	242693051
haplotype2-0000171	136369415	767	136360977	-	chr10	134758134	3895	134691340
haplotype2-0000172	246925790	8589	246906349	-	chr1	248387328	6457	248384213
haplotype2-0000173	136612455	5280	136605788	-	chr11	135127769	2922	135125193
haplotype2-0000174	79952849	5614	79946788	-	chr18	80542538	164922	80538991
haplotype2-0000175	82871778	5717	82863712	+	chr17	84276897	2214	84272750
haplotype2-0000176	92228059	213223	92220584	+	chr16	96330374	25628	96327790
haplotype2-0000177	172628947	106116	172620899	+	chr6	172126628	2882	172123886
haplotype2-0000178	65609107	7243	65602258	-	chr20	66210255	2724	66205814
haplotype2-0000179	159957240	6632	159950064	+	chr7	160567428	3374	160564029
haplotype2-0000180	99403454	6699	98628939	-	chr14	101161492	3373084	101159958
haplotype2-0000181	145735886	5432	145588514	-	chr8	146259331	2068	146253993
haplotype2-0000182	136369211	6227	136363835	+	chr9	150617247	3677	150500186
haplotype2-0000186	154300383	4743	154290407	+	chrX	154259566	1815	154255197
haplotype2-0000187	133652205	6161	133645220	+	chr12	133324548	3416	133322219
haplotype2-0000188	48612259	5561	48611766	-	chr22	51324926	2319236	51322011
haplotype2-0000191	191222625	7038	191185489	+	chr4	193574945	3254	193499924
haplotype2-0000192	200481883	7220	200474729	-	chr3	201105948	3117	201100860
haplotype2-0000193	94767176	105159	94593700	+	chr15	99753195	4689067	99748717
