#sample	chromosome	file_name	variants	phased	unphased	singletons	blocks	variant_per_block_median	variant_per_block_avg	variant_per_block_min	variant_per_block_max	variant_per_block_sum	bp_per_block_median	bp_per_block_avg	bp_per_block_min	bp_per_block_max	bp_per_block_sum	heterozygous_variants	heterozygous_snvs	phased_snvs	phased_fraction	phased_snvs_fraction	block_n50
syndip	chr1	assembly/variants/T2T07/phased_verkko/small_variants.dip.vcf.gz	363884	233180	4440	0	1	233180	233180.0	233180	233180	233180	248354008	248354008.0	248354008	248354008	248354008	237620	197546	193438	0.9813147041494824	0.9792048434288723	248354008
syndip	chr2	assembly/variants/T2T07/phased_verkko/small_variants.dip.vcf.gz	360816	232724	587	0	1	232724	232724.0	232724	232724	232724	242689923	242689923.0	242689923	242689923	242689923	233311	193201	192672	0.9974840449014406	0.997261918934167	242689923
syndip	chr3	assembly/variants/T2T07/phased_verkko/small_variants.dip.vcf.gz	325184	209436	839	0	1	209436	209436.0	209436	209436	209436	199558309	199558309.0	199558309	199558309	199558309	210275	177400	176645	0.996009986921888	0.9957440811724916	199558309
syndip	chr4	assembly/variants/T2T07/phased_verkko/small_variants.dip.vcf.gz	320380	211523	2024	0	1	211523	211523.0	211523	211523	211523	193566757	193566757.0	193566757	193566757	193566757	213547	179870	177915	0.9905219928165696	0.9891310390837827	193566757
syndip	chr5	assembly/variants/T2T07/phased_verkko/small_variants.dip.vcf.gz	295396	196951	28	0	1	196951	196951.0	196951	196951	196951	182042316	182042316.0	182042316	182042316	182042316	196979	164496	164475	0.9998578528675646	0.9998723373212722	182042316
syndip	chr6	assembly/variants/T2T07/phased_verkko/small_variants.dip.vcf.gz	293839	175646	0	0	1	175646	175646.0	175646	175646	175646	172119315	172119315.0	172119315	172119315	172119315	175646	146519	146519	1.0	1.0	172119315
syndip	chr7	assembly/variants/T2T07/phased_verkko/small_variants.dip.vcf.gz	285892	192740	49	0	1	192740	192740.0	192740	192740	192740	160556592	160556592.0	160556592	160556592	160556592	192789	161091	161072	0.9997458361213555	0.9998820542426331	160556592
syndip	chrX	assembly/variants/T2T07/phased_verkko/small_variants.dip.vcf.gz	200907	139451	16	0	1	139451	139451.0	139451	139451	139451	154140578	154140578.0	154140578	154140578	154140578	139467	118270	118257	0.9998852775208472	0.9998900820157267	154140578
syndip	chr9	assembly/variants/T2T07/phased_verkko/small_variants.dip.vcf.gz	228059	155922	522	0	1	155922	155922.0	155922	155922	155922	150609944	150609944.0	150609944	150609944	150609944	156444	128990	128504	0.9966633427935875	0.996232266067137	150609944
syndip	chr8	assembly/variants/T2T07/phased_verkko/small_variants.dip.vcf.gz	255900	163768	172	0	1	163768	163768.0	163768	163768	163768	146255219	146255219.0	146255219	146255219	146255219	163940	139626	139472	0.9989508356715872	0.9988970535573604	146255219
syndip	chr11	assembly/variants/T2T07/phased_verkko/small_variants.dip.vcf.gz	257567	179435	959	0	1	179435	179435.0	179435	179435	179435	135123019	135123019.0	135123019	135123019	135123019	180394	157551	156607	0.9946838586649224	0.9940082893793121	135123019
syndip	chr10	assembly/variants/T2T07/phased_verkko/small_variants.dip.vcf.gz	227611	152254	6	0	1	152254	152254.0	152254	152254	152254	134667877	134667877.0	134667877	134667877	134667877	152260	126366	126360	0.9999605937212662	0.9999525188737477	134667877
syndip	chr12	assembly/variants/T2T07/phased_verkko/small_variants.dip.vcf.gz	216228	146074	642	0	1	146074	146074.0	146074	146074	146074	133319236	133319236.0	133319236	133319236	133319236	146716	121419	120791	0.9956241991330189	0.9948278276052348	133319236
syndip	chr13	assembly/variants/T2T07/phased_verkko/small_variants.dip.vcf.gz	174957	117563	6	0	1	117563	117563.0	117563	117563	117563	108172987	108172987.0	108172987	108172987	108172987	117569	97694	97689	0.9999489661390333	0.9999488197842242	108172987
syndip	chr14	assembly/variants/T2T07/phased_verkko/small_variants.dip.vcf.gz	186447	129779	2386	0	1	129779	129779.0	129779	129779	129779	100471263	100471263.0	100471263	100471263	100471263	132165	113071	110808	0.981946808913101	0.9799860264789381	100471263
syndip	chr15	assembly/variants/T2T07/phased_verkko/small_variants.dip.vcf.gz	209678	149908	7337	0	1	149908	149908.0	149908	149908	149908	99744596	99744596.0	99744596	99744596	99744596	157245	134868	128370	0.9533403287862889	0.9518195569000801	99744596
syndip	chr16	assembly/variants/T2T07/phased_verkko/small_variants.dip.vcf.gz	177115	124391	268	0	1	124391	124391.0	124391	124391	124391	96285062	96285062.0	96285062	96285062	96285062	124659	106831	106596	0.9978501351687403	0.9978002639683238	96285062
syndip	chr17	assembly/variants/T2T07/phased_verkko/small_variants.dip.vcf.gz	174604	121711	0	0	1	121711	121711.0	121711	121711	121711	84227390	84227390.0	84227390	84227390	84227390	121711	102334	102334	1.0	1.0	84227390
syndip	chr18	assembly/variants/T2T07/phased_verkko/small_variants.dip.vcf.gz	138081	95194	1077	0	1	95194	95194.0	95194	95194	95194	80374042	80374042.0	80374042	80374042	80374042	96271	82349	81318	0.9888128304473829	0.987480115119795	80374042
syndip	chr20	assembly/variants/T2T07/phased_verkko/small_variants.dip.vcf.gz	120229	82422	120	0	1	82422	82422.0	82422	82422	82422	66204531	66204531.0	66204531	66204531	66204531	82542	70628	70523	0.9985461946645344	0.9985133374865492	66204531
syndip	chr19	assembly/variants/T2T07/phased_verkko/small_variants.dip.vcf.gz	127387	92976	149	0	1	92976	92976.0	92976	92976	92976	61701263	61701263.0	61701263	61701263	61701263	93125	76821	76690	0.9984	0.9982947371161531	61701263
syndip	chr22	assembly/variants/T2T07/phased_verkko/small_variants.dip.vcf.gz	164303	127480	8172	0	1	127480	127480.0	127480	127480	127480	51317752	51317752.0	51317752	51317752	51317752	135652	121684	114102	0.9397576150738655	0.937691068669669	51317752
syndip	chr21	assembly/variants/T2T07/phased_verkko/small_variants.dip.vcf.gz	102716	71708	6122	0	1	71708	71708.0	71708	71708	71708	45083128	45083128.0	45083128	45083128	45083128	77830	67605	61994	0.9213413850700244	0.9170031802381481	45083128
syndip	ALL	assembly/variants/T2T07/phased_verkko/small_variants.dip.vcf.gz	5207180	3502236	35921	0	23	149908	152271.13043478262	71708	233180	3502236	134667877	132460222.04347827	45083128	248354008	3046585107	3538157	2986230	2953151	0.9898475392697385	0.9889228224215817	154140578
