sample	contig	chromosome	contig_length	gap_length	ref_length	motif_length	n_gaps	total_gap_length_bed	mean_gap_size	max_gap_size	min_gap_size	gap_density	classification
T2T11	haplotype1-0000012	chr10	135309922	200000	134758134	135309922	2	200000	100000.0	100000	100000	0.01	scaffold
T2T11	haplotype1-0000015	chr11	134239582	7500	135127769	134239582	1	7500	7500.0	7500	7500	0.01	scaffold
T2T11	haplotype1-0000019	chr12	133674677	83222	133324548	133674677	3	83222	27740.7	68222	7500	0.02	scaffold
T2T11	haplotype1-0000029	chr16	94151111	603845	96330374	94151111	10	603845	60384.5	100000	1500	0.11	scaffold
T2T11	haplotype1-0000014	chr17	84229348	15000	84276897	84229348	2	15000	7500.0	7500	7500	0.02	scaffold
T2T11	haplotype1-0000018	chr18	79750115	107500	80542538	79750115	2	107500	53750.0	100000	7500	0.03	scaffold
T2T11	haplotype1-0000010	chr2	241280058	15000	242696752	241280058	2	15000	7500.0	7500	7500	0.01	scaffold
T2T11	haplotype1-0000017	chr20	66260056	7500	66210255	66260056	1	7500	7500.0	7500	7500	0.02	scaffold
T2T11	haplotype1-0000026	chr3	201119679	7500	201105948	201119679	1	7500	7500.0	7500	7500	0.0	scaffold
T2T11	haplotype1-0000013	chr4	192238129	7500	193574945	192238129	1	7500	7500.0	7500	7500	0.01	scaffold
T2T11	haplotype1-0000003	chr5	183266363	100000	182045439	183266363	1	100000	100000.0	100000	100000	0.01	scaffold
T2T11	haplotype1-0000020	chr6	171538981	16500	172126628	171538981	3	16500	5500.0	7500	1500	0.02	scaffold
T2T11	haplotype1-0000021	chr7	160062611	122500	160567428	160062611	4	122500	30625.0	100000	7500	0.02	scaffold
T2T11	haplotype1-0000025	chr8	145849880	47918	146259331	145849880	3	47918	15972.7	38918	1500	0.02	scaffold
