#sample	chromosome	dataset_name0	dataset_name1	file_name0	file_name1	intersection_blocks	covered_variants	all_assessed_pairs	all_switches	all_switch_rate	all_switchflips	all_switchflip_rate	blockwise_hamming	blockwise_hamming_rate	blockwise_diff_genotypes	blockwise_diff_genotypes_rate	largestblock_assessed_pairs	largestblock_switches	largestblock_switch_rate	largestblock_switchflips	largestblock_switchflip_rate	largestblock_hamming	largestblock_hamming_rate	largestblock_diff_genotypes	largestblock_diff_genotypes_rate	het_variants0	only_snvs
SAMPLE	chr1	giab	assembly	assembly/qc/phased_hifiasm/TUE_02_03_hifiasm_ont/giab.filtered.vcf.gz	assembly/qc/phased_hifiasm/TUE_02_03_hifiasm_ont/assembly.filtered.vcf.gz	1	31938	31937	1723	0.05394996399160848	979/372	0.04230203212574757	15412	0.48255995992234957	0	0.0	31937	1723	0.05394996399160848	979/372	0.04230203212574757	15412	0.48255995992234957	0	0.0	135054	0
SAMPLE	chr10	giab	assembly	assembly/qc/phased_hifiasm/TUE_02_03_hifiasm_ont/giab.filtered.vcf.gz	assembly/qc/phased_hifiasm/TUE_02_03_hifiasm_ont/assembly.filtered.vcf.gz	1	21563	21562	1141	0.052917169093776084	683/229	0.0422966329654021	9776	0.4533691972360061	0	0.0	21562	1141	0.052917169093776084	683/229	0.0422966329654021	9776	0.4533691972360061	0	0.0	74605	0
SAMPLE	chr11	giab	assembly	assembly/qc/phased_hifiasm/TUE_02_03_hifiasm_ont/giab.filtered.vcf.gz	assembly/qc/phased_hifiasm/TUE_02_03_hifiasm_ont/assembly.filtered.vcf.gz	1	19110	19109	1086	0.05683185933329844	622/232	0.044690983306295465	9229	0.48294086865515434	0	0.0	19109	1086	0.05683185933329844	622/232	0.044690983306295465	9229	0.48294086865515434	0	0.0	69432	0
SAMPLE	chr12	giab	assembly	assembly/qc/phased_hifiasm/TUE_02_03_hifiasm_ont/giab.filtered.vcf.gz	assembly/qc/phased_hifiasm/TUE_02_03_hifiasm_ont/assembly.filtered.vcf.gz	1	18324	18323	1044	0.05697756917535338	592/226	0.04464334443049719	8932	0.4874481554245798	0	0.0	18323	1044	0.05697756917535338	592/226	0.04464334443049719	8932	0.4874481554245798	0	0.0	69101	0
SAMPLE	chr13	giab	assembly	assembly/qc/phased_hifiasm/TUE_02_03_hifiasm_ont/giab.filtered.vcf.gz	assembly/qc/phased_hifiasm/TUE_02_03_hifiasm_ont/assembly.filtered.vcf.gz	1	14955	14954	758	0.05068877892202755	406/176	0.038919352681556774	7067	0.47255098629221	0	0.0	14954	758	0.05068877892202755	406/176	0.038919352681556774	7067	0.47255098629221	0	0.0	54383	0
SAMPLE	chr14	giab	assembly	assembly/qc/phased_hifiasm/TUE_02_03_hifiasm_ont/giab.filtered.vcf.gz	assembly/qc/phased_hifiasm/TUE_02_03_hifiasm_ont/assembly.filtered.vcf.gz	1	13296	13295	693	0.05212485896953742	411/141	0.041519368183527645	6205	0.46668170878459686	0	0.0	13295	693	0.05212485896953742	411/141	0.041519368183527645	6205	0.46668170878459686	0	0.0	80553	0
SAMPLE	chr15	giab	assembly	assembly/qc/phased_hifiasm/TUE_02_03_hifiasm_ont/giab.filtered.vcf.gz	assembly/qc/phased_hifiasm/TUE_02_03_hifiasm_ont/assembly.filtered.vcf.gz	1	12363	12362	722	0.05840478886911503	378/172	0.04449118265652807	5648	0.45684704359783224	0	0.0	12362	722	0.05840478886911503	378/172	0.04449118265652807	5648	0.45684704359783224	0	0.0	72520	0
SAMPLE	chr16	giab	assembly	assembly/qc/phased_hifiasm/TUE_02_03_hifiasm_ont/giab.filtered.vcf.gz	assembly/qc/phased_hifiasm/TUE_02_03_hifiasm_ont/assembly.filtered.vcf.gz	1	13043	13042	804	0.06164698665848796	476/164	0.049072228185861065	5790	0.4439162769301541	0	0.0	13042	804	0.06164698665848796	476/164	0.049072228185861065	5790	0.4439162769301541	0	0.0	56356	0
SAMPLE	chr17	giab	assembly	assembly/qc/phased_hifiasm/TUE_02_03_hifiasm_ont/giab.filtered.vcf.gz	assembly/qc/phased_hifiasm/TUE_02_03_hifiasm_ont/assembly.filtered.vcf.gz	1	11885	11884	735	0.06184786267250084	429/153	0.04897340962638842	4880	0.4106015986537653	0	0.0	11884	735	0.06184786267250084	429/153	0.04897340962638842	4880	0.4106015986537653	0	0.0	44327	0
SAMPLE	chr18	giab	assembly	assembly/qc/phased_hifiasm/TUE_02_03_hifiasm_ont/giab.filtered.vcf.gz	assembly/qc/phased_hifiasm/TUE_02_03_hifiasm_ont/assembly.filtered.vcf.gz	1	10721	10720	704	0.06567164179104477	412/146	0.05205223880597015	4997	0.46609458072940957	0	0.0	10720	704	0.06567164179104477	412/146	0.05205223880597015	4997	0.46609458072940957	0	0.0	40932	0
