sample	contig	chromosome	contig_length	gap_length	ref_length	motif_length	n_gaps	total_gap_length_bed	mean_gap_size	max_gap_size	min_gap_size	gap_density	classification
T2T_HG002	haplotype1-0000010	chr1	252142757	7500	248387328	252142757	1	7500	7500.0	7500	7500	0.0	scaffold
T2T_HG002	haplotype1-0000021	chr10	135834116	7500	134758134	135834116	1	7500	7500.0	7500	7500	0.01	scaffold
T2T_HG002	haplotype1-0000022	chr11	133990373	0	135127769	133990373	0	0	0.0	0	0	0.0	contig
T2T_HG002	haplotype1-0000012	chr12	133102132	0	133324548	133102132	0	0	0.0	0	0	0.0	contig
T2T_HG002	haplotype1-0000018	chr14	103777641	100000	101161492	103777641	1	100000	100000.0	100000	100000	0.01	scaffold
T2T_HG002	haplotype1-0000004	chr15	97740211	168192	99753195	97740211	3	168192	56064.0	100000	7500	0.03	scaffold
T2T_HG002	haplotype1-0000020	chr16	90540405	48880	96330374	90540405	2	48880	24440.0	41380	7500	0.02	scaffold
T2T_HG002	haplotype1-0000016	chr17	83929072	100626	84276897	83929072	5	100626	20125.2	70626	7500	0.06	scaffold
T2T_HG002	haplotype1-0000015	chr18	78912075	0	80542538	78912075	0	0	0.0	0	0	0.0	contig
T2T_HG002	haplotype1-0000002	chr19	61315961	0	61707364	61315961	0	0	0.0	0	0	0.0	contig
T2T_HG002	haplotype1-0000014	chr2	242240725	9000	242696752	242240725	2	9000	4500.0	7500	1500	0.01	scaffold
T2T_HG002	haplotype1-0000008	chr20	66073942	0	66210255	66073942	0	0	0.0	0	0	0.0	contig
T2T_HG002	haplotype1-0000017	chr3	201515007	0	201105948	201515007	0	0	0.0	0	0	0.0	contig
T2T_HG002	haplotype1-0000013	chr5	183368628	48070	182045439	183368628	1	48070	48070.0	48070	48070	0.01	scaffold
T2T_HG002	haplotype1-0000009	chr6	174749584	0	172126628	174749584	0	0	0.0	0	0	0.0	contig
T2T_HG002	haplotype1-0000006	chr7	160207738	7500	160567428	160207738	1	7500	7500.0	7500	7500	0.01	scaffold
T2T_HG002	haplotype1-0000023	chr8	146740909	0	146259331	146740909	0	0	0.0	0	0	0.0	contig
T2T_HG002	haplotype1-0000003	chr9	143881192	7500	150617247	143881192	1	7500	7500.0	7500	7500	0.01	scaffold
T2T_HG002	haplotype1-0000019	chrY	61037712	7500	62460029	61037712	1	7500	7500.0	7500	7500	0.02	scaffold
