#sample	chromosome	phase_set	from	to	variants
syndip	chr1	0	3131	248384169	262539
syndip	chr2	0	3399	242693212	239207
syndip	chr3	0	2321	201088028	228580
syndip	chr4	0	26508	193572966	228971
syndip	chr5	0	3494	182043949	175080
syndip	chr6	0	12536	172121978	204380
syndip	chr7	0	3478	160565390	200436
syndip	chrX	0	108735	154257065	132404
syndip	chr9	0	4828	150614447	157352
syndip	chr8	0	2292	146253953	176783
syndip	chr11	0	67645	135088110	196643
syndip	chr10	0	2227	134675160	134825
syndip	chr12	0	2990	133324401	156810
syndip	chr13	0	5358381	113563195	120652
syndip	chr14	0	6029	101160119	149136
syndip	chr15	0	6091	99749195	157520
syndip	chr16	0	26118	96328415	132646
syndip	chr17	0	46713	84274383	115467
syndip	chr18	0	163704	80539437	93727
syndip	chr20	0	8936	66207580	99555
syndip	chr19	0	2354	61704397	99987
syndip	chr22	0	4599	51294840	128980
syndip	chr21	0	145	45086155	61938
