Chromosome	Origin_HP1	Origin_HP2	PofO_Assignment_Score	NormalizedNum_Differentially_Methylated_CGs_Supported_PofO_Assignment	NormalizedNum_Differentially_Methylated_CGs_Conflicted_PofO_Assignment	Num_Differentially_Methylated_CGs_Supported_PofO_Assignment	Num_Differentially_Methylated_CGs_Conflicted_PofO_Assignment	Num_iDMRs_Supported_PofO_Assignment	Num_iDMRs_Conflicted_PofO_Assignment	Num_All_Differentially_Methylated_CGs_At_Supporting_iDMRs	Num_All_Differentially_Methylated_CGs_At_Conflicting_iDMRs	Num_All_CGs_CouldBeExaminedInBothHaplotypes_At_Supporting_iDMRs	Num_All_CGs_CouldBeExaminedInBothHaplotypes_At_Conflicting_iDMRs
chr1	Paternal	Maternal	1.0	107.35040000000001	0	175	0	2	0	175	0	188	0
chr10	Maternal	Paternal	0.97473	63.26616	1.63992	166	8	3	1	166	8	168	19
chr11	Maternal	Paternal	0.99412	518.7310699999999	3.0698999999999996	692	10	6	1	692	10	719	10
chr12	Paternal	Maternal	0.94597	71.41041999999999	4.078340000000001	196	14	2	2	196	14	204	46
chr13	Paternal	Maternal	0.9712	189.79378000000003	5.62842	277	18	4	1	277	18	351	18
chr14	Maternal	Paternal	1.0	245.42527	0	370	0	5	0	370	0	537	0
chr15	Paternal	Maternal	1.0	540.9307	0	968	0	27	0	968	0	1417	0
chr16	Maternal	Paternal	1.0	154.38594	0	345	0	6	0	345	0	545	0
chr17	Paternal	Maternal	1.0	30.5525	0	110	0	1	0	110	0	139	0
chr18	Maternal	Paternal	1.0	95.63248	0	187	0	2	0	187	0	190	0
chr19	Maternal	Paternal	1.0	464.83191999999997	0	567	0	6	0	567	0	592	0
chr2	Paternal	Maternal	1.0	390.5375	0	632	0	6	0	632	0	674	0
chr20	Maternal	Paternal	1.0	968.55982	0	1318	0	10	0	1318	0	1456	0
chr21	Paternal	Maternal	0.73312	54.072340000000004	19.68414	111	21	2	1	111	21	113	21
chr22	Paternal	Maternal	1.0	59.087700000000005	0	70	0	1	0	70	0	82	0
chr3	Maternal	Paternal	1.0	28.578090000000003	0	84	0	2	0	84	0	85	0
chr4	Paternal	Maternal	1.0	147.22788999999997	0	269	0	5	0	269	0	297	0
chr5	Maternal	Paternal	0.942	77.31718	4.76032	122	16	3	1	122	16	143	21
chr6	Maternal	Paternal	0.95974	282.38734999999997	11.84612	371	52	3	1	371	52	373	69
chr7	Maternal	Paternal	1.0	588.2828	0	790	0	9	0	790	0	833	0
chr8	Paternal	Maternal	1.0	356.9349	0	566	0	8	0	566	0	639	0
chr9	Maternal	Paternal	0.58369	48.44763	34.55496	63	121	1	2	63	121	63	176
