"sequence","count","total_length","percent_repeat","LINE","SINE","LTR","DNA","Simple_repeat","Satellite","Low_complexity"
"haplotype1-0000001",306232,95502626,NA,42174086,19953733,18135255,8165749,1718207,4159552,300644
"haplotype1-0000002",134384,43741798,NA,17932169,8418867,7851272,3550354,840132,4611288,132169
"haplotype1-0000003",491328,142562516,NA,53255582,36159068,22682681,10147916,3470542,14171549,469198
"haplotype1-0000004",149111,40856626,NA,8603456,15936246,5374164,1533129,935156,7217523,191258
"haplotype1-0000005",237813,83533191,NA,29094827,17066867,12067296,5417068,12784797,6063195,239059
"haplotype1-0000006",194981,57481545,NA,14381371,16584081,7359868,3518513,1349661,13243377,219236
"haplotype1-0000007",370817,113272117,NA,49278410,24144389,21520163,9925002,2004064,4945910,333228
"haplotype1-0000008",3420,3226244,NA,341633,122968,217348,33445,275220,2053257,15699
"haplotype1-0000009",80004,42569513,NA,6893554,3974762,4923293,551028,15815623,10050293,93506
"haplotype1-0000010",301367,90113697,NA,36951190,22096198,15680698,7040884,2012316,4671149,310090
"haplotype1-0000011",1619,2596588,NA,123145,43404,79021,11141,424138,1834040,783
"haplotype1-0000012",2,1190293,NA,0,0,0,0,17,1190276,0
"haplotype1-0000013",331053,107992214,NA,48560212,19509201,23840025,8632019,2140060,4156627,342926
"haplotype1-0000014",137995,37670831,NA,13327869,10200665,6324829,3256877,1327106,2586529,146415
"haplotype1-0000015",94293,32080565,NA,7380670,8312992,3313624,1334954,2723137,8084171,104234
"haplotype1-0000016",177791,61004747,NA,24486703,10259277,11744734,4480762,2450132,6647705,204534
"haplotype1-0000017",268342,82052175,NA,35435857,17638176,16125620,6615637,1550060,3463911,277594
"haplotype1-0000018",255454,75801159,NA,30144202,18891728,12658208,6102988,1819689,5047959,253069
"haplotype1-0000019",192483,62299669,NA,20006733,13153662,7418259,3937698,5094724,11396399,277386
"haplotype1-0000020",184733,60424759,NA,22590513,12795598,10374007,4181307,2269247,7117752,207858
"haplotype1-0000021",182993,47594817,NA,13710362,17629492,5901233,3234824,1478570,4575260,171998
"haplotype1-0000022",68534,22596028,NA,7913837,4221679,4895630,1528834,1630416,2023841,98269
"haplotype1-0000023",255814,79713205,NA,32524486,18190619,13343331,5643575,1430481,7575922,222046
"haplotype1-0000024",266779,77041752,NA,30503871,19985696,13879132,6152774,1440153,3938413,252369
"haplotype1-0000025",324517,102365008,NA,45346786,20536711,19898501,8580995,2095430,4557588,302598
"haplotype1-0000026",443540,132329654,NA,58453856,29049993,24819548,11607576,2811776,3688775,439138
"haplotype1-0000027",411,140835,NA,67063,18583,38894,12032,3669,0,503
"haplotype1-0000028",99,22772,NA,10690,7252,1934,1744,992,160,0
"haplotype1-0000029",89,11172,NA,4386,0,2526,0,2075,0,0
"haplotype1-0000030",896,182238,NA,37694,117416,3743,12691,3258,0,474
"haplotype1-0000031",69,251341,NA,7298,4437,2117,2163,10158,225168,0
"haplotype1-0000032",4,115101,NA,0,0,0,0,0,115101,0
"haplotype1-0000033",3,138987,NA,0,0,0,0,67570,71417,0
"haplotype1-0000034",1,129593,NA,0,0,0,0,0,129593,0
"haplotype1-0000035",7,358674,NA,0,0,0,0,67534,291140,0
"haplotype1-0000036",2,263850,NA,0,0,0,0,0,263850,0
"haplotype1-0000037",14,348018,NA,0,0,0,0,90,347928,0
"haplotype1-0000038",1,46672,NA,0,0,0,0,0,46672,0
"haplotype1-0000039",224,139617,NA,0,0,0,0,8135,131482,0
"haplotype1-0000040",94,5372,NA,0,0,0,0,4193,0,1179
"haplotype1-0000041",126,29320,NA,7470,4125,10788,736,2023,0,64
"haplotype1-0000042",112,13598,NA,5117,0,2947,0,2574,0,82
"haplotype1-0000043",552,123714,NA,35138,50642,23920,4167,2242,0,357
"haplotype1-0000044",614,129572,NA,32440,70049,7670,10751,2950,0,395
"haplotype1-0000045",1115,241759,NA,71301,122069,14565,21023,3514,0,1461
"haplotype1-0000046",1135,235126,NA,60668,126104,13989,17290,4012,0,2152
"haplotype1-0000047",612,134530,NA,40173,69483,5524,13407,2173,0,76
"haplotype1-0000048",354,76107,NA,22744,38432,5276,6164,827,0,318
"haplotype1-0000049",349,52811,NA,14067,0,23392,0,7221,0,1327
"haplotype1-0000050",407,76519,NA,18124,18631,24303,1757,5374,0,1091
"haplotype1-0000051",3,137076,NA,0,0,0,0,65619,71457,0
"haplotype1-0000052",4,98255,NA,0,0,0,0,0,98255,0
"haplotype1-0000053",9,322130,NA,0,0,0,0,0,322130,0
"haplotype1-0000054",205,76477,NA,47520,15417,6332,5723,771,0,0
"haplotype1-0000055",161,103260,NA,0,0,0,0,7111,96149,0
"haplotype1-0000056",300,88811,NA,48377,21624,10578,7189,882,0,37
"haplotype1-0000057",93,23019,NA,4604,3247,9452,736,1518,0,64
"haplotype1-0000058",250,55372,NA,11349,12766,21372,1489,3142,0,64
"haplotype1-0000059",225,43369,NA,8904,21323,6485,3275,2518,0,231
"haplotype1-0000060",263,36070,NA,12395,0,10806,0,6451,0,64
"haplotype2-0000061",306337,94777070,NA,42170714,19995851,18132367,8170895,1718892,3380417,300109
"haplotype2-0000062",134449,44354526,NA,17938365,8418442,7874624,3537487,833190,5207716,133386
"haplotype2-0000063",493424,145521276,NA,53251393,36109097,22627657,10135756,3638681,17167857,468128
"haplotype2-0000064",148330,40279745,NA,8591994,15910817,5333249,1521714,912438,6775073,185201
"haplotype2-0000065",238042,85898208,NA,29138029,17073871,12083915,5413966,15044282,6112310,231071
"haplotype2-0000066",3227,4186169,NA,328435,118057,198202,31458,391331,2941239,11239
"haplotype2-0000067",1766,2898318,NA,140956,52904,85320,12880,368544,2130630,1319
"haplotype2-0000068",195508,56354446,NA,14660249,16664874,7461785,3542299,1395536,11540244,228815
"haplotype2-0000069",302520,89592888,NA,36953660,22140843,15706196,7043057,1845930,4087682,316996
"haplotype2-0000070",1902,549644,NA,186229,138127,111534,30167,51394,8635,5383
"haplotype2-0000071",1949,759075,NA,242895,96774,149314,26241,17415,155952,13956
"haplotype2-0000072",282214,100973752,NA,53814287,16273184,18369999,6252105,1780405,3343770,262573
"haplotype2-0000073",326040,103928393,NA,45448506,20699379,19961838,8609281,2427523,5428854,302821
"haplotype2-0000074",330764,107789018,NA,48414845,19514498,23786263,8625811,2154137,4136215,345408
"haplotype2-0000075",93518,28506752,NA,7214474,8383713,3150829,1343027,1669237,5962913,90811
"haplotype2-0000076",173933,56285003,NA,24079661,10106508,11484522,4453309,1749109,3678295,186588
"haplotype2-0000077",268803,82130672,NA,35580832,17665909,16164221,6623247,1553157,3288219,275742
"haplotype2-0000078",255569,75746137,NA,30170143,18899207,12657951,6115888,2063870,4720737,248590
"haplotype2-0000079",137788,39134714,NA,13296888,10184572,6313221,3253604,1737843,3708469,142504
"haplotype2-0000080",370244,113347900,NA,49291339,24126619,21494680,9919692,1899534,5229851,333220
"haplotype2-0000081",185568,61745067,NA,22365187,12728832,10175670,4160296,2394263,8880401,212393
"haplotype2-0000082",183768,47614247,NA,13762474,17734959,5907595,3252661,1526490,4359540,172886
"haplotype2-0000083",179706,55688658,NA,20708241,13512337,7476818,4010567,2366191,6575923,194027
"haplotype2-0000084",256036,78318979,NA,32532126,18197398,13332395,5643285,1427673,6169881,220913
"haplotype2-0000085",266999,77193635,NA,30513595,20022752,13884381,6157807,1433335,4047480,248946
"haplotype2-0000086",68842,22960603,NA,7782417,4220170,4875715,1517300,1524102,2633074,106770
"haplotype2-0000087",443778,132020157,NA,58477302,29063304,24823200,11612298,2798558,3342869,440259
"haplotype2-0000088",185,43082,NA,21383,10911,1511,7060,1815,0,402
"haplotype2-0000089",664,169085,NA,65747,79512,12292,4456,3404,0,226
"haplotype2-0000090",179,43208,NA,16328,13181,7770,2838,1265,0,600
"haplotype2-0000091",2,76706,NA,0,0,0,0,0,76706,0
"haplotype2-0000092",11,298993,NA,0,0,0,0,239065,59928,0
"haplotype2-0000093",4,226932,NA,0,0,0,0,226932,0,0
"haplotype2-0000094",88,205345,NA,0,1292,0,0,93381,110575,0
"haplotype2-0000095",81,93626,NA,0,1292,0,0,42775,49462,0
"haplotype2-0000096",1585,670246,NA,176827,67102,118127,11968,20713,169932,1287
"haplotype2-0000097",5,112158,NA,0,0,0,0,112158,0,0
"haplotype2-0000098",4,115727,NA,0,0,0,0,93456,22271,0
"haplotype2-0000099",1,62361,NA,0,0,0,0,62361,0,0
"haplotype2-0000100",3,62077,NA,0,0,0,0,31011,31066,0
"haplotype2-0000101",619,334201,NA,0,0,0,0,14826,319375,0
"haplotype2-0000102",480,260520,NA,0,0,0,0,11379,249141,0
"haplotype2-0000103",653,111512,NA,2164,24443,24600,1298,10635,0,14373
"haplotype2-0000104",296,88499,NA,43054,16378,16045,10908,1800,0,179
"haplotype2-0000105",70,3892,NA,0,0,0,0,3175,0,717
"haplotype2-0000106",610,146121,NA,50716,52642,20307,13821,1584,4420,1106
"haplotype2-0000107",391,80295,NA,8810,15805,17819,790,12753,2037,515
"haplotype2-0000108",644,126416,NA,16998,27359,26061,1036,10883,0,12880
"haplotype2-0000109",142,50672,NA,19555,6836,9314,832,1282,0,2771
"haplotype2-0000110",468,93203,NA,15208,20359,17748,776,14893,0,509
"haplotype2-0000111",380,131373,NA,59283,18119,37512,12855,2656,0,631
"haplotype2-0000112",4,188699,NA,0,0,0,0,20,188679,0
"unassigned-0000113",566,99055,NA,1962,21990,21045,1012,22026,0,651
"unassigned-0000114",186,30936,NA,925,6679,8437,253,3141,0,3921
"unassigned-0000115",274,48444,NA,1081,9882,10731,518,5415,0,5723
"unassigned-0000116",667,112050,NA,2703,24306,27325,1034,26127,0,804
"unassigned-0000117",201,34869,NA,1081,7304,10647,260,7859,0,228
"unassigned-0000118",626,108322,NA,2616,21793,27961,881,23682,0,738
"unassigned-0000119",805,158045,NA,21644,30959,37296,1768,29681,0,1172
"unassigned-0000120",434,73797,NA,1849,15257,16116,621,8016,0,9099
"unassigned-0000121",847,144750,NA,3427,31046,36153,1291,15410,0,19436
"unassigned-0000122",145,30104,NA,12175,7105,4151,4910,1234,0,167
"unassigned-0000123",437,73231,NA,1465,17366,14413,780,15287,0,467
"unassigned-0000124",174,38539,NA,10010,19991,5642,1217,300,0,174
"unassigned-0000126",196,37389,NA,991,7944,6806,520,7602,0,287
"unassigned-0000127",373,62823,NA,1352,15229,15698,511,7556,0,6819
"unassigned-0000128",575,98405,NA,2433,21920,28092,771,21365,0,659
"unassigned-0000129",239,37091,NA,1082,9363,9092,253,4701,0,4223
