#sample	chromosome	file_name	variants	phased	unphased	singletons	blocks	variant_per_block_median	variant_per_block_avg	variant_per_block_min	variant_per_block_max	variant_per_block_sum	bp_per_block_median	bp_per_block_avg	bp_per_block_min	bp_per_block_max	bp_per_block_sum	heterozygous_variants	heterozygous_snvs	phased_snvs	phased_fraction	phased_snvs_fraction	block_n50
syndip	chr1	assembly/variants/GE-MED-T2T05/phased_verkko/small_variants.dip.vcf.gz	189290	132800	47983	0	1	132800	132800.0	132800	132800	132800	247105425	247105425.0	247105425	247105425	247105425	180783	147427	106152	0.7345823445788597	0.7200309305622443	247105425
syndip	chr2	assembly/variants/GE-MED-T2T05/phased_verkko/small_variants.dip.vcf.gz	187719	140002	30611	0	1	140002	140002.0	140002	140002	140002	242486150	242486150.0	242486150	242486150	242486150	170613	137797	112242	0.8205822534039025	0.8145460351096178	242486150
syndip	chr3	assembly/variants/GE-MED-T2T05/phased_verkko/small_variants.dip.vcf.gz	207299	141890	42517	0	1	141890	141890.0	141890	141890	141890	199420539	199420539.0	199420539	199420539	199420539	184407	152643	114784	0.7694393379860851	0.7519768348368415	199420539
syndip	chr4	assembly/variants/GE-MED-T2T05/phased_verkko/small_variants.dip.vcf.gz	172215	119113	39742	0	1	119113	119113.0	119113	119113	119113	191210995	191210995.0	191210995	191210995	191210995	158855	131115	97003	0.7498221648673319	0.7398314456774587	191210995
syndip	chr5	assembly/variants/GE-MED-T2T05/phased_verkko/small_variants.dip.vcf.gz	167369	112909	42709	0	1	112909	112909.0	112909	112909	112909	181917725	181917725.0	181917725	181917725	181917725	155618	125644	90612	0.7255523139996658	0.721180478176435	181917725
syndip	chr6	assembly/variants/GE-MED-T2T05/phased_verkko/small_variants.dip.vcf.gz	176109	118877	47328	0	1	118877	118877.0	118877	118877	118877	171988737	171988737.0	171988737	171988737	171988737	166205	136244	96050	0.7152432237297314	0.7049851736590235	171988737
syndip	chr7	assembly/variants/GE-MED-T2T05/phased_verkko/small_variants.dip.vcf.gz	182489	135653	24160	0	1	135653	135653.0	135653	135653	135653	159714798	159714798.0	159714798	159714798	159714798	159813	129209	108960	0.8488233122461877	0.843284910493851	159714798
syndip	chrX	assembly/variants/GE-MED-T2T05/phased_verkko/small_variants.dip.vcf.gz	152546	102067	35994	0	1	102067	102067.0	102067	102067	102067	154257099	154257099.0	154257099	154257099	154257099	138061	100972	75647	0.7392891547938955	0.7491878936734936	154257099
syndip	chr9	assembly/variants/GE-MED-T2T05/phased_verkko/small_variants.dip.vcf.gz	124974	100367	15970	0	1	100367	100367.0	100367	100367	100367	148708992	148708992.0	148708992	148708992	148708992	116337	92160	78748	0.8627263897126451	0.8544704861111111	148708992
syndip	chr8	assembly/variants/GE-MED-T2T05/phased_verkko/small_variants.dip.vcf.gz	119097	73147	38135	0	1	73147	73147.0	73147	73147	73147	146255195	146255195.0	146255195	146255195	146255195	111282	92949	59977	0.6573120540608544	0.6452678350493282	146255195
syndip	chr11	assembly/variants/GE-MED-T2T05/phased_verkko/small_variants.dip.vcf.gz	95687	70469	20201	0	1	70469	70469.0	70469	70469	70469	130974204	130974204.0	130974204	130974204	130974204	90670	75514	58586	0.777203044005735	0.775829647482586	130974204
syndip	chr10	assembly/variants/GE-MED-T2T05/phased_verkko/small_variants.dip.vcf.gz	114367	75761	31207	0	1	75761	75761.0	75761	75761	75761	134418797	134418797.0	134418797	134418797	134418797	106968	86671	60801	0.7082585446114726	0.7015149242537874	134418797
syndip	chr12	assembly/variants/GE-MED-T2T05/phased_verkko/small_variants.dip.vcf.gz	131053	97221	15183	0	1	97221	97221.0	97221	97221	97221	133319753	133319753.0	133319753	133319753	133319753	112404	89318	77171	0.8649247357745276	0.8640027765959829	133319753
syndip	chr13	assembly/variants/GE-MED-T2T05/phased_verkko/small_variants.dip.vcf.gz	108961	83592	11958	0	1	83592	83592.0	83592	83592	83592	101737578	101737578.0	101737578	101737578	101737578	95550	77149	67283	0.874850863422292	0.8721175906363012	101737578
syndip	chr14	assembly/variants/GE-MED-T2T05/phased_verkko/small_variants.dip.vcf.gz	139506	80135	50942	0	1	80135	80135.0	80135	80135	80135	100251512	100251512.0	100251512	100251512	100251512	131077	110903	66716	0.6113582092968255	0.6015707419997656	100251512
syndip	chr15	assembly/variants/GE-MED-T2T05/phased_verkko/small_variants.dip.vcf.gz	91556	58269	30072	0	1	58269	58269.0	58269	58269	58269	99360633	99360633.0	99360633	99360633	99360633	88341	72593	47083	0.6595918090128027	0.6485887069001144	99360633
syndip	chr16	assembly/variants/GE-MED-T2T05/phased_verkko/small_variants.dip.vcf.gz	118239	66479	46998	0	1	66479	66479.0	66479	66479	66479	96270141	96270141.0	96270141	96270141	96270141	113477	96267	55354	0.5858367774967614	0.5750049341934411	96270141
syndip	chr17	assembly/variants/GE-MED-T2T05/phased_verkko/small_variants.dip.vcf.gz	102412	58840	39703	0	1	58840	58840.0	58840	58840	58840	84175603	84175603.0	84175603	84175603	84175603	98543	79945	45826	0.5970997432592878	0.5732190881230846	84175603
