sample	chromosome	haplotype	contig	start	end	length	strand
T2T00	chr1	haplotype2	haplotype2-0000045	121339829	128223159	6883330	+
T2T00	chr11	haplotype1	haplotype1-0000019	78819105	90122568	11303463	-
T2T00	chr11	haplotype2	haplotype2-0000066	79002448	88903269	9900821	-
T2T00	chr12	haplotype1	haplotype1-0000020	94552381	100610716	6058335	-
T2T00	chr13	haplotype1	haplotype1-0000017	558914	7886510	7327596	+
T2T00	chr13	haplotype2	haplotype2-0000064	95103717	107724476	12620759	-
T2T00	chr14	haplotype1	haplotype1-0000018	87762923	97133401	9370478	-
T2T00	chr14	haplotype2	haplotype2-0000065	88000004	103044624	15044620	-
T2T00	chr15	haplotype2	haplotype2-0000053	9050098	15776774	6726676	+
T2T00	chr16	haplotype2	haplotype2-0000069	53975789	60747603	6771814	-
T2T00	chr18	haplotype2	haplotype2-0000047	58361838	65541913	7180075	-
T2T00	chr19	haplotype1	haplotype1-0000014	30385617	38516040	8130423	-
T2T00	chr19	haplotype2	haplotype2-0000061	30485425	38830051	8344626	-
T2T00	chr2	haplotype1	haplotype1-0000007	146431652	151385460	4953808	-
T2T00	chr2	haplotype2	haplotype2-0000051	146622264	151165095	4542831	-
T2T00	chr20	haplotype1	haplotype1-0000016	33358799	40346583	6987784	-
T2T00	chr21	haplotype1	haplotype1-0000003	32780048	39178882	6398834	-
T2T00	chr21	haplotype2	haplotype2-0000070	32792643	39555735	6763092	-
T2T00	chr22	haplotype1	haplotype1-0000013	34625428	43754274	9128846	-
T2T00	chr22	haplotype2	haplotype2-0000059	5947813	16592143	10644330	+
T2T00	chr3	haplotype2	haplotype2-0000049	89342887	96954702	7611815	+
T2T00	chr4	haplotype1	haplotype1-0000022	48755374	54548523	5793149	+
T2T00	chr5	haplotype1	haplotype1-0000021	45123492	51981590	6858098	+
T2T00	chr5	haplotype2	haplotype2-0000062	130599484	138651797	8052313	-
T2T00	chr7	haplotype2	haplotype2-0000052	95620056	102922161	7302105	-
T2T00	chr8	haplotype1	haplotype1-0000015	41986632	47500236	5513604	+
T2T00	chr8	haplotype2	haplotype2-0000060	41786537	47456010	5669473	+
T2T00	chr9	haplotype1	haplotype1-0000025	90949660	99755138	8805478	-
T2T00	chr9	haplotype2	haplotype2-0000071	88394759	97232074	8837315	-
T2T00	chrX	haplotype2	haplotype2-0000056	56891931	62073008	5181077	+
T2T00	chrY	haplotype1	haplotype1-0000011	9056885	11537058	2480173	+
T2T00_1	chr1	haplotype1	haplotype1-0000004	120758037	126882445	6124408	+
T2T00_1	chr1	haplotype2	haplotype2-0000061	120828883	127985010	7156127	+
T2T00_1	chr10	haplotype1	haplotype1-0000008	38126885	43944637	5817752	+
T2T00_1	chr11	haplotype1	haplotype1-0000010	47885038	55573384	7688346	+
