asm_name	haplotype	% of Assembly covered by Ref	% of Ref covered by Assembly	% of Ref duplicated in Assembly	Assembly Length	Average Ungapped Alignment length	Covered Variants (Total)	Error Rate	Genome Completeness	Missing Multi-Copy Genes (%)	NG50	NG75	NGA50	Number of Breaks in Assembly	Number of T2T chromosomes	Number of Y Chromosomes	Overall Switch Flip Rate (%)	Overall Switch Rate (%)	Phase Blocks	Quality Value	Variants	Variants Phased	Variants Unphased	singletons
TUE_02_01UL	both	1.94	1.92	1.82	12799192415	8493092	383074	0.001%	16.11	0.03	177423888	140980132	7167347	45853	9	2	0.04	0.05	23	111.52	4993670	3379787	144816	0
TUE_02_01UL	haplotype1	0.97	0.89	0.01	2907174214	4012744	NA	0%	92.26	0.24	135212824	58337403	3011018	11761	5	NA	NA	NA	NA	59.17	NA	NA	NA	NA
TUE_02_01UL	haplotype2	0.97	0.91	0.03	3032568553	4142182	NA	0%	93.03	0.21	98443080	54528350	3167931	10024	4	NA	NA	NA	NA	58.84	NA	NA	NA	NA
TUE_02_01UL_01DX	both	1.94	1.92	1.82	12813207542	8630065	397992	0.001%	15.3	0.03	184134806	161373192	7318813	45986	20	2	0.04	0.05	23	110.33	5056249	3470640	77145	0
TUE_02_01UL_01DX	haplotype1	0.96	0.9	0.01	2953024532	3920874	NA	0%	93.68	0.24	138072357	78945817	3091160	12008	9	NA	NA	NA	NA	59.48	NA	NA	NA	NA
TUE_02_01UL_01DX	haplotype2	0.97	0.93	0.01	3048173290	4364637	NA	0%	97.38	0.16	136579289	89093432	3331257	10718	11	NA	NA	NA	NA	58.36	NA	NA	NA	NA
TUE_02_01UL_02DX	both	1.94	1.92	1.82	12811678639	8628885	397763	0.001%	15.25	0.03	183160951	155163889	7312163	45826	20	2	0.04	0.05	23	110.66	5027131	3398970	121880	0
TUE_02_01UL_02DX	haplotype1	0.97	0.89	0.01	2902876264	3951176	NA	0%	93.52	0.24	135457573	80528564	3156773	10295	11	NA	NA	NA	NA	59.84	NA	NA	NA	NA
TUE_02_01UL_02DX	haplotype2	0.97	0.94	0.02	3085205730	4334625	NA	0%	96.89	0.17	143372134	87387320	3291106	11959	9	NA	NA	NA	NA	58.8	NA	NA	NA	NA
TUE_02_02UL	both	1.94	1.92	1.83	12425958302	11538661	401283	0%	11.67	0.02	203517843	179564440	10074101	52911	36	2	0.04	0.05	23	120.99	5098764	3508470	64776	0
TUE_02_02UL	haplotype1	0.97	0.9	0.01	2932836912	4267078	NA	0%	94.56	0.18	136565302	96270682	3380895	13050	19	NA	NA	NA	NA	63.22	NA	NA	NA	NA
TUE_02_02UL	haplotype2	0.97	0.94	0.01	3052770571	4395535	NA	0%	98.26	0.22	145925934	107943815	3415403	12994	17	NA	NA	NA	NA	62.74	NA	NA	NA	NA
TUE_02_02UL_01DX	both	1.94	1.92	1.83	12430107163	11572463	402387	0%	11.66	0.02	203917966	180721359	10112988	53849	35	2	0.04	0.05	23	120.06	5090079	3524581	42899	0
TUE_02_02UL_01DX	haplotype1	0.96	0.9	0.01	2945025042	4219797	NA	0%	94.62	0.19	136892991	96088283	3304513	15050	17	NA	NA	NA	NA	63.02	NA	NA	NA	NA
TUE_02_02UL_01DX	haplotype2	0.97	0.94	0.01	3036214240	4445361	NA	0%	98.41	0.2	145926057	107494328	3604678	11306	18	NA	NA	NA	NA	62.53	NA	NA	NA	NA
TUE_02_02UL_02DX	both	1.94	1.92	1.83	12434950284	11556193	401559	0%	11.69	0.03	204007917	180760494	10078483	53243	37	2	0.04	0.05	23	119.73	5097500	3517711	52427	0
TUE_02_02UL_02DX	haplotype1	0.97	0.9	0.01	2930093541	4029475	NA	0%	94.54	0.18	136482608	96464212	3216068	13023	18	NA	NA	NA	NA	63.06	NA	NA	NA	NA
TUE_02_02UL_02DX	haplotype2	0.97	0.94	0.01	3057061137	4621726	NA	0%	98.37	0.22	145925994	103648736	3665200	13389	19	NA	NA	NA	NA	61.98	NA	NA	NA	NA
