sample	category	subcategory	var_type	count	percentage
T2T16	total	all_variants	all	5388211	100.0
T2T16	variant_type	DEL	DEL	580174	10.767469945033705
T2T16	variant_type	INS	INS	548622	10.181895252431651
T2T16	variant_type	MNV	MNV	2173	0.04032878445183383
T2T16	variant_type	SNV	SNV	4257242	79.01030601808282
T2T16	ti_tv	transitions	SNV	2668009	1.6788029193957086
T2T16	ti_tv	transversions	SNV	1589233	1.6788029193957086
T2T16	zygosity	HET	all	3772636	70.0164859913615
T2T16	zygosity	HOM_ALT	all	1615575	29.98351400863849
T2T16	zygosity	HET	DEL	407050	70.15998648681257
T2T16	zygosity	HOM_ALT	DEL	173124	29.840013513187426
T2T16	zygosity	HET	INS	376502	68.62685054554866
T2T16	zygosity	HOM_ALT	INS	172120	31.373149454451333
T2T16	zygosity	HET	MNV	2173	100.0
T2T16	zygosity	HET	SNV	2986911	70.16070498223968
T2T16	zygosity	HOM_ALT	SNV	1270331	29.839295017760325
T2T16	haplotype	both	all	1615575	29.98351400863849
T2T16	haplotype	haplotype1	all	1891042	35.095915880057404
T2T16	haplotype	haplotype2	all	1881594	34.92057011130411
T2T16	haplotype	both	DEL	173124	29.840013513187426
T2T16	haplotype	haplotype1	DEL	202305	34.869711500343
T2T16	haplotype	haplotype2	DEL	204745	35.290274986469576
T2T16	haplotype	both	INS	172120	31.373149454451333
T2T16	haplotype	haplotype1	INS	187893	34.24817087174776
T2T16	haplotype	haplotype2	INS	188609	34.3786796738009
T2T16	haplotype	haplotype1	MNV	1139	52.416014726185
T2T16	haplotype	haplotype2	MNV	1034	47.583985273815
T2T16	haplotype	both	SNV	1270331	29.839295017760325
T2T16	haplotype	haplotype1	SNV	1499705	35.22714940799701
T2T16	haplotype	haplotype2	SNV	1487206	34.93355557424267
T2T16	phasing	phased	all	5388211	100.0
T2T16	phasing	phased	DEL	580174	100.0
T2T16	phasing	phased	INS	548622	100.0
T2T16	phasing	phased	MNV	2173	100.0
T2T16	phasing	phased	SNV	4257242	100.0
T2T16	allelic	biallelic	all	5009688	92.97497815137528
T2T16	allelic	multiallelic	all	378523	7.02502184862471
T2T16	allelic	biallelic	DEL	439601	75.77054469865936
T2T16	allelic	multiallelic	DEL	140573	24.229455301340632
T2T16	allelic	biallelic	INS	438865	79.99405783945959
T2T16	allelic	multiallelic	INS	109757	20.005942160540407
T2T16	allelic	multiallelic	MNV	2173	100.0
T2T16	allelic	biallelic	SNV	4131222	97.03986759502983
T2T16	allelic	multiallelic	SNV	126020	2.960132404970166
T2T16	filter	PASS	all	5091414	94.49173389831988
