C	J  inter-chromosomal misjoin
C	j  inter-chromosomal misjoin with both breakpoints ending in centromeres
C	G  long gap on the reference genome
C	g  long gap on the reference genome with both breakpoints ending in centromeres
C	M  closed inversion
C
G	haplotype1-0000001	245398321	120816890	121910009	+	chr1	248387328	120588838	121659555	1064693	1097869	60
G	haplotype1-0000001	245398321	139063454	140687635	+	chr1	248387328	142166427	143742585	1566604	1632727	60
G	haplotype1-0000002	78995016	57602616	59589265	-	chr18	80542538	20967541	22933658	1955536	1996159	60
G	haplotype1-0000002	78995016	63896623	67979057	-	chr18	80542538	11176701	15271895	4069753	4104646	60
G	haplotype1-0000008	159256224	91762352	96241386	-	chr7	160567428	64581299	69069573	4467089	4495631	60
G	haplotype1-0000008	159256224	100952525	102892528	-	chr7	160567428	56366188	58238127	1858373	1949900	60
M	haplotype1-0000010	99320931	78974316	80131775	-	chr15	99753195	19559893	20716714	1153066	1159050	60
M	haplotype1-0000010	99320931	80023760	81546335	+	chr15	99753195	17897456	19406374	1491405	1536338	60
M	haplotype1-0000010	99320931	83243906	84534825	-	chr15	99753195	18012565	19285444	1255937	1304537	60
G	haplotype1-0000010	99320931	83243906	84534825	-	chr15	99753195	18012565	19285444	1255937	1304537	60
G	haplotype1-0000010	99320931	88558875	91632725	-	chr15	99753195	13526627	16699294	2927048	3315897	60
J	haplotype1-0000010	99320931	88558875	91632725	-	chr15	99753195	13526627	16699294	2927048	3315897	60
J	haplotype1-0000010	99320931	95072545	96028898	-	chr22	51324926	3493754	4597802	921827	1136039	60
M	haplotype1-0000011	52703089	21844444	22959478	+	chrY	62460029	21929252	23044264	1114678	1115196	60
M	haplotype1-0000011	52703089	23995693	25526703	-	chrY	62460029	24086549	25606288	1518568	1531844	60
M	haplotype1-0000011	52703089	26308108	27578724	+	chrY	62460029	26357939	27616692	1257031	1271250	60
G	haplotype1-0000013	49370430	30781771	32214124	-	chr22	51324926	19107667	20541478	1429563	1435262	60
G	haplotype1-0000013	49370430	34721125	37312025	-	chr22	51324926	15249602	17771441	2478004	2631582	60
M	haplotype1-0000015	145923315	6433989	7653626	+	chr8	146259331	6259939	7546133	1205772	1296507	60
M	haplotype1-0000015	145923315	7648049	8706863	-	chr8	146259331	10456845	11515002	1054888	1060073	60
M	haplotype1-0000015	145923315	12372337	15950061	+	chr8	146259331	12877821	16455745	3568857	3580809	60
J	haplotype1-0000017	102951975	2013030	3360179	+	chr21	45090682	8047117	9402033	1270400	1427712	60
J	haplotype1-0000017	102951975	6816306	7897910	+	chr13	113566686	17506213	18583345	1074838	1082352	60
G	haplotype1-0000019	137902611	78039845	80501569	-	chr11	135127769	54467944	56975119	2447349	2517741	60
G	haplotype1-0000019	137902611	89483548	91629050	-	chr11	135127769	46318029	48471501	2142604	2154951	60
G	haplotype1-0000022	191927907	45911483	49309177	+	chr4	193574945	45843699	49264638	3385997	3429087	60
G	haplotype1-0000022	191927907	53765646	58432260	+	chr4	193574945	55520289	60181367	4654870	4668872	60
G	haplotype1-0000023	92123731	39240556	43942099	-	chr16	96330374	52145000	56844765	4693838	4705361	60
G	haplotype1-0000023	92123731	52405049	54144579	-	chr16	96330374	37814681	39557879	1725079	1757207	60
M	haplotype1-0000023	92123731	56186357	57203602	-	chr16	96330374	34835883	35859256	1016538	1023639	60
M	haplotype1-0000023	92123731	58048338	59420393	+	chr16	96330374	33478820	34777473	1291730	1377549	60
M	haplotype1-0000023	92123731	59032021	62982643	-	chr16	96330374	29133254	33059726	3912485	3961553	60
G	haplotype1-0000025	138654403	71733150	74353664	-	chr9	150617247	76462933	79098724	2614711	2640532	60
G	haplotype1-0000025	138654403	94317939	96187631	-	chr9	150617247	42391682	44266330	1854460	1885149	60
M	haplotype2-0000045	245133717	121310721	122354803	+	chr1	248387328	120589834	121633696	1042135	1044996	60
M	haplotype2-0000045	245133717	128452043	129529024	-	chr1	248387328	127660655	128735344	1061378	1089645	60
M	haplotype2-0000045	245133717	137789482	138812449	+	chr1	248387328	142151612	143148558	996063	1023430	60
G	haplotype2-0000057	64201663	35247229	36442604	-	chr20	66210255	29417748	30682879	1184417	1274588	60
G	haplotype2-0000057	64201663	37752530	43852452	-	chr20	66210255	20350710	26386428	6017673	6112827	60
G	haplotype2-0000062	183921487	129739952	131710372	-	chr5	182045439	50957092	52932924	1966840	1977000	60
G	haplotype2-0000062	183921487	137135674	138190413	-	chr5	182045439	45625978	46686347	1049959	1063496	60
J	haplotype2-0000064	107902539	100197892	101192170	-	chr13	113566686	11879914	12931073	990172	1053258	60
J	haplotype2-0000064	107902539	106713027	107795696	-	chr21	45090682	99781	1253177	1038667	1194376	60
G	haplotype2-0000065	103572952	84142663	86049771	-	chr14	101161492	14993165	16902190	1903032	1910991	60
G	haplotype2-0000065	103572952	92005034	95224074	-	chr14	101161492	6983642	10108189	3100089	3238763	60
G	haplotype2-0000066	136649847	78215909	80724217	-	chr11	135127769	54450846	56975119	2490305	2538170	60
G	haplotype2-0000066	136649847	86865322	89749329	-	chr11	135127769	46977950	49873023	2875945	2899856	60
G	haplotype2-0000068	191590026	40829954	49404783	+	chr4	193574945	40677310	49270812	8557197	8604351	60
G	haplotype2-0000068	191590026	53672331	58518650	+	chr4	193574945	55520289	60364591	4836956	4849094	60
G	haplotype2-0000069	92814530	41794874	44118168	-	chr16	96330374	52099387	54414630	2314133	2323911	60
G	haplotype2-0000069	92814530	54941574	56690760	-	chr16	96330374	37794989	39557879	1742597	1769038	60
G	haplotype2-0000069	92814530	54941574	56690760	-	chr16	96330374	37794989	39557879	1742597	1769038	60
G	haplotype2-0000069	92814530	60925891	65227192	-	chr16	96330374	27416803	31721851	4295286	4308409	60
G	haplotype2-0000071	136367677	70808414	74015285	-	chr9	150617247	76484998	79716935	3204212	3233164	60
G	haplotype2-0000071	136367677	92018907	93890873	-	chr9	150617247	42391682	44266330	1855556	1886407	60
# inter-chromosomal misjoins: 3,0
# intra-chromosomal gaps: 17,0
# candidate inversions in the middle: 5,0
# candidate inversions at contig ends: 2,0
