#sample	chromosome	file_name	variants	phased	unphased	singletons	blocks	variant_per_block_median	variant_per_block_avg	variant_per_block_min	variant_per_block_max	variant_per_block_sum	bp_per_block_median	bp_per_block_avg	bp_per_block_min	bp_per_block_max	bp_per_block_sum	heterozygous_variants	heterozygous_snvs	phased_snvs	phased_fraction	phased_snvs_fraction	block_n50
syndip	chr1	assembly/variants/NA18522/phased_hprc/small_variants.dip.vcf.gz	463831	317018	1241	0	1	317018	317018.0	317018	317018	317018	248380958	248380958.0	248380958	248380958	248380958	318259	263081	261953	0.9961006601541512	0.9957123471478366	248380958
syndip	chr2	assembly/variants/NA18522/phased_hprc/small_variants.dip.vcf.gz	462645	310464	554	0	1	310464	310464.0	310464	310464	310464	242690644	242690644.0	242690644	242690644	242690644	311018	258132	257636	0.998218752612389	0.9980785024716037	242690644
syndip	chr3	assembly/variants/NA18522/phased_hprc/small_variants.dip.vcf.gz	412428	277287	2	0	1	277287	277287.0	277287	277287	277287	201069954	201069954.0	201069954	201069954	201069954	277289	232919	232917	0.9999927873085481	0.9999914133239453	201069954
syndip	chr4	assembly/variants/NA18522/phased_hprc/small_variants.dip.vcf.gz	420739	284238	5604	0	1	284238	284238.0	284238	284238	284238	193566523	193566523.0	193566523	193566523	193566523	289842	244233	239018	0.9806653280062931	0.9786474391257529	193566523
syndip	chr5	assembly/variants/NA18522/phased_hprc/small_variants.dip.vcf.gz	362963	248671	391	0	1	248671	248671.0	248671	248671	248671	182012239	182012239.0	182012239	182012239	182012239	249062	208003	207660	0.9984301097718641	0.9983509853223271	182012239
syndip	chr6	assembly/variants/NA18522/phased_hprc/small_variants.dip.vcf.gz	387776	261983	0	0	1	261983	261983.0	261983	261983	261983	172118658	172118658.0	172118658	172118658	172118658	261983	221210	221210	1.0	1.0	172118658
syndip	chr7	assembly/variants/NA18522/phased_hprc/small_variants.dip.vcf.gz	355770	240507	0	0	1	240507	240507.0	240507	240507	240507	160513040	160513040.0	160513040	160513040	160513040	240507	200772	200772	1.0	1.0	160513040
syndip	chrX	assembly/variants/NA18522/phased_hprc/small_variants.dip.vcf.gz	191360	191339	21	0	1	191339	191339.0	191339	191339	191339	154084603	154084603.0	154084603	154084603	154084603	191360	156366	156355	0.9998902591973244	0.9999296522261872	154084603
syndip	chr9	assembly/variants/NA18522/phased_hprc/small_variants.dip.vcf.gz	291723	205771	3469	0	1	205771	205771.0	205771	205771	205771	150610628	150610628.0	150610628	150610628	150610628	209240	172869	169847	0.9834209520168228	0.9825185545123765	150610628
syndip	chr8	assembly/variants/NA18522/phased_hprc/small_variants.dip.vcf.gz	318388	215515	742	0	1	215515	215515.0	215515	215515	215515	146251669	146251669.0	146251669	146251669	146251669	216257	182991	182308	0.9965688971917672	0.9962675760010055	146251669
