chrom	gap_start	gap_end	gap_type	gap_size	strand	nearest_gene_chrom	nearest_gene_start	nearest_gene_end	nearest_gene_name	distance
chr1	16337048	16344550	N_region_windowed	7500	+	chr1	16319772	16334879	LOC124904557	2170
chr1	16618946	16623458	N_region_windowed	7500	-	chr1	16603251	16656036	NBPF1	0
chr1	30497674	30501843	N_region_windowed	7500	-	chr1	31764400	31796321	PTP4A2	1262558
chr1	132038807	132056118	N_region_windowed	46596	-	chr1	128946077	128947329	LINC02799	3091479
chr1	134048205	134049705	N_region_windowed	1500	-	chr1	128946077	128947329	LINC02799	5100877
chr1	134240420	134250924	N_region_windowed	7500	-	chr1	128946077	128947329	LINC02799	5293092
chr1	151341810	151354864	N_region_windowed	7500	-	chr1	151347685	151359749	HRNR	0
chr11	54799066	54806567	N_region_windowed	7500	+	chr11	54660870	54661840	OR4A6P	137227
chr13	10180765	10252244	N_region_windowed	100000	-	chr13	10020358	10027502	LOC105379557	153264
chr14	1310378	1412747	N_region_windowed	100000	-	chr14	1529327	1573496	LOC101930100	116581
chr14	6274648	6368603	N_region_windowed	100000	-	chr14	6505147	6521551	FRG1DP	136545
chr14	6274648	6368608	N_region_windowed	100000	-	chr14	6505147	6521551	FRG1DP	136540
chr15	2332583	2384368	N_region_windowed	100000	-	chr15	2318252	2359159	LOC102724219	0
chr15	2382552	2478368	N_region_windowed	100000	-	chr15	2399092	2400609	LOC100996362	0
chr15	2382552	2478368	N_region_windowed	100000	-	chr15	2409623	2414457	LOC100507395	0
chr15	2382552	2478368	N_region_windowed	100000	-	chr15	2463775	2463928	VN1R112P	0
chr15	80204749	80305343	N_region_windowed	100000	-	chr15	80204112	80213595	GOLGA6L10	0
chr15	80204749	80305343	N_region_windowed	100000	-	chr15	80219255	80279739	UBE2Q2P2	0
chr15	80204749	80305343	N_region_windowed	100000	-	chr15	80236331	80237035	RPL9P8	0
chr15	80204749	80305343	N_region_windowed	100000	-	chr15	80280050	80303281	GOLGA6L9	0
chr15	80204749	80305343	N_region_windowed	100000	-	chr15	80304804	80305861	DNM1P36	0
chr15	82178504	82258400	N_region_windowed	79950	-	chr15	82148152	82179554	LOC105376722	0
chr15	82178504	82258400	N_region_windowed	79950	-	chr15	82177792	82179058	DNM1P40	0
chr15	82178504	82258400	N_region_windowed	79950	-	chr15	82180597	82190203	GOLGA6L4	0
chr15	82178504	82258400	N_region_windowed	79950	-	chr15	82195841	82226690	LOC102724135	0
chr15	82178504	82258400	N_region_windowed	79950	-	chr15	82205091	82210911	LOC105370936	0
chr15	82178504	82258400	N_region_windowed	79950	-	chr15	82228921	82239559	LOC102724191	0
chr15	82178504	82258400	N_region_windowed	79950	-	chr15	82243921	82251975	UBE2Q2P12	0
chr15	82178504	82258400	N_region_windowed	79950	-	chr15	82252523	82254522	LOC124903544	0
chr15	82178504	82258400	N_region_windowed	79950	-	chr15	82255012	82259457	DNM1P41	0
chr16	30544465	30563321	N_region_windowed	18852	+	chr16	30563455	30563559	LOC124903798	135
chr16	31163854	31165354	N_region	1500	-	chr16	30923971	30925227	LOC100127965	238628
chr17	24666235	24667735	N_region_windowed	1500	+	chr17	23294639	23295244	LOC100419890	1370992
chr17	43943532	43951035	N_region_windowed	7500	+	chr17	43984188	44012426	NBR2	33154
chr19	46432760	46443264	N_region	7500	-	chr19	46209043	46238972	TEX101	193789
chr21	3521102	3528295	N_region_windowed	7500	-	chr21	3515186	3528529	RNA45S4	0
chr21	3521102	3528295	N_region_windowed	7500	-	chr21	3521772	3521929	RNA5-8S4	0
chr21	3521102	3528295	N_region_windowed	7500	-	chr21	3523100	3528168	RNA28S4	0
chr21	10459243	10559364	N_region_windowed	100000	+	chr21	10476939	10477385	IGHV1OR21-1	0
chr21	10459243	10559364	N_region_windowed	100000	+	chr21	10513356	10514480	SLC25A15P4	0
chr21	10459243	10559364	N_region_windowed	100000	+	chr21	10521019	10605159	TPTE	0
chr21	10459243	10559364	N_region_windowed	100000	+	chr21	10550255	10550448	CYCSP41	0
chr21	10459243	10559364	N_region_windowed	100000	+	chr21	10558534	10558631	LOC124905063	0
chr21	10459243	10559367	N_region_windowed	100000	+	chr21	10476939	10477385	IGHV1OR21-1	0
chr21	10459243	10559367	N_region_windowed	100000	+	chr21	10513356	10514480	SLC25A15P4	0
chr21	10459243	10559367	N_region_windowed	100000	+	chr21	10521019	10605159	TPTE	0
chr21	10459243	10559367	N_region_windowed	100000	+	chr21	10550255	10550448	CYCSP41	0
chr21	10459243	10559367	N_region_windowed	100000	+	chr21	10558534	10558631	LOC124905063	0
chr22	4667172	4764978	N_region_windowed	96504	-	chr22	4682808	4688697	LOC107987391	0
