File name::assembly/qc/phased_hifiasm/TUE_02_03_hifiasm_herro/T2T_contigs.both.paf, l.n::228
ptg000002l	136566721	126013	136560513	-	chr9	150617247	3570	150576373
ptg000004l	62144427	6220	62139063	-	chr19	61707364	3375	61703590
ptg000005l	192024414	8816	191987783	+	chr4	193574945	3263	193499924
ptg000006l	136553807	6142	136547175	-	chr11	135127769	1840	135125239
ptg000007l	65389538	1078	65389525	+	chr20	66210255	2711	66000360
ptg000010l	133661990	4696	133656145	-	chr12	133324548	4043	133322282
ptg000012l	199475677	6465	199475676	+	chr3	201105948	2631	199955171
ptg000017l	100823704	5413	100814676	+	chr15	99753195	6429	99748717
ptg000032l	183039191	6492	183034920	+	chr5	182045439	2287	182044180
ptg000034l	52706904	3248	52702671	+	chrY	62460029	5650	62453933
ptg000036l	172006892	104899	171999247	+	chr6	172126628	2882	172122275
