File name::assembly/qc/phased_verkko/TUE_02/T2T_contigs.haplotype1.paf, l.n::181
haplotype1-0000002	79404166	3377	79399279	-	chr18	80542538	164380	80539358
haplotype1-0000003	63789356	4525	63782135	-	chr20	66210255	2711	66205788
haplotype1-0000004	95025024	133881	95018837	+	chr15	99753195	4692068	99748717
haplotype1-0000005	133650613	2699	133641873	+	chr12	133324548	3416	133322219
haplotype1-0000006	200545492	5281	200536552	-	chr3	201105948	3126	201101343
haplotype1-0000007	61809398	5742	61804344	-	chr19	61707364	3375	61703590
haplotype1-0000008	136652049	6410	136648393	+	chr11	135127769	2922	135125193
haplotype1-0000009	191897872	6504	191861516	+	chr4	193574945	3254	193499924
haplotype1-0000010	92048496	6724	91859809	-	chr16	96330374	25639	96327790
haplotype1-0000011	136264895	4355	136259502	-	chr9	150617247	3677	150500186
haplotype1-0000013	83280783	4356	83275842	-	chr17	84276897	2214	84274189
haplotype1-0000014	145845386	2124	145698044	-	chr8	146259331	2068	146253993
haplotype1-0000015	242981915	4765	242975317	+	chr2	242696752	3355	242693051
haplotype1-0000016	159252605	6643	159248684	+	chr7	160567428	3826	160565222
haplotype1-0000017	136530688	27273	136529058	-	chr10	134758134	3895	134656311
haplotype1-0000018	102151134	6077	101448215	-	chr14	101161492	841094	101159958
haplotype1-0000021	172990341	105705	172989006	+	chr6	172126628	2882	172123886
haplotype1-0000023	183811303	7275	183734585	+	chr5	182045439	3403	181966214
haplotype1-0000029	247647458	7851	247624546	+	chr1	248387328	6457	248384213
