chrom	gap_start	gap_end	gap_type	gap_size	strand	nearest_gene_chrom	nearest_gene_start	nearest_gene_end	nearest_gene_name	distance
chr1	20921427	20921428	N_region	7500	+	chr1	21238253	21238788	PDE4DIPP10	316826
chr1	27145895	27158298	N_region_windowed	12405	+	chr1	27163396	27177637	TMEM222	5099
chr1	120620173	120718426	N_region_windowed	100000	-	chr1	120482926	120678656	PDE4DIPP2	0
chr1	120620173	120718426	N_region_windowed	100000	-	chr1	120644368	120657927	LOC112268272	0
chr1	120620173	120718426	N_region_windowed	100000	-	chr1	120678540	120681286	LOC124904392	0
chr1	120620173	120718426	N_region_windowed	100000	-	chr1	120683346	120683596	RN7SKP88	0
chr1	143303957	143387103	N_region_windowed	83226	+	chr1	142522964	143403515	LOC124904398	0
chr1	143303957	143387103	N_region_windowed	83226	+	chr1	143279956	143313924	LOC100996731	0
chr1	143303957	143387103	N_region_windowed	83226	+	chr1	143328015	143351342	LINC02802	0
chr1	143303957	143387103	N_region_windowed	83226	+	chr1	143366185	143366295	RNA5SP529	0
chr1	143303957	143387103	N_region_windowed	83226	+	chr1	143375498	143377727	LOC101060524	0
chr1	145852666	145937525	N_region_windowed	85371	-	chr1	145855207	145858795	LOC653513	0
chr1	145852666	145937525	N_region_windowed	85371	-	chr1	145898452	145979756	LOC124904395	0
chr1	145852666	145937525	N_region_windowed	85371	-	chr1	145908853	145922472	LOC112268272	0
chr1	146402998	146479713	N_region	76210	-	chr1	146374792	146404817	PDE4DIPP6	0
chr1	146402998	146479713	N_region	76210	-	chr1	146404447	146404608	RNVU1-3	0
chr1	146402998	146479713	N_region	76210	-	chr1	146418674	146418836	RNVU1-2	0
chr1	146402998	146479713	N_region	76210	-	chr1	146418962	146419044	MIR6077	0
chr1	146402998	146479713	N_region	76210	-	chr1	146421363	146421498	RNU1-155P	0
chr1	146402998	146479713	N_region	76210	-	chr1	146428234	146428508	TRN-GTT23-1	0
chr1	146402998	146479713	N_region	76210	-	chr1	146437902	146447380	LOC124904396	0
chr1	146402998	146479713	N_region	76210	-	chr1	146444789	146444953	RNVU1-1	0
chr1	146402998	146479713	N_region	76210	-	chr1	146462327	146471921	LOC124904402	0
chr1	146402998	146479713	N_region	76210	-	chr1	146462688	146473470	LOC124904404	0
chr1	146402998	146479713	N_region	76210	-	chr1	146472567	146472723	RNVU1-21	0
chr1	146402998	146479713	N_region	76210	-	chr1	146472780	146472856	MIR5087	0
chr1	146402998	146479713	N_region	76210	-	chr1	146476162	146478513	LOC124904403	0
chr1	146402998	146479713	N_region	76210	-	chr1	146478451	146478523	TRQ-CTG7-1	0
chr1	147587463	147677938	N_region_windowed	100000	-	chr1	147694100	147708959	NBPF13P	16163
