#sample	chromosome	file_name	variants	phased	unphased	singletons	blocks	variant_per_block_median	variant_per_block_avg	variant_per_block_min	variant_per_block_max	variant_per_block_sum	bp_per_block_median	bp_per_block_avg	bp_per_block_min	bp_per_block_max	bp_per_block_sum	heterozygous_variants	heterozygous_snvs	phased_snvs	phased_fraction	phased_snvs_fraction	block_n50
syndip	chr1	assembly/variants/published_duplex/phased_gfase/small_variants.dip.vcf.gz	348932	241714	44	0	1	241714	241714.0	241714	241714	241714	248381038	248381038.0	248381038	248381038	248381038	241758	185873	185848	0.9998179998179998	0.9998654995615286	248381038
syndip	chr2	assembly/variants/published_duplex/phased_gfase/small_variants.dip.vcf.gz	364295	243730	3113	0	1	243730	243730.0	243730	243730	243730	242689898	242689898.0	242689898	242689898	242689898	246843	191409	188553	0.9873887450727791	0.9850790715170133	242689898
syndip	chr3	assembly/variants/published_duplex/phased_gfase/small_variants.dip.vcf.gz	329234	227005	221	0	1	227005	227005.0	227005	227005	227005	201085707	201085707.0	201085707	201085707	201085707	227226	180682	180520	0.9990274000334469	0.9991033971286569	201085707
syndip	chr4	assembly/variants/published_duplex/phased_gfase/small_variants.dip.vcf.gz	340507	232474	3096	0	1	232474	232474.0	232474	232474	232474	193546458	193546458.0	193546458	193546458	193546458	235570	190154	187241	0.9868574096871419	0.9846808376368628	193546458
syndip	chr5	assembly/variants/published_duplex/phased_gfase/small_variants.dip.vcf.gz	299720	207551	45	0	1	207551	207551.0	207551	207551	207551	182041510	182041510.0	182041510	182041510	182041510	207596	163558	163549	0.999783232817588	0.9999449736484917	182041510
syndip	chr6	assembly/variants/published_duplex/phased_gfase/small_variants.dip.vcf.gz	306489	200586	4962	0	1	200586	200586.0	200586	200586	200586	172109729	172109729.0	172109729	172109729	172109729	205548	163142	158426	0.9758596532196859	0.9710926677373086	172109729
syndip	chr7	assembly/variants/published_duplex/phased_gfase/small_variants.dip.vcf.gz	282447	200951	49	0	1	200951	200951.0	200951	200951	200951	160561966	160561966.0	160561966	160561966	160561966	201000	158814	158804	0.9997562189054726	0.9999370332590326	160561966
syndip	chrX	assembly/variants/published_duplex/phased_gfase/small_variants.dip.vcf.gz	490	432	0	0	1	432	432.0	432	432	432	161424	161424.0	161424	161424	161424	432	290	290	1.0	1.0	0
syndip	chr9	assembly/variants/published_duplex/phased_gfase/small_variants.dip.vcf.gz	226471	162411	2276	0	1	162411	162411.0	162411	162411	162411	150609619	150609619.0	150609619	150609619	150609619	164687	126927	125792	0.9861798441892803	0.9910578521512365	150609619
syndip	chr8	assembly/variants/published_duplex/phased_gfase/small_variants.dip.vcf.gz	272623	187405	4204	0	1	187405	187405.0	187405	187405	187405	146239276	146239276.0	146239276	146239276	146239276	191609	155645	151697	0.9780594857235307	0.9746345851135597	146239276
syndip	chr11	assembly/variants/published_duplex/phased_gfase/small_variants.dip.vcf.gz	284722	196182	394	0	1	196182	196182.0	196182	196182	196182	135086692	135086692.0	135086692	135086692	135086692	196576	164116	163832	0.9979956861468338	0.9982695166833215	135086692
syndip	chr10	assembly/variants/published_duplex/phased_gfase/small_variants.dip.vcf.gz	233525	162664	77	0	1	162664	162664.0	162664	162664	162664	134752320	134752320.0	134752320	134752320	134752320	162741	127149	127122	0.9995268555557604	0.9997876507090107	134752320
syndip	chr12	assembly/variants/published_duplex/phased_gfase/small_variants.dip.vcf.gz	223453	156791	24	0	1	156791	156791.0	156791	156791	156791	133321411	133321411.0	133321411	133321411	133321411	156815	121674	121670	0.9998469534164461	0.9999671252691619	133321411
syndip	chr13	assembly/variants/published_duplex/phased_gfase/small_variants.dip.vcf.gz	171508	118554	12	0	1	118554	118554.0	118554	118554	118554	113553912	113553912.0	113553912	113553912	113553912	118566	93439	93436	0.9998987905470371	0.9999678934920109	113553912
syndip	chr14	assembly/variants/published_duplex/phased_gfase/small_variants.dip.vcf.gz	218281	161721	5605	0	1	161721	161721.0	161721	161721	161721	101154798	101154798.0	101154798	101154798	101154798	167326	140006	134848	0.9665025160465199	0.963158721769067	101154798
syndip	chr15	assembly/variants/published_duplex/phased_gfase/small_variants.dip.vcf.gz	125691	90047	129	0	1	90047	90047.0	90047	90047	90047	99599970	99599970.0	99599970	99599970	99599970	90176	69795	69738	0.998569464158978	0.9991833225875779	99599970
syndip	chr16	assembly/variants/published_duplex/phased_gfase/small_variants.dip.vcf.gz	177042	125278	2492	0	1	125278	125278.0	125278	125278	125278	96326112	96326112.0	96326112	96326112	96326112	127770	102763	100411	0.9804962041167723	0.9771123848077615	96326112
syndip	chr17	assembly/variants/published_duplex/phased_gfase/small_variants.dip.vcf.gz	167733	120231	116	0	1	120231	120231.0	120231	120231	120231	84225781	84225781.0	84225781	84225781	84225781	120347	93158	93115	0.9990361205514056	0.999538418600657	84225781
syndip	chr18	assembly/variants/published_duplex/phased_gfase/small_variants.dip.vcf.gz	135848	97476	1225	0	1	97476	97476.0	97476	97476	97476	80375733	80375733.0	80375733	80375733	80375733	98701	80513	79336	0.9875887782291972	0.985381242780669	80375733
syndip	chr20	assembly/variants/published_duplex/phased_gfase/small_variants.dip.vcf.gz	135632	99959	1	0	1	99959	99959.0	99959	99959	99959	66198644	66198644.0	66198644	66198644	66198644	99960	82181	82181	0.9999899959983993	1.0	66198644
syndip	chr19	assembly/variants/published_duplex/phased_gfase/small_variants.dip.vcf.gz	136979	104560	319	0	1	104560	104560.0	104560	104560	104560	61702043	61702043.0	61702043	61702043	61702043	104879	81204	80911	0.9969583996796308	0.9963918033594404	61702043
syndip	chr22	assembly/variants/published_duplex/phased_gfase/small_variants.dip.vcf.gz	161787	125127	2896	0	1	125127	125127.0	125127	125127	125127	51288113	51288113.0	51288113	51288113	51288113	128023	111303	108790	0.9773790646993118	0.977421992219437	51288113
