#sample	chromosome	phase_set	from	to	variants
syndip	chr1	0	7787	248383424	256472
syndip	chr2	0	3155	242694066	251482
syndip	chr3	0	2645	201101343	215878
syndip	chr4	0	3022	193490816	231758
syndip	chr5	0	31830	182025943	196000
syndip	chr6	0	8047	172124006	217310
syndip	chr7	0	3200	160549708	197317
syndip	chrX	0	17566	154256551	134111
syndip	chr9	0	3545	150614219	163215
syndip	chr8	0	2183	146235495	158059
syndip	chr11	0	1837	135125485	179881
syndip	chr10	0	3727	134723423	157847
syndip	chr12	0	4614	133322669	146380
syndip	chr13	0	4119301	113562614	114554
syndip	chr14	0	29813	101158107	161473
syndip	chr15	0	6091	99749463	166455
syndip	chr16	0	26118	96327872	135344
syndip	chr17	0	2246	84237411	107022
syndip	chr18	0	163949	80539281	98060
syndip	chr20	0	2374	66206141	88957
syndip	chr19	0	2210	61703723	92501
syndip	chr22	0	4721	51321978	118176
syndip	chr21	0	3159	45086027	86497
