C	J  inter-chromosomal misjoin
C	j  inter-chromosomal misjoin with both breakpoints ending in centromeres
C	G  long gap on the reference genome
C	g  long gap on the reference genome with both breakpoints ending in centromeres
C	M  closed inversion
C
G	haplotype2-0000209	60577659	16110027	24786603	+	chr19	61707364	16105980	24683962	8563676	8683994	60
G	haplotype2-0000209	60577659	28413476	34950465	+	chr19	61707364	29738696	36278127	6519006	6552052	60
G	haplotype2-0000221	192055920	45973851	49217663	+	chr4	193574945	45843699	49087114	3234733	3250573	60
G	haplotype2-0000221	192055920	53915948	55090022	+	chr4	193574945	55520289	56694422	1172750	1174526	60
J	haplotype2-0000226	106153786	95024472	96069994	-	chr13	113566686	17506213	18549344	1040069	1046630	60
J	haplotype2-0000226	106153786	99635149	100817626	-	chr21	45090682	8199107	9377430	1170635	1187570	60
G	haplotype2-0000230	136727430	78075779	80586072	-	chr11	135127769	54450846	56975119	2490311	2540167	60
G	haplotype2-0000230	136727430	86872918	91913391	-	chr11	135127769	44820529	49873023	5030742	5058026	60
M	haplotype2-0000231	249059939	143683107	146126302	+	chr1	248387328	143203464	145602142	2391145	2449362	60
M	haplotype2-0000231	249059939	145709959	146810927	-	chr1	248387328	145181161	146276377	1080572	1113552	60
M	haplotype2-0000231	249059939	147061330	148112023	+	chr1	248387328	146526798	147577833	1049091	1051479	60
M	haplotype2-0000235	136395560	72787608	74071438	-	chr9	150617247	76530271	77846299	1280410	1318377	60
M	haplotype2-0000235	136395560	93924441	95548797	+	chr9	150617247	42647947	44282876	1616245	1638771	60
M	haplotype2-0000235	136395560	96492118	100320440	-	chr9	150617247	36021313	39838387	3807035	3833466	60
G	haplotype2-0000236	100394245	79573255	81072926	-	chr15	99753195	19554644	21063408	1493542	1513176	60
G	haplotype2-0000236	100394245	82390929	83423411	-	chr15	99753195	18255130	19285444	1017551	1043082	60
G	haplotype2-0000236	100394245	85307294	86326388	-	chr15	99753195	15438136	16739957	1013089	1306512	60
G	haplotype2-0000236	100394245	88240302	90392462	-	chr15	99753195	12477885	14642783	1991348	2322884	60
J	haplotype2-0000236	100394245	88240302	90392462	-	chr15	99753195	12477885	14642783	1991348	2322884	60
J	haplotype2-0000236	100394245	96717406	97720964	-	chr22	51324926	5664333	6667928	999499	1005664	60
J	haplotype2-0000242	39514755	35162090	36249348	-	chr21	45090682	9603790	10699913	1086425	1096585	60
J	haplotype2-0000242	39514755	37214066	38578214	-	chr13	113566686	10463389	11796004	1331226	1365266	60
G	haplotype2-0000244	90547281	34982018	44076786	-	chr16	96330374	52150680	61246588	9083807	9100769	60
G	haplotype2-0000244	90547281	51916003	53658207	-	chr16	96330374	37815742	39557879	1733862	1750043	60
G	haplotype2-0000244	90547281	51916003	53658207	-	chr16	96330374	37815742	39557879	1733862	1750043	60
G	haplotype2-0000244	90547281	56971648	62812513	-	chr16	96330374	27415594	33219812	5693858	5948982	60
# inter-chromosomal misjoins: 3,0
# intra-chromosomal gaps: 7,0
# candidate inversions in the middle: 2,0
# candidate inversions at contig ends: 0,0
