File name::assembly/qc/phased_verkko/TUE_02_02UL/T2T_contigs.unphased.paf, l.n::432
haplotype1-0000001	136565302	6483	136558637	-	chr11	135127769	2922	135125193
haplotype1-0000002	245099891	8288	245093655	+	chr1	248387328	3255	248384138
haplotype1-0000003	201141419	5636	201134200	+	chr3	201105948	2631	201100860
haplotype1-0000004	61710936	5691	61704533	-	chr19	61707364	3375	61703590
haplotype1-0000005	242919497	5621	242910947	+	chr2	242696752	3355	242693051
haplotype1-0000006	172013911	8145	171909157	-	chr6	172126628	2882	172122275
haplotype1-0000007	183813175	76742	183803928	-	chr5	182045439	3403	181966202
haplotype1-0000009	65007387	7486	65002610	+	chr20	66210255	2711	66205788
haplotype1-0000010	133898396	6993	133893701	+	chr12	133324548	4043	133322282
haplotype1-0000011	136530885	4868	136524081	-	chr10	134758134	3895	134755004
haplotype1-0000012	82969667	5823	82964158	-	chr17	84276897	2214	84274189
haplotype1-0000013	145753871	147761	145748903	+	chr8	146259331	2068	146253993
haplotype1-0000016	79359206	5982	79355563	+	chr18	80542538	164380	80539355
haplotype1-0000017	191867340	6996	191830987	+	chr4	193574945	3254	193499924
haplotype1-0000019	102443038	6001	101740546	-	chr14	101161492	841094	101159045
haplotype1-0000021	51475737	4988	51470537	+	chrY	62460029	5650	62453933
haplotype1-0000023	92136602	6936	91926047	-	chr16	96330374	25639	96327790
haplotype1-0000024	136368355	4976	136362710	-	chr9	150617247	3677	150500186
haplotype1-0000026	159289214	4868	159282212	-	chr7	160567428	3826	160565222
haplotype2-0000084	136933570	6142	136926942	-	chr11	135127769	1840	135125239
haplotype2-0000087	154357543	4122	154348499	+	chrX	154259566	1815	154255197
haplotype2-0000088	245783464	18702	245775899	+	chr1	248387328	6457	248384213
haplotype2-0000091	201194987	14	201189226	+	chr3	201105948	4307	201101343
haplotype2-0000093	93026328	7109	93021076	+	chr16	96330374	3906	96327761
haplotype2-0000095	62135151	7336	62129019	-	chr19	61707364	2061	61703624
haplotype2-0000096	242668927	6034	242660611	+	chr2	242696752	3355	242693058
haplotype2-0000097	182051767	5218	182044017	-	chr5	182045439	2287	182044180
haplotype2-0000098	138802043	126014	138795836	-	chr9	150617247	3570	150576373
haplotype2-0000099	65610763	5263	65606187	+	chr20	66210255	2724	66205788
haplotype2-0000100	171583303	7495	171477188	-	chr6	172126628	2882	172123886
haplotype2-0000101	133805165	5519	133798751	+	chr12	133324548	3416	133322219
haplotype2-0000102	136479916	35764	136474580	-	chr10	134758134	3895	134656311
haplotype2-0000103	83070819	7830	83065349	-	chr17	84276897	2214	84272758
haplotype2-0000104	145925934	147292	145919034	+	chr8	146259331	2068	146253993
haplotype2-0000105	94534772	9028	94498061	-	chr15	99753195	4689067	99748717
haplotype2-0000107	79953036	6382	79947923	+	chr18	80542538	164922	80538991
haplotype2-0000108	192333606	8608	192296036	+	chr4	193574945	3263	193490696
haplotype2-0000112	159963973	5557	159957345	-	chr7	160567428	3374	160565462
