File name::assembly/qc/phased_verkko/T2T06/haplotype1.mapped_T2T.paf, l.n::1695
haplotype1-0000003	98662551	54558	98583826	+	chr15	99753195	4669410	99680082
haplotype1-0000004	83846641	121721	83679767	+	chr17	84276897	2180	84110550
haplotype1-0000005	47256863	6075	47223749	-	chrY	62460029	66695	62454178
haplotype1-0000006	90133295	71406	90127087	-	chr16	96330374	3432	96257071
haplotype1-0000007	248203186	9902	248196859	+	chr1	248387328	2717	248384188
haplotype1-0000009	191318702	5566	191310118	-	chr4	193574945	3237	193572953
haplotype1-0000010	131597711	6151	131403827	-	chr12	133324548	194128	133322320
haplotype1-0000012	59381086	136155	59374506	+	chr19	61707364	152469	61703816
haplotype1-0000013	80966860	6391	80960902	+	chr18	80542538	164426	80539493
haplotype1-0000015	242215410	11538	242207636	+	chr2	242696752	3357	242693963
haplotype1-0000016	135206642	7541	135196935	+	chr10	134758134	3015	134755012
haplotype1-0000017	183213748	36357	183204693	-	chr5	182045439	1899	181928402
haplotype1-0000019	173837558	105463	173758436	+	chr6	172126628	2875	171998235
haplotype1-0000020	160794401	6263	160787729	-	chr7	160567428	3405	160565235
haplotype1-0000021	145301303	6230	145024003	-	chr8	146259331	131173	146254006
haplotype1-0000023	134206595	81116	134199784	+	chr11	135127769	74452	135125205
haplotype1-0000024	135065769	7570	134989414	-	chr9	150617247	4984	150614284
haplotype1-0000025	65736007	3815	65730133	-	chr20	66210255	2808	66207613
haplotype1-0000026	201993019	5754	201883498	+	chr3	201105948	2581	200832115
