#sample	chromosome	phase_set	from	to	variants
syndip	chr1	0	3211	248384152	251951
syndip	chr2	0	3155	242694066	238141
syndip	chr3	0	2460	201101343	205512
syndip	chr4	0	3022	193490816	223869
syndip	chr5	0	1855	182044304	187144
syndip	chr6	0	8047	172124006	208599
syndip	chr7	0	3200	160565562	187979
syndip	chrX	0	4804	154256551	127899
syndip	chr9	0	3545	150614219	157452
syndip	chr8	0	2183	146244878	150902
syndip	chr11	0	1837	135125485	193397
syndip	chr10	0	3727	134723423	150262
syndip	chr12	0	10156	133322669	138326
syndip	chr13	0	4119301	113562614	108721
syndip	chr14	0	2510	101159346	152454
syndip	chr15	0	6091	99749463	158838
syndip	chr16	0	3666	96327872	129830
syndip	chr17	0	2260	84237411	93138
syndip	chr18	0	163949	80539281	94003
syndip	chr20	0	2374	66206087	84650
syndip	chr19	0	2210	61703957	86282
syndip	chr22	0	4614	51322042	114565
syndip	chr21	0	3048	45086599	85456
