contig	color	chromosome
haplotype1-0000001	#1A7FBA	chr12
haplotype1-0000002	#E6B847	chr15
haplotype1-0000003	#9467BD	chrX
haplotype1-0000004	#CC79A7	chr4
haplotype1-0000005	#737373	chr14
haplotype1-0000006	#E69F00	chr1
haplotype1-0000007	#00A880	chr10
haplotype1-0000008	#338CC2	chr19
haplotype1-0000009	#D58C66	chr20
haplotype1-0000010	#5699E9	chr9
haplotype1-0000011	#56B4E9	chr2
haplotype1-0000012	#666666	chr7
haplotype1-0000013	#CCA0BF	chr18
haplotype1-0000014	#808080	chr21
haplotype1-0000015	#E6C47F	chr22
haplotype1-0000016	#00B28C	chr17
haplotype1-0000017	#D57533	chr13
haplotype1-0000018	#E6C47F	chr22
haplotype1-0000019	#E6C47F	chr22
haplotype1-0000020	#0072B2	chr5
haplotype1-0000021	#808080	chr21
haplotype1-0000022	#E6AB23	chr8
haplotype1-0000023	#CC8DB3	chr11
haplotype1-0000024	#567DE9	chr16
haplotype1-0000025	#009E73	chr3
haplotype1-0000026	#D55E00	chr6
haplotype1-0000027	#9467BD	chrX
haplotype1-0000028	#E69F00	chr1
haplotype1-0000029	#00B28C	chr17
haplotype1-0000030	#00B28C	chr17
haplotype1-0000031	#00B28C	chr17
haplotype1-0000032	#567DE9	chr16
haplotype1-0000033	#567DE9	chr16
haplotype1-0000034	#00B28C	chr17
haplotype1-0000035	#00B28C	chr17
haplotype1-0000036	#567DE9	chr16
haplotype1-0000037	#009E73	chr3
haplotype1-0000038	#E69F00	chr1
haplotype1-0000039	#567DE9	chr16
haplotype2-0000040	#666666	chr7
haplotype2-0000041	#1A7FBA	chr12
haplotype2-0000042	#CC79A7	chr4
haplotype2-0000043	#0072B2	chr5
haplotype2-0000044	#737373	chr14
haplotype2-0000045	#E69F00	chr1
haplotype2-0000046	#00A880	chr10
haplotype2-0000047	#338CC2	chr19
haplotype2-0000048	#808080	chr21
haplotype2-0000049	#666666	chr7
haplotype2-0000050	#CCA0BF	chr18
haplotype2-0000051	#E6B847	chr15
haplotype2-0000052	#56B4E9	chr2
haplotype2-0000053	#5699E9	chr9
haplotype2-0000054	#E6C47F	chr22
haplotype2-0000055	#9467BD	chrX
haplotype2-0000056	#00B28C	chr17
haplotype2-0000057	#D57533	chr13
haplotype2-0000058	#E6C47F	chr22
haplotype2-0000059	#E6B847	chr15
haplotype2-0000060	#808080	chr21
haplotype2-0000061	#808080	chr21
haplotype2-0000062	#D58C66	chr20
haplotype2-0000063	#E6AB23	chr8
haplotype2-0000064	#CC8DB3	chr11
haplotype2-0000065	#567DE9	chr16
haplotype2-0000066	#009E73	chr3
haplotype2-0000067	#D55E00	chr6
haplotype2-0000068	#D55E00	chr6
haplotype2-0000069	#CCA0BF	chr18
haplotype2-0000070	#737373	chr14
haplotype2-0000071	#5699E9	chr9
haplotype2-0000072	#5699E9	chr9
haplotype2-0000073	#5699E9	chr9
haplotype2-0000074	#5699E9	chr9
haplotype2-0000075	#009E73	chr3
haplotype2-0000076	#CCA0BF	chr18
haplotype2-0000077	#808080	chr21
haplotype2-0000078	#CCA0BF	chr18
haplotype2-0000079	#D57533	chr13
haplotype2-0000080	#D57533	chr13
haplotype2-0000081	#009E73	chr3
haplotype2-0000082	#E6AB23	chr8
haplotype2-0000083	#CCA0BF	chr18
haplotype2-0000084	#CCA0BF	chr18
haplotype2-0000085	#CC8DB3	chr11
haplotype2-0000086	#CCA0BF	chr18
haplotype2-0000087	#CCA0BF	chr18
haplotype2-0000088	#E6AB23	chr8
haplotype2-0000089	#9467BD	chrX
haplotype2-0000090	#E6AB23	chr8
haplotype2-0000091	#E6AB23	chr8
haplotype2-0000092	#CC8DB3	chr11
haplotype2-0000093	#E6AB23	chr8
haplotype2-0000094	#CC8DB3	chr11
haplotype2-0000095	#D55E00	chr6
haplotype2-0000096	#E6AB23	chr8
haplotype2-0000097	#E6AB23	chr8
haplotype2-0000098	#D55E00	chr6
haplotype2-0000099	#D55E00	chr6
haplotype2-0000100	#D55E00	chr6
haplotype2-0000101	#E69F00	chr1
unassigned-0000102	#CC79A7	chr4
unassigned-0000103	#9467BD	chrX
unassigned-0000104	#E6AB23	chr8
unassigned-0000105	#808080	chr21
unassigned-0000106	#00B28C	chr17
unassigned-0000107	#CC79A7	chr4
unassigned-0000108	#CC79A7	chr4
unassigned-0000109	#CC79A7	chr4
unassigned-0000110	#CC79A7	chr4
unassigned-0000111	#808080	chr21
unassigned-0000113	#E6B847	chr15
unassigned-0000114	#1A7FBA	chr12
unassigned-0000115	#808080	chr21
unassigned-0000116	#D57533	chr13
unassigned-0000117	#808080	chr21
unassigned-0000118	#E6B847	chr15
unassigned-0000120	#808080	chr21
unassigned-0000123	#E6B847	chr15
unassigned-0000124	#E6B847	chr15
unassigned-0000125	#D57533	chr13
unassigned-0000126	#D57533	chr13
unassigned-0000127	#808080	chr21
unassigned-0000128	#808080	chr21
unassigned-0000129	#E6B847	chr15
unassigned-0000130	#808080	chr21
unassigned-0000131	#808080	chr21
unassigned-0000132	#808080	chr21
unassigned-0000133	#E6B847	chr15
unassigned-0000134	#666666	chr7
unassigned-0000135	#E6B847	chr15
unassigned-0000136	#808080	chr21
unassigned-0000137	#D57533	chr13
unassigned-0000138	#D57533	chr13
unassigned-0000139	#0072B2	chr5
unassigned-0000140	#D57533	chr13
unassigned-0000142	#D57533	chr13
unassigned-0000143	#808080	chr21
unassigned-0000144	#808080	chr21
unassigned-0000145	#E6B847	chr15
unassigned-0000146	#808080	chr21
unassigned-0000147	#CC8DB3	chr11
unassigned-0000148	#E6B847	chr15
unassigned-0000149	#E6B847	chr15
unassigned-0000151	#D57533	chr13
unassigned-0000152	#D57533	chr13
unassigned-0000153	#E6B847	chr15
unassigned-0000154	#E6B847	chr15
unassigned-0000155	#E6B847	chr15
unassigned-0000156	#737373	chr14
unassigned-0000157	#808080	chr21
unassigned-0000158	#808080	chr21
unassigned-0000160	#808080	chr21
unassigned-0000161	#808080	chr21
unassigned-0000162	#808080	chr21
unassigned-0000163	#D57533	chr13
unassigned-0000164	#808080	chr21
unassigned-0000166	#E6C47F	chr22
unassigned-0000167	#E6B847	chr15
unassigned-0000168	#CC79A7	chr4
unassigned-0000169	#D57533	chr13
unassigned-0000170	#D57533	chr13
unassigned-0000171	#737373	chr14
unassigned-0000172	#808080	chr21
unassigned-0000173	#009E73	chr3
unassigned-0000175	#666666	chr7
unassigned-0000176	#808080	chr21
unassigned-0000178	#D57533	chr13
unassigned-0000179	#E6B847	chr15
unassigned-0000180	#808080	chr21
unassigned-0000181	#00A880	chr10
unassigned-0000182	#737373	chr14
unassigned-0000184	#0072B2	chr5
unassigned-0000185	#0072B2	chr5
unassigned-0000186	#E69F00	chr1
unassigned-0000187	#E6C47F	chr22
unassigned-0000188	#56B4E9	chr2
unassigned-0000189	#56B4E9	chr2
unassigned-0000190	#E69F00	chr1
unassigned-0000191	#D57533	chr13
unassigned-0000193	#E69F00	chr1
unassigned-0000196	#737373	chr14
unassigned-0000197	#737373	chr14
unassigned-0000198	#737373	chr14
unassigned-0000199	#808080	chr21
unassigned-0000200	#737373	chr14
unassigned-0000201	#E6B847	chr15
unassigned-0000202	#737373	chr14
unassigned-0000203	#737373	chr14
unassigned-0000204	#737373	chr14
unassigned-0000205	#E6C47F	chr22
unassigned-0000206	#E6C47F	chr22
unassigned-0000208	#E69F00	chr1
unassigned-0000209	#737373	chr14
unassigned-0000210	#E6B847	chr15
unassigned-0000211	#E6B847	chr15
unassigned-0000212	#737373	chr14
unassigned-0000213	#D57533	chr13
unassigned-0000214	#E6B847	chr15
unassigned-0000216	#567DE9	chr16
unassigned-0000217	#567DE9	chr16
unassigned-0000218	#737373	chr14
unassigned-0000219	#737373	chr14
unassigned-0000220	#E6C47F	chr22
unassigned-0000221	#808080	chr21
unassigned-0000222	#E6C47F	chr22
unassigned-0000223	#E6C47F	chr22
unassigned-0000224	#D57533	chr13
unassigned-0000225	#E6C47F	chr22
unassigned-0000226	#1A7FBA	chr12
unassigned-0000227	#D57533	chr13
unassigned-0000228	#E6C47F	chr22
unassigned-0000229	#D57533	chr13
unassigned-0000230	#E6C47F	chr22
unassigned-0000231	#E6C47F	chr22
unassigned-0000232	#E6C47F	chr22
unassigned-0000233	#666666	chr7
unassigned-0000234	#D57533	chr13
unassigned-0000235	#E6C47F	chr22
unassigned-0000236	#808080	chr21
unassigned-0000238	#737373	chr14
