chrom	end_start	end_end	contig_name	contig_length	haplotype	end_side	nearest_gene_chrom	nearest_gene_start	nearest_gene_end	nearest_gene_name	distance
chr1	22738528	22738529	haplotype1-0000027	160876	haplotype1	left_end	chr1	23137823	23177454	HNRNPR	399295
chr1	22899347	22899348	haplotype1-0000027	160876	haplotype1	right_end	chr1	23137823	23177454	HNRNPR	238476
chr1	32317723	32317724	unassigned-0000451	47897	unassigned	left_end	chr1	32479595	32510712	ZBTB8OS	161872
chr1	32365602	32365603	unassigned-0000451	47897	unassigned	right_end	chr1	32479595	32510712	ZBTB8OS	113993
chr1	64355075	64355076	unassigned-0000219	127100	unassigned	left_end	chr1	63649840	64057220	ROR1	297856
chr1	64482176	64482177	unassigned-0000219	127100	unassigned	right_end	chr1	63649840	64057220	ROR1	424957
chr1	127204214	127204215	haplotype2-0000055	1972758	haplotype2	left_end	chr1	127720229	127766430	LINC01666	516015
chr1	140235027	140235028	haplotype2-0000055	1972758	haplotype2	right_end	chr1	142264290	142273731	LOC101929814	2029263
chr1	141986366	141986367	haplotype1-0000037	187152	haplotype1	left_end	chr1	142264290	142273731	LOC101929814	277924
chr1	142003990	142003991	haplotype1-0000037	187152	haplotype1	right_end	chr1	142264290	142273731	LOC101929814	260300
chr1	143357886	143357887	haplotype2-0000113	45069	haplotype2	left_end	chr1	142522964	143403515	LOC124904398	0
chr1	143402830	143402831	haplotype2-0000113	45069	haplotype2	right_end	chr1	142522964	143403515	LOC124904398	0
chr1	143767317	143767318	unassigned-0000175	56920	unassigned	left_end	chr1	143763552	143789611	KMT2CP1	0
chr1	143801423	143801424	unassigned-0000683	42836	unassigned	left_end	chr1	143800769	143800879	RNA5SP59	545
chr1	143824240	143824241	unassigned-0000175	56920	unassigned	right_end	chr1	143815798	143840522	LSP1P5	0
chr1	143844256	143844257	unassigned-0000683	42836	unassigned	right_end	chr1	143841925	143850134	LOC107987366	0
chr1	148204987	148204988	unassigned-0000227	221061	unassigned	left_end	chr1	147986384	148322048	HYDIN2	0
chr1	148250805	148250806	unassigned-0000688	64063	unassigned	left_end	chr1	147986384	148322048	HYDIN2	0
chr1	148314878	148314879	unassigned-0000688	64063	unassigned	right_end	chr1	147986384	148322048	HYDIN2	0
chr1	148341815	148341816	unassigned-0000727	81517	unassigned	left_end	chr1	148355844	148359920	LOC105371233	14029
chr1	148341932	148341933	unassigned-0000728	104038	unassigned	left_end	chr1	148355844	148359920	LOC105371233	13912
chr1	148423343	148423344	unassigned-0000727	81517	unassigned	right_end	chr1	148388523	148431574	LOC112268274	0
chr1	148426049	148426050	unassigned-0000227	221061	unassigned	right_end	chr1	148388523	148431574	LOC112268274	0
chr1	148445984	148445985	unassigned-0000728	104038	unassigned	right_end	chr1	148431826	148492803	SEC22B4P	0
chr1	227973850	227973851	unassigned-0000678	82567	unassigned	left_end	chr1	227972749	227972870	RNA5S2	981
chr1	227978402	227978403	unassigned-0000612	84435	unassigned	left_end	chr1	227977227	227977348	RNA5S5	1055
chr1	228002617	228002618	unassigned-0000402	63620	unassigned	left_end	chr1	228001866	228001987	RNA5S3	631
chr1	228056342	228056343	unassigned-0000678	82567	unassigned	right_end	chr1	228022875	228124580	RHOU	0
chr1	228062834	228062835	unassigned-0000612	84435	unassigned	right_end	chr1	228022875	228124580	RHOU	0
chr1	228066191	228066192	unassigned-0000402	63620	unassigned	right_end	chr1	228022875	228124580	RHOU	0
chr1	228147838	228147839	unassigned-0000183	180862	unassigned	left_end	chr1	228022875	228124580	RHOU	23259
chr1	228166920	228166921	unassigned-0000413	43937	unassigned	left_end	chr1	228022875	228124580	RHOU	42341
chr1	228211161	228211162	unassigned-0000413	43937	unassigned	right_end	chr1	228022875	228124580	RHOU	86582
chr1	228329409	228329410	unassigned-0000183	180862	unassigned	right_end	chr1	228022875	228124580	RHOU	204830
chr10	134584638	134584639	unassigned-0000681	67307	unassigned	left_end	chr10	134588701	134589329	RARRES2P2	4063
chr10	134599290	134599291	unassigned-0000211	48711	unassigned	left_end	chr10	134593306	134594509	AGGF1P2	4782
chr10	134605033	134605034	unassigned-0000682	75796	unassigned	left_end	chr10	134610996	134611092	MIR1324	5963
chr10	134608101	134608102	unassigned-0000212	45890	unassigned	left_end	chr10	134610996	134611092	MIR1324	2895
chr10	134647907	134647908	unassigned-0000211	48711	unassigned	right_end	chr10	134648348	134649873	DUX4L24	441
chr10	134651884	134651885	unassigned-0000681	67307	unassigned	right_end	chr10	134651658	134652937	DUX4L12	0
chr10	134653964	134653965	unassigned-0000212	45890	unassigned	right_end	chr10	134654968	134656247	DUX4L13	1004
chr10	134697118	134697119	unassigned-0000206	47598	unassigned	left_end	chr10	134694716	134696241	DUX4L24	878
chr10	134709561	134709562	unassigned-0000379	30468	unassigned	left_end	chr10	134707957	134709482	DUX4L24	80
chr10	134740095	134740096	unassigned-0000379	30468	unassigned	right_end	chr10	134745870	134746398	RPL23AP60	5775
chr10	134744775	134744776	unassigned-0000206	47598	unassigned	right_end	chr10	134745870	134746398	RPL23AP60	1095
chr10	134750523	134750524	unassigned-0000682	75796	unassigned	right_end	chr10	134745870	134746398	RPL23AP60	4126
chr11	46926082	46926083	haplotype1-0000044	48150	haplotype1	left_end	chr11	46875234	46896332	F2	29751
chr11	46974218	46974219	haplotype1-0000044	48150	haplotype1	right_end	chr11	46875234	46896332	F2	77887
chr11	73777696	73777697	unassigned-0000224	102856	unassigned	left_end	chr11	73604788	73690219	RAB6A	87478
chr11	73880553	73880554	unassigned-0000224	102856	unassigned	right_end	chr11	73604788	73690219	RAB6A	190335
chr12	6675440	6675441	unassigned-0000386	75771	unassigned	left_end	chr12	6544872	6548727	GAPDH	126714
chr12	6701060	6701061	unassigned-0000145	84836	unassigned	left_end	chr12	6544872	6548727	GAPDH	152334
