#sample	chromosome	phase_set	from	to	variants
syndip	chr1	0	3211	248384152	253009
syndip	chr2	0	4098	242694066	239111
syndip	chr3	0	2460	201101343	206266
syndip	chr4	0	3022	193490816	224309
syndip	chr5	0	1855	182044304	187539
syndip	chr6	0	8047	172124006	209136
syndip	chr7	0	3200	160565562	188796
syndip	chrX	0	5347	154256551	128430
syndip	chr9	0	3545	150614219	156604
syndip	chr8	0	2183	146253953	151461
syndip	chr11	0	1837	135125485	193611
syndip	chr10	0	3727	134723423	150790
syndip	chr12	0	10156	133322669	139007
syndip	chr13	0	4119301	113562614	110308
syndip	chr14	0	71277	101096809	150127
syndip	chr15	0	6215	99749463	161894
syndip	chr16	0	3666	96327872	130349
syndip	chr17	0	2260	84237411	94098
syndip	chr18	0	163949	80539281	94486
syndip	chr20	0	2374	66203987	84958
syndip	chr19	0	2008	61703957	86621
syndip	chr22	0	4721	51316798	113246
syndip	chr21	0	3048	45086599	83652
