#sample	chromosome	dataset_name0	dataset_name1	file_name0	file_name1	intersection_blocks	covered_variants	all_assessed_pairs	all_switches	all_switch_rate	all_switchflips	all_switchflip_rate	blockwise_hamming	blockwise_hamming_rate	blockwise_diff_genotypes	blockwise_diff_genotypes_rate	largestblock_assessed_pairs	largestblock_switches	largestblock_switch_rate	largestblock_switchflips	largestblock_switchflip_rate	largestblock_hamming	largestblock_hamming_rate	largestblock_diff_genotypes	largestblock_diff_genotypes_rate	het_variants0	only_snvs
SAMPLE	chr1	giab	assembly	assembly/qc/phased_verkko/TUE_02_04UL_01DX/giab.filtered.vcf.gz	assembly/qc/phased_verkko/TUE_02_04UL_01DX/assembly.filtered.vcf.gz	1	32007	32006	1676	0.052365181528463416	968/354	0.041304755358370304	15739	0.49173618271003217	0	0.0	32006	1676	0.052365181528463416	968/354	0.041304755358370304	15739	0.49173618271003217	0	0.0	134522	0
SAMPLE	chr10	giab	assembly	assembly/qc/phased_verkko/TUE_02_04UL_01DX/giab.filtered.vcf.gz	assembly/qc/phased_verkko/TUE_02_04UL_01DX/assembly.filtered.vcf.gz	1	21542	21541	1123	0.05213314145118611	673/225	0.04168794392089504	9916	0.46031009191347133	0	0.0	21541	1123	0.05213314145118611	673/225	0.04168794392089504	9916	0.46031009191347133	0	0.0	74860	0
SAMPLE	chr11	giab	assembly	assembly/qc/phased_verkko/TUE_02_04UL_01DX/giab.filtered.vcf.gz	assembly/qc/phased_verkko/TUE_02_04UL_01DX/assembly.filtered.vcf.gz	1	19062	19061	1056	0.0554010807407796	614/221	0.04380672577514296	9305	0.48814395131675586	0	0.0	19061	1056	0.0554010807407796	614/221	0.04380672577514296	9305	0.48814395131675586	0	0.0	69813	0
SAMPLE	chr12	giab	assembly	assembly/qc/phased_verkko/TUE_02_04UL_01DX/giab.filtered.vcf.gz	assembly/qc/phased_verkko/TUE_02_04UL_01DX/assembly.filtered.vcf.gz	1	18288	18287	1021	0.05583201181166949	585/218	0.04391097500956964	8517	0.4657152230971129	0	0.0	18287	1021	0.05583201181166949	585/218	0.04391097500956964	8517	0.4657152230971129	0	0.0	69040	0
SAMPLE	chr13	giab	assembly	assembly/qc/phased_verkko/TUE_02_04UL_01DX/giab.filtered.vcf.gz	assembly/qc/phased_verkko/TUE_02_04UL_01DX/assembly.filtered.vcf.gz	1	14920	14919	730	0.04893089349152088	406/162	0.03807225685367652	7045	0.47218498659517427	0	0.0	14919	730	0.04893089349152088	406/162	0.03807225685367652	7045	0.47218498659517427	0	0.0	54438	0
SAMPLE	chr14	giab	assembly	assembly/qc/phased_verkko/TUE_02_04UL_01DX/giab.filtered.vcf.gz	assembly/qc/phased_verkko/TUE_02_04UL_01DX/assembly.filtered.vcf.gz	1	13289	13288	676	0.050872968091511137	410/133	0.040863937387116196	6157	0.46331552411769134	0	0.0	13288	676	0.050872968091511137	410/133	0.040863937387116196	6157	0.46331552411769134	0	0.0	80741	0
SAMPLE	chr15	giab	assembly	assembly/qc/phased_verkko/TUE_02_04UL_01DX/giab.filtered.vcf.gz	assembly/qc/phased_verkko/TUE_02_04UL_01DX/assembly.filtered.vcf.gz	1	12167	12166	681	0.05597566989972053	369/156	0.043153049482163405	5946	0.4886989397550752	0	0.0	12166	681	0.05597566989972053	369/156	0.043153049482163405	5946	0.4886989397550752	0	0.0	74616	0
SAMPLE	chr16	giab	assembly	assembly/qc/phased_verkko/TUE_02_04UL_01DX/giab.filtered.vcf.gz	assembly/qc/phased_verkko/TUE_02_04UL_01DX/assembly.filtered.vcf.gz	1	13071	13070	803	0.06143840856924254	483/160	0.04919663351185922	5986	0.45796037028536457	0	0.0	13070	803	0.06143840856924254	483/160	0.04919663351185922	5986	0.45796037028536457	0	0.0	56363	0
SAMPLE	chr17	giab	assembly	assembly/qc/phased_verkko/TUE_02_04UL_01DX/giab.filtered.vcf.gz	assembly/qc/phased_verkko/TUE_02_04UL_01DX/assembly.filtered.vcf.gz	1	11843	11842	711	0.06004053369363283	429/141	0.04813376118898835	5055	0.4268344169551634	0	0.0	11842	711	0.06004053369363283	429/141	0.04813376118898835	5055	0.4268344169551634	0	0.0	44483	0
SAMPLE	chr18	giab	assembly	assembly/qc/phased_verkko/TUE_02_04UL_01DX/giab.filtered.vcf.gz	assembly/qc/phased_verkko/TUE_02_04UL_01DX/assembly.filtered.vcf.gz	1	10702	10701	690	0.06447995514437903	414/138	0.05158396411550322	4985	0.4658007849000187	0	0.0	10701	690	0.06447995514437903	414/138	0.05158396411550322	4985	0.4658007849000187	0	0.0	41734	0
