File name::assembly/qc/phased_verkko/T2T13/T2T_contigs.both.paf, l.n::416
haplotype1-0000002	48778448	5704	48251945	-	chr22	51324926	2239510	51322044
haplotype1-0000003	155499359	26282	155490221	+	chrX	154259566	49316	154255757
haplotype1-0000004	65665022	8126	65657869	+	chr20	66210255	3825	66207456
haplotype1-0000005	250271348	7900	250263772	-	chr1	248387328	3255	248384213
haplotype1-0000006	135933991	81700	135927859	+	chr11	135127769	2515	135124313
haplotype1-0000007	79969374	6137	79961432	-	chr18	80542538	164902	80538995
haplotype1-0000008	133811342	5094	133806487	-	chr12	133324548	2768	133322219
haplotype1-0000009	145253291	6718	145248634	+	chr8	146259331	2068	146253993
haplotype1-0000010	98354156	6833	98346494	-	chr15	99753195	6477	99750403
haplotype1-0000011	182895846	9351	182889057	+	chr5	182045439	3403	182043911
haplotype1-0000012	161269342	11150	161262347	-	chr7	160567428	4327	160565222
haplotype1-0000014	172455371	105754	172437127	+	chr6	172126628	2882	172119011
haplotype1-0000015	136614819	34480	136606662	-	chr10	134758134	3895	134662965
haplotype1-0000016	199552244	6069	199546060	+	chr3	201105948	3387	201101343
haplotype1-0000018	83161726	7127	83153734	+	chr17	84276897	2214	84272750
haplotype1-0000021	61750380	7321	61742822	-	chr19	61707364	3367	61703624
haplotype1-0000022	90973850	6493	90966198	-	chr16	96330374	3906	96327302
haplotype1-0000023	191189136	10909	191152896	+	chr4	193574945	3254	193503222
haplotype1-0000025	242380047	9038	242373486	-	chr2	242696752	3355	242692978
haplotype1-0000027	98352334	107	97603075	-	chr14	101161492	3373084	101159107
haplotype2-0000062	155029929	5929	155022727	+	chrX	154259566	1815	154255647
haplotype2-0000063	68556411	7102	68546462	+	chr20	66210255	2724	66205565
haplotype2-0000064	134477033	34276	134470195	+	chr11	135127769	116690	135124313
haplotype2-0000066	136588959	8466	136553141	+	chr10	134758134	3895	134672821
haplotype2-0000067	241846985	6600	241839298	+	chr2	242696752	3355	242692978
haplotype2-0000068	145965060	147752	145956743	+	chr8	146259331	2068	146253993
haplotype2-0000070	194814221	7228	194777758	+	chr4	193574945	2854	193500558
haplotype2-0000071	182870169	9615	182863574	+	chr5	182045439	3403	182043924
haplotype2-0000072	160871283	5981	160864252	-	chr7	160567428	3374	160565222
haplotype2-0000073	173065735	6205	172917006	-	chr6	172126628	2882	172123886
haplotype2-0000076	133546671	6405	133539374	+	chr12	133324548	2768	133322282
haplotype2-0000077	200353512	5827	200346648	+	chr3	201105948	2631	201101343
haplotype2-0000079	84673538	43185	84666345	+	chr17	84276897	30759	84272750
haplotype2-0000080	61188998	8181	61181222	-	chr19	61707364	3367	61704034
haplotype2-0000081	248992217	7734	248986169	-	chr1	248387328	3255	248384213
haplotype2-0000084	90842583	7915	90833186	+	chr16	96330374	3906	96327284
haplotype2-0000087	101583447	199	99133078	-	chr14	101161492	1698908	101159333
haplotype2-0000088	78267439	6049	78260664	-	chr18	80542538	165161	80539424
