File name::assembly/qc/phased_hprc/NA19043/haplotype1.mapped_T2T.paf, l.n::2250
NA19043#1#CM087044.1	203254972	15517	203172317	+	chr3	201105948	2575	200832115
NA19043#1#CM087045.1	181456393	11449	181423185	+	chr5	182045439	2293	182007970
NA19043#1#CM087046.1	172109365	173792	172095908	+	chr6	172126628	2875	172123839
NA19043#1#CM087047.1	160698565	6365	160684838	+	chr7	160567428	3497	160563576
NA19043#1#CM087048.1	145982116	74232	145968982	+	chr8	146259331	63089	146254006
NA19043#1#CM087049.1	135669520	8408	135655833	+	chr10	134758134	2607	134754988
NA19043#1#CM087050.1	135014831	30630	135003572	+	chr11	135127769	237734	135125271
NA19043#1#CM087051.1	132837626	97901	132825584	+	chr12	133324548	96383	133322680
NA19043#1#CM087053.1	83742106	110515	83583627	+	chr17	84276897	95437	84110797
NA19043#1#CM087054.1	78787045	11128	78777324	+	chr18	80542538	163967	80538991
NA19043#1#CM087055.1	66238735	6898	66214158	+	chr20	66210255	2628	66196287
NA19043#1#JBHDVS010000008.1	191007130	14621	191007130	+	chr4	193574945	2969	193535577
NA19043#1#JBHDVS010000020.1	88108828	0	87987074	+	chr16	96330374	11483	96273941
NA19043#1#JBHDVS010000043.1	57792487	6733	57792487	+	chr19	61707364	2701	58809408
NA19043#1#JBHDVS010000049.1	92637483	172589	92550128	+	chr15	99753195	4846516	99677431
