#sample	chromosome	dataset_name0	dataset_name1	file_name0	file_name1	intersection_blocks	covered_variants	all_assessed_pairs	all_switches	all_switch_rate	all_switchflips	all_switchflip_rate	blockwise_hamming	blockwise_hamming_rate	blockwise_diff_genotypes	blockwise_diff_genotypes_rate	largestblock_assessed_pairs	largestblock_switches	largestblock_switch_rate	largestblock_switchflips	largestblock_switchflip_rate	largestblock_hamming	largestblock_hamming_rate	largestblock_diff_genotypes	largestblock_diff_genotypes_rate	het_variants0	only_snvs
SAMPLE	chr1	giab	assembly	assembly/qc/phased_hprc/NA18747/giab.filtered.vcf.gz	assembly/qc/phased_hprc/NA18747/assembly.filtered.vcf.gz	1	24714	24713	1549	0.06267956136446405	923/313	0.05001416258649294	12315	0.4983005583879582	0	0.0	24713	1549	0.06267956136446405	923/313	0.05001416258649294	12315	0.4983005583879582	0	0.0	117011	0
SAMPLE	chr10	giab	assembly	assembly/qc/phased_hprc/NA18747/giab.filtered.vcf.gz	assembly/qc/phased_hprc/NA18747/assembly.filtered.vcf.gz	1	17980	17979	1142	0.06351854941876633	658/242	0.050058401468379775	8988	0.49988876529477194	0	0.0	17979	1142	0.06351854941876633	658/242	0.050058401468379775	8988	0.49988876529477194	0	0.0	73570	0
SAMPLE	chr11	giab	assembly	assembly/qc/phased_hprc/NA18747/giab.filtered.vcf.gz	assembly/qc/phased_hprc/NA18747/assembly.filtered.vcf.gz	1	16093	16092	956	0.05940840169028089	568/194	0.04735272184936615	7497	0.4658547194432362	0	0.0	16092	956	0.05940840169028089	568/194	0.04735272184936615	7497	0.4658547194432362	0	0.0	68555	0
SAMPLE	chr12	giab	assembly	assembly/qc/phased_hprc/NA18747/giab.filtered.vcf.gz	assembly/qc/phased_hprc/NA18747/assembly.filtered.vcf.gz	1	14250	14249	1020	0.07158397080496877	578/221	0.056074110463892206	6639	0.46589473684210525	0	0.0	14249	1020	0.07158397080496877	578/221	0.056074110463892206	6639	0.46589473684210525	0	0.0	67534	0
SAMPLE	chr13	giab	assembly	assembly/qc/phased_hprc/NA18747/giab.filtered.vcf.gz	assembly/qc/phased_hprc/NA18747/assembly.filtered.vcf.gz	1	13684	13683	747	0.05459329094496821	453/147	0.04385003288752467	6298	0.46024554223911135	0	0.0	13683	747	0.05459329094496821	453/147	0.04385003288752467	6298	0.46024554223911135	0	0.0	54825	0
SAMPLE	chr14	giab	assembly	assembly/qc/phased_hprc/NA18747/giab.filtered.vcf.gz	assembly/qc/phased_hprc/NA18747/assembly.filtered.vcf.gz	1	11265	11264	717	0.06365411931818182	417/150	0.050337357954545456	5558	0.4933865956502441	0	0.0	11264	717	0.06365411931818182	417/150	0.050337357954545456	5558	0.4933865956502441	0	0.0	70402	0
SAMPLE	chr15	giab	assembly	assembly/qc/phased_hprc/NA18747/giab.filtered.vcf.gz	assembly/qc/phased_hprc/NA18747/assembly.filtered.vcf.gz	1	9942	9941	757	0.07614928075646313	423/167	0.05935016597927774	4879	0.4907463287064977	0	0.0	9941	757	0.07614928075646313	423/167	0.05935016597927774	4879	0.4907463287064977	0	0.0	71079	0
SAMPLE	chr16	giab	assembly	assembly/qc/phased_hprc/NA18747/giab.filtered.vcf.gz	assembly/qc/phased_hprc/NA18747/assembly.filtered.vcf.gz	1	10361	10360	852	0.08223938223938224	494/179	0.06496138996138996	4585	0.442524852813435	0	0.0	10360	852	0.08223938223938224	494/179	0.06496138996138996	4585	0.442524852813435	0	0.0	51517	0
SAMPLE	chr17	giab	assembly	assembly/qc/phased_hprc/NA18747/giab.filtered.vcf.gz	assembly/qc/phased_hprc/NA18747/assembly.filtered.vcf.gz	1	8532	8531	680	0.07970929551049115	408/136	0.06376743640839291	4044	0.4739803094233474	0	0.0	8531	680	0.07970929551049115	408/136	0.06376743640839291	4044	0.4739803094233474	0	0.0	44003	0
SAMPLE	chr18	giab	assembly	assembly/qc/phased_hprc/NA18747/giab.filtered.vcf.gz	assembly/qc/phased_hprc/NA18747/assembly.filtered.vcf.gz	1	10167	10166	676	0.06649616368286446	412/132	0.05351170568561873	4945	0.4863774958198092	0	0.0	10166	676	0.06649616368286446	412/132	0.05351170568561873	4945	0.4863774958198092	0	0.0	44031	0
