#sample	chromosome	phase_set	from	to	variants
syndip	chr1	0	3455	248384157	253919
syndip	chr2	0	3155	242693993	237834
syndip	chr3	0	3498	201100844	220720
syndip	chr4	0	2788	193523837	212872
syndip	chr5	0	2216	182042899	192774
syndip	chr6	0	6389	172122209	200951
syndip	chr7	0	3633	160565530	196122
syndip	chrX	0	667008	154257163	112696
syndip	chr9	0	3514	150615006	171515
syndip	chr8	0	3641	146257152	157714
syndip	chr11	0	1347	135121418	179285
syndip	chr10	0	2536	134737852	153744
syndip	chr12	0	4456	133311996	147870
syndip	chr13	0	2898022	113557685	116686
syndip	chr14	0	634463	101161340	136991
syndip	chr15	0	3930	99749261	167743
syndip	chr16	0	3460	96327457	111679
syndip	chr17	0	2852	84272854	104764
syndip	chr18	0	164177	80538855	94207
syndip	chr20	0	2716	66206374	96274
syndip	chr19	0	2016	61700140	105925
syndip	chr22	0	4431	51313522	102633
syndip	chr21	0	2900	45086161	69348
