metric	value	haplotype	asm_method	asm_name	source	chromosome
Number of mapped sequences	539	haplotype1	phased_verkko	TUE_02_01UL	stat	NA
Number of primary alignments	13130	haplotype1	phased_verkko	TUE_02_01UL	stat	NA
Number of secondary alignments	4329	haplotype1	phased_verkko	TUE_02_01UL	stat	NA
Number of primary alignments with >65535 CIGAR operations	0	haplotype1	phased_verkko	TUE_02_01UL	stat	NA
Number of bases in mapped sequences	2907174214	haplotype1	phased_verkko	TUE_02_01UL	stat	NA
Number of mapped bases	2877072421	haplotype1	phased_verkko	TUE_02_01UL	stat	NA
Number of substitutions	3921320	haplotype1	phased_verkko	TUE_02_01UL	stat	NA
Number of insertions in [0,50)	370666	haplotype1	phased_verkko	TUE_02_01UL	stat	NA
Number of insertions in [50,100)	3487	haplotype1	phased_verkko	TUE_02_01UL	stat	NA
Number of insertions in [100,300)	2956	haplotype1	phased_verkko	TUE_02_01UL	stat	NA
Number of insertions in [300,400)	2143	haplotype1	phased_verkko	TUE_02_01UL	stat	NA
Number of insertions in [400,1000)	1763	haplotype1	phased_verkko	TUE_02_01UL	stat	NA
Number of insertions in [1000,inf)	2455	haplotype1	phased_verkko	TUE_02_01UL	stat	NA
Number of deletions in [0,50)	404498	haplotype1	phased_verkko	TUE_02_01UL	stat	NA
Number of deletions in [50,100)	3525	haplotype1	phased_verkko	TUE_02_01UL	stat	NA
Number of deletions in [100,300)	2976	haplotype1	phased_verkko	TUE_02_01UL	stat	NA
Number of deletions in [300,400)	2002	haplotype1	phased_verkko	TUE_02_01UL	stat	NA
Number of deletions in [400,1000)	2099	haplotype1	phased_verkko	TUE_02_01UL	stat	NA
Number of deletions in [1000,inf)	2177	haplotype1	phased_verkko	TUE_02_01UL	stat	NA
Number of mapped sequences	682	haplotype2	phased_verkko	TUE_02_01UL	stat	NA
Number of primary alignments	11519	haplotype2	phased_verkko	TUE_02_01UL	stat	NA
Number of secondary alignments	4516	haplotype2	phased_verkko	TUE_02_01UL	stat	NA
Number of primary alignments with >65535 CIGAR operations	0	haplotype2	phased_verkko	TUE_02_01UL	stat	NA
Number of bases in mapped sequences	3032568553	haplotype2	phased_verkko	TUE_02_01UL	stat	NA
Number of mapped bases	3006736886	haplotype2	phased_verkko	TUE_02_01UL	stat	NA
Number of substitutions	3762004	haplotype2	phased_verkko	TUE_02_01UL	stat	NA
Number of insertions in [0,50)	379500	haplotype2	phased_verkko	TUE_02_01UL	stat	NA
Number of insertions in [50,100)	3455	haplotype2	phased_verkko	TUE_02_01UL	stat	NA
Number of insertions in [100,300)	4285	haplotype2	phased_verkko	TUE_02_01UL	stat	NA
Number of insertions in [300,400)	1906	haplotype2	phased_verkko	TUE_02_01UL	stat	NA
Number of insertions in [400,1000)	1573	haplotype2	phased_verkko	TUE_02_01UL	stat	NA
Number of insertions in [1000,inf)	2299	haplotype2	phased_verkko	TUE_02_01UL	stat	NA
Number of deletions in [0,50)	417617	haplotype2	phased_verkko	TUE_02_01UL	stat	NA
Number of deletions in [50,100)	3311	haplotype2	phased_verkko	TUE_02_01UL	stat	NA
Number of deletions in [100,300)	3019	haplotype2	phased_verkko	TUE_02_01UL	stat	NA
Number of deletions in [300,400)	1969	haplotype2	phased_verkko	TUE_02_01UL	stat	NA
Number of deletions in [400,1000)	1931	haplotype2	phased_verkko	TUE_02_01UL	stat	NA
Number of deletions in [1000,inf)	2269	haplotype2	phased_verkko	TUE_02_01UL	stat	NA
Number of mapped sequences	83	haplotype1	phased_verkko	TUE_02_02UL	stat	NA
Number of primary alignments	13201	haplotype1	phased_verkko	TUE_02_02UL	stat	NA
Number of secondary alignments	1662	haplotype1	phased_verkko	TUE_02_02UL	stat	NA
Number of primary alignments with >65535 CIGAR operations	0	haplotype1	phased_verkko	TUE_02_02UL	stat	NA
Number of bases in mapped sequences	2932836912	haplotype1	phased_verkko	TUE_02_02UL	stat	NA
Number of mapped bases	2905653858	haplotype1	phased_verkko	TUE_02_02UL	stat	NA
Number of substitutions	4049756	haplotype1	phased_verkko	TUE_02_02UL	stat	NA
Number of insertions in [0,50)	354917	haplotype1	phased_verkko	TUE_02_02UL	stat	NA
Number of insertions in [50,100)	3424	haplotype1	phased_verkko	TUE_02_02UL	stat	NA
Number of insertions in [100,300)	3486	haplotype1	phased_verkko	TUE_02_02UL	stat	NA
Number of insertions in [300,400)	2003	haplotype1	phased_verkko	TUE_02_02UL	stat	NA
Number of insertions in [400,1000)	1623	haplotype1	phased_verkko	TUE_02_02UL	stat	NA
Number of insertions in [1000,inf)	2536	haplotype1	phased_verkko	TUE_02_02UL	stat	NA
Number of deletions in [0,50)	409647	haplotype1	phased_verkko	TUE_02_02UL	stat	NA
Number of deletions in [50,100)	3505	haplotype1	phased_verkko	TUE_02_02UL	stat	NA
Number of deletions in [100,300)	3169	haplotype1	phased_verkko	TUE_02_02UL	stat	NA
Number of deletions in [300,400)	2019	haplotype1	phased_verkko	TUE_02_02UL	stat	NA
Number of deletions in [400,1000)	1943	haplotype1	phased_verkko	TUE_02_02UL	stat	NA
Number of deletions in [1000,inf)	2466	haplotype1	phased_verkko	TUE_02_02UL	stat	NA
Number of mapped sequences	158	haplotype2	phased_verkko	TUE_02_02UL	stat	NA
Number of primary alignments	14098	haplotype2	phased_verkko	TUE_02_02UL	stat	NA
Number of secondary alignments	3456	haplotype2	phased_verkko	TUE_02_02UL	stat	NA
Number of primary alignments with >65535 CIGAR operations	0	haplotype2	phased_verkko	TUE_02_02UL	stat	NA
Number of bases in mapped sequences	3052770571	haplotype2	phased_verkko	TUE_02_02UL	stat	NA
Number of mapped bases	3024463753	haplotype2	phased_verkko	TUE_02_02UL	stat	NA
Number of substitutions	4123650	haplotype2	phased_verkko	TUE_02_02UL	stat	NA
Number of insertions in [0,50)	358683	haplotype2	phased_verkko	TUE_02_02UL	stat	NA
Number of insertions in [50,100)	3591	haplotype2	phased_verkko	TUE_02_02UL	stat	NA
Number of insertions in [100,300)	4019	haplotype2	phased_verkko	TUE_02_02UL	stat	NA
Number of insertions in [300,400)	2469	haplotype2	phased_verkko	TUE_02_02UL	stat	NA
Number of insertions in [400,1000)	2004	haplotype2	phased_verkko	TUE_02_02UL	stat	NA
Number of insertions in [1000,inf)	2437	haplotype2	phased_verkko	TUE_02_02UL	stat	NA
Number of deletions in [0,50)	413518	haplotype2	phased_verkko	TUE_02_02UL	stat	NA
Number of deletions in [50,100)	3522	haplotype2	phased_verkko	TUE_02_02UL	stat	NA
Number of deletions in [100,300)	3469	haplotype2	phased_verkko	TUE_02_02UL	stat	NA
Number of deletions in [300,400)	2320	haplotype2	phased_verkko	TUE_02_02UL	stat	NA
Number of deletions in [400,1000)	2776	haplotype2	phased_verkko	TUE_02_02UL	stat	NA
Number of deletions in [1000,inf)	2275	haplotype2	phased_verkko	TUE_02_02UL	stat	NA
Number of mapped sequences	60	haplotype1	phased_verkko	TUE_02_03UL	stat	NA
Number of primary alignments	12682	haplotype1	phased_verkko	TUE_02_03UL	stat	NA
Number of secondary alignments	1420	haplotype1	phased_verkko	TUE_02_03UL	stat	NA
Number of primary alignments with >65535 CIGAR operations	0	haplotype1	phased_verkko	TUE_02_03UL	stat	NA
Number of bases in mapped sequences	2934985356	haplotype1	phased_verkko	TUE_02_03UL	stat	NA
Number of mapped bases	2906783422	haplotype1	phased_verkko	TUE_02_03UL	stat	NA
Number of substitutions	4025732	haplotype1	phased_verkko	TUE_02_03UL	stat	NA
Number of insertions in [0,50)	348579	haplotype1	phased_verkko	TUE_02_03UL	stat	NA
Number of insertions in [50,100)	3404	haplotype1	phased_verkko	TUE_02_03UL	stat	NA
Number of insertions in [100,300)	3970	haplotype1	phased_verkko	TUE_02_03UL	stat	NA
Number of insertions in [300,400)	2047	haplotype1	phased_verkko	TUE_02_03UL	stat	NA
Number of insertions in [400,1000)	1564	haplotype1	phased_verkko	TUE_02_03UL	stat	NA
Number of insertions in [1000,inf)	2675	haplotype1	phased_verkko	TUE_02_03UL	stat	NA
Number of deletions in [0,50)	406754	haplotype1	phased_verkko	TUE_02_03UL	stat	NA
Number of deletions in [50,100)	3455	haplotype1	phased_verkko	TUE_02_03UL	stat	NA
Number of deletions in [100,300)	3051	haplotype1	phased_verkko	TUE_02_03UL	stat	NA
Number of deletions in [300,400)	1974	haplotype1	phased_verkko	TUE_02_03UL	stat	NA
Number of deletions in [400,1000)	1959	haplotype1	phased_verkko	TUE_02_03UL	stat	NA
Number of deletions in [1000,inf)	2450	haplotype1	phased_verkko	TUE_02_03UL	stat	NA
Number of mapped sequences	52	haplotype2	phased_verkko	TUE_02_03UL	stat	NA
Number of primary alignments	13317	haplotype2	phased_verkko	TUE_02_03UL	stat	NA
Number of secondary alignments	1306	haplotype2	phased_verkko	TUE_02_03UL	stat	NA
Number of primary alignments with >65535 CIGAR operations	0	haplotype2	phased_verkko	TUE_02_03UL	stat	NA
Number of bases in mapped sequences	3028541959	haplotype2	phased_verkko	TUE_02_03UL	stat	NA
Number of mapped bases	3004788631	haplotype2	phased_verkko	TUE_02_03UL	stat	NA
Number of substitutions	3944125	haplotype2	phased_verkko	TUE_02_03UL	stat	NA
Number of insertions in [0,50)	351589	haplotype2	phased_verkko	TUE_02_03UL	stat	NA
Number of insertions in [50,100)	3437	haplotype2	phased_verkko	TUE_02_03UL	stat	NA
Number of insertions in [100,300)	3067	haplotype2	phased_verkko	TUE_02_03UL	stat	NA
Number of insertions in [300,400)	1942	haplotype2	phased_verkko	TUE_02_03UL	stat	NA
Number of insertions in [400,1000)	1709	haplotype2	phased_verkko	TUE_02_03UL	stat	NA
Number of insertions in [1000,inf)	2131	haplotype2	phased_verkko	TUE_02_03UL	stat	NA
Number of deletions in [0,50)	410272	haplotype2	phased_verkko	TUE_02_03UL	stat	NA
Number of deletions in [50,100)	3440	haplotype2	phased_verkko	TUE_02_03UL	stat	NA
Number of deletions in [100,300)	3578	haplotype2	phased_verkko	TUE_02_03UL	stat	NA
Number of deletions in [300,400)	2074	haplotype2	phased_verkko	TUE_02_03UL	stat	NA
Number of deletions in [400,1000)	2346	haplotype2	phased_verkko	TUE_02_03UL	stat	NA
Number of deletions in [1000,inf)	2138	haplotype2	phased_verkko	TUE_02_03UL	stat	NA
Number of mapped sequences	38	haplotype1	phased_verkko	TUE_02_04UL	stat	NA
Number of primary alignments	13781	haplotype1	phased_verkko	TUE_02_04UL	stat	NA
Number of secondary alignments	1308	haplotype1	phased_verkko	TUE_02_04UL	stat	NA
Number of primary alignments with >65535 CIGAR operations	0	haplotype1	phased_verkko	TUE_02_04UL	stat	NA
Number of bases in mapped sequences	2930290900	haplotype1	phased_verkko	TUE_02_04UL	stat	NA
Number of mapped bases	2901274465	haplotype1	phased_verkko	TUE_02_04UL	stat	NA
Number of substitutions	4217394	haplotype1	phased_verkko	TUE_02_04UL	stat	NA
Number of insertions in [0,50)	344875	haplotype1	phased_verkko	TUE_02_04UL	stat	NA
Number of insertions in [50,100)	3555	haplotype1	phased_verkko	TUE_02_04UL	stat	NA
Number of insertions in [100,300)	3081	haplotype1	phased_verkko	TUE_02_04UL	stat	NA
Number of insertions in [300,400)	2021	haplotype1	phased_verkko	TUE_02_04UL	stat	NA
Number of insertions in [400,1000)	1656	haplotype1	phased_verkko	TUE_02_04UL	stat	NA
Number of insertions in [1000,inf)	2583	haplotype1	phased_verkko	TUE_02_04UL	stat	NA
Number of deletions in [0,50)	406241	haplotype1	phased_verkko	TUE_02_04UL	stat	NA
Number of deletions in [50,100)	3588	haplotype1	phased_verkko	TUE_02_04UL	stat	NA
Number of deletions in [100,300)	3580	haplotype1	phased_verkko	TUE_02_04UL	stat	NA
Number of deletions in [300,400)	1945	haplotype1	phased_verkko	TUE_02_04UL	stat	NA
Number of deletions in [400,1000)	2271	haplotype1	phased_verkko	TUE_02_04UL	stat	NA
Number of deletions in [1000,inf)	2286	haplotype1	phased_verkko	TUE_02_04UL	stat	NA
Number of mapped sequences	31	haplotype2	phased_verkko	TUE_02_04UL	stat	NA
Number of primary alignments	11635	haplotype2	phased_verkko	TUE_02_04UL	stat	NA
Number of secondary alignments	893	haplotype2	phased_verkko	TUE_02_04UL	stat	NA
Number of primary alignments with >65535 CIGAR operations	0	haplotype2	phased_verkko	TUE_02_04UL	stat	NA
Number of bases in mapped sequences	3028053290	haplotype2	phased_verkko	TUE_02_04UL	stat	NA
Number of mapped bases	3003029658	haplotype2	phased_verkko	TUE_02_04UL	stat	NA
Number of substitutions	3706845	haplotype2	phased_verkko	TUE_02_04UL	stat	NA
Number of insertions in [0,50)	341093	haplotype2	phased_verkko	TUE_02_04UL	stat	NA
Number of insertions in [50,100)	3351	haplotype2	phased_verkko	TUE_02_04UL	stat	NA
Number of insertions in [100,300)	3886	haplotype2	phased_verkko	TUE_02_04UL	stat	NA
Number of insertions in [300,400)	1886	haplotype2	phased_verkko	TUE_02_04UL	stat	NA
Number of insertions in [400,1000)	1574	haplotype2	phased_verkko	TUE_02_04UL	stat	NA
Number of insertions in [1000,inf)	2283	haplotype2	phased_verkko	TUE_02_04UL	stat	NA
Number of deletions in [0,50)	404149	haplotype2	phased_verkko	TUE_02_04UL	stat	NA
Number of deletions in [50,100)	3346	haplotype2	phased_verkko	TUE_02_04UL	stat	NA
Number of deletions in [100,300)	3099	haplotype2	phased_verkko	TUE_02_04UL	stat	NA
Number of deletions in [300,400)	1996	haplotype2	phased_verkko	TUE_02_04UL	stat	NA
Number of deletions in [400,1000)	1999	haplotype2	phased_verkko	TUE_02_04UL	stat	NA
Number of deletions in [1000,inf)	2239	haplotype2	phased_verkko	TUE_02_04UL	stat	NA
Number of mapped sequences	43	haplotype1	phased_verkko	TUE_02_05UL	stat	NA
Number of primary alignments	12821	haplotype1	phased_verkko	TUE_02_05UL	stat	NA
Number of secondary alignments	1356	haplotype1	phased_verkko	TUE_02_05UL	stat	NA
Number of primary alignments with >65535 CIGAR operations	0	haplotype1	phased_verkko	TUE_02_05UL	stat	NA
Number of bases in mapped sequences	2932576457	haplotype1	phased_verkko	TUE_02_05UL	stat	NA
Number of mapped bases	2904262602	haplotype1	phased_verkko	TUE_02_05UL	stat	NA
Number of substitutions	4102979	haplotype1	phased_verkko	TUE_02_05UL	stat	NA
Number of insertions in [0,50)	342628	haplotype1	phased_verkko	TUE_02_05UL	stat	NA
Number of insertions in [50,100)	3538	haplotype1	phased_verkko	TUE_02_05UL	stat	NA
Number of insertions in [100,300)	4056	haplotype1	phased_verkko	TUE_02_05UL	stat	NA
Number of insertions in [300,400)	1933	haplotype1	phased_verkko	TUE_02_05UL	stat	NA
Number of insertions in [400,1000)	1572	haplotype1	phased_verkko	TUE_02_05UL	stat	NA
Number of insertions in [1000,inf)	2701	haplotype1	phased_verkko	TUE_02_05UL	stat	NA
Number of deletions in [0,50)	407464	haplotype1	phased_verkko	TUE_02_05UL	stat	NA
Number of deletions in [50,100)	3398	haplotype1	phased_verkko	TUE_02_05UL	stat	NA
Number of deletions in [100,300)	3292	haplotype1	phased_verkko	TUE_02_05UL	stat	NA
Number of deletions in [300,400)	1995	haplotype1	phased_verkko	TUE_02_05UL	stat	NA
Number of deletions in [400,1000)	2108	haplotype1	phased_verkko	TUE_02_05UL	stat	NA
Number of deletions in [1000,inf)	2618	haplotype1	phased_verkko	TUE_02_05UL	stat	NA
Number of mapped sequences	34	haplotype2	phased_verkko	TUE_02_05UL	stat	NA
Number of primary alignments	12333	haplotype2	phased_verkko	TUE_02_05UL	stat	NA
Number of secondary alignments	970	haplotype2	phased_verkko	TUE_02_05UL	stat	NA
Number of primary alignments with >65535 CIGAR operations	0	haplotype2	phased_verkko	TUE_02_05UL	stat	NA
Number of bases in mapped sequences	3023845526	haplotype2	phased_verkko	TUE_02_05UL	stat	NA
Number of mapped bases	2999376760	haplotype2	phased_verkko	TUE_02_05UL	stat	NA
Number of substitutions	3828285	haplotype2	phased_verkko	TUE_02_05UL	stat	NA
Number of insertions in [0,50)	337875	haplotype2	phased_verkko	TUE_02_05UL	stat	NA
Number of insertions in [50,100)	3352	haplotype2	phased_verkko	TUE_02_05UL	stat	NA
Number of insertions in [100,300)	2856	haplotype2	phased_verkko	TUE_02_05UL	stat	NA
Number of insertions in [300,400)	1910	haplotype2	phased_verkko	TUE_02_05UL	stat	NA
Number of insertions in [400,1000)	1636	haplotype2	phased_verkko	TUE_02_05UL	stat	NA
Number of insertions in [1000,inf)	2116	haplotype2	phased_verkko	TUE_02_05UL	stat	NA
Number of deletions in [0,50)	403266	haplotype2	phased_verkko	TUE_02_05UL	stat	NA
Number of deletions in [50,100)	3510	haplotype2	phased_verkko	TUE_02_05UL	stat	NA
Number of deletions in [100,300)	3254	haplotype2	phased_verkko	TUE_02_05UL	stat	NA
Number of deletions in [300,400)	1929	haplotype2	phased_verkko	TUE_02_05UL	stat	NA
Number of deletions in [400,1000)	2126	haplotype2	phased_verkko	TUE_02_05UL	stat	NA
Number of deletions in [1000,inf)	1941	haplotype2	phased_verkko	TUE_02_05UL	stat	NA
