#sample	chromosome	file_name	variants	phased	unphased	singletons	blocks	variant_per_block_median	variant_per_block_avg	variant_per_block_min	variant_per_block_max	variant_per_block_sum	bp_per_block_median	bp_per_block_avg	bp_per_block_min	bp_per_block_max	bp_per_block_sum	heterozygous_variants	heterozygous_snvs	phased_snvs	phased_fraction	phased_snvs_fraction	block_n50
syndip	chr1	assembly/variants/T2T00_hifiasm_herro/phased_hifiasm/small_variants.dip.vcf.gz	377612	240783	28291	0	1	240783	240783.0	240783	240783	240783	248380941	248380941.0	248380941	248380941	248380941	269074	224587	199437	0.894857920126062	0.8880166705998122	248380941
syndip	chr2	assembly/variants/T2T00_hifiasm_herro/phased_hifiasm/small_variants.dip.vcf.gz	353271	237775	580	0	1	237775	237775.0	237775	237775	237775	242690667	242690667.0	242690667	242690667	242690667	238355	197295	196773	0.9975666547796355	0.9973542157682658	242690667
syndip	chr3	assembly/variants/T2T00_hifiasm_herro/phased_hifiasm/small_variants.dip.vcf.gz	305275	206553	0	0	1	206553	206553.0	206553	206553	206553	201098883	201098883.0	201098883	201098883	201098883	206553	173761	173761	1.0	1.0	201098883
syndip	chr4	assembly/variants/T2T00_hifiasm_herro/phased_hifiasm/small_variants.dip.vcf.gz	330044	221745	4950	0	1	221745	221745.0	221745	221745	221745	193487794	193487794.0	193487794	193487794	193487794	226695	191898	187486	0.9781644941441143	0.9770086191622633	193487794
syndip	chr5	assembly/variants/T2T00_hifiasm_herro/phased_hifiasm/small_variants.dip.vcf.gz	269792	183122	1	0	1	183122	183122.0	183122	183122	183122	182042449	182042449.0	182042449	182042449	182042449	183123	153319	153318	0.9999945391895065	0.9999934776511717	182042449
syndip	chr6	assembly/variants/T2T00_hifiasm_herro/phased_hifiasm/small_variants.dip.vcf.gz	301149	204350	752	0	1	204350	204350.0	204350	204350	204350	172115959	172115959.0	172115959	172115959	172115959	205102	174216	173536	0.996333531608663	0.9960967993754879	172115959
syndip	chr7	assembly/variants/T2T00_hifiasm_herro/phased_hifiasm/small_variants.dip.vcf.gz	285616	192224	231	0	1	192224	192224.0	192224	192224	192224	160561789	160561789.0	160561789	160561789	160561789	192455	161677	161478	0.9987997194149282	0.9987691508377815	160561789
syndip	chrX	assembly/variants/T2T00_hifiasm_herro/phased_hifiasm/small_variants.dip.vcf.gz	129078	128607	1	0	1	128607	128607.0	128607	128607	128607	154251204	154251204.0	154251204	154251204	154251204	128608	100100	100099	0.9999922244339388	0.99999000999001	154251204
syndip	chr9	assembly/variants/T2T00_hifiasm_herro/phased_hifiasm/small_variants.dip.vcf.gz	231906	157058	3071	0	1	157058	157058.0	157058	157058	157058	150610674	150610674.0	150610674	150610674	150610674	160129	129010	126279	0.9808217124943015	0.9788310983644679	150610674
syndip	chr8	assembly/variants/T2T00_hifiasm_herro/phased_hifiasm/small_variants.dip.vcf.gz	238135	150507	1376	0	1	150507	150507.0	150507	150507	150507	146240505	146240505.0	146240505	146240505	146240505	151883	128371	127095	0.9909403949092394	0.9900600602939916	146240505
