#sample	chromosome	phase_set	from	to	variants
syndip	chr1	0	1161873	247679458	97323
syndip	chr2	0	6396436	242286562	107621
syndip	chr3	0	2645	201088840	107236
syndip	chr4	0	412096	193407228	88540
syndip	chr5	0	2216	182032744	77328
syndip	chr6	0	280959	172122209	120037
syndip	chr7	0	3478	153692343	108002
syndip	chrX	0	171172	153166333	34624
syndip	chr9	0	3514	150614580	87851
syndip	chr8	0	2059	145282024	107897
syndip	chr11	0	76207	135125311	84183
syndip	chr10	0	725517	134221414	72368
syndip	chr12	0	2990	133313835	75333
syndip	chr13	0	5341473	113471344	62632
syndip	chr14	0	6029	100258923	69032
syndip	chr15	0	1503120	99664609	55404
syndip	chr16	0	703094	95964496	59411
syndip	chr17	0	2852	84273669	32459
syndip	chr18	0	2782052	80539437	28776
syndip	chr20	0	2508	66207568	39756
syndip	chr19	0	1941	61505650	54823
syndip	chr22	0	4599	51322042	48248
syndip	chr21	0	228963	44661882	26138
