Chromosome	Origin_HP1	Origin_HP2	PofO_Assignment_Score	NormalizedNum_Differentially_Methylated_CGs_Supported_PofO_Assignment	NormalizedNum_Differentially_Methylated_CGs_Conflicted_PofO_Assignment	Num_Differentially_Methylated_CGs_Supported_PofO_Assignment	Num_Differentially_Methylated_CGs_Conflicted_PofO_Assignment	Num_iDMRs_Supported_PofO_Assignment	Num_iDMRs_Conflicted_PofO_Assignment	Num_All_Differentially_Methylated_CGs_At_Supporting_iDMRs	Num_All_Differentially_Methylated_CGs_At_Conflicting_iDMRs	Num_All_CGs_CouldBeExaminedInBothHaplotypes_At_Supporting_iDMRs	Num_All_CGs_CouldBeExaminedInBothHaplotypes_At_Conflicting_iDMRs
chr1	Paternal	Maternal	1.0	104.97705	0	153	0	3	0	153	0	163	0
chr10	Paternal	Maternal	1.0	90.66468	0	172	0	4	0	172	0	195	0
chr11	Paternal	Maternal	1.0	446.73686999999995	0	604	0	5	0	604	0	665	0
chr12	Paternal	Maternal	0.98731	65.35031	0.8401799999999999	129	3	2	1	129	3	158	13
chr13	Paternal	Maternal	0.99779	267.08145	0.59062	310	2	5	0	312	0	372	0
chr14	Maternal	Paternal	1.0	263.05573	0	411	0	7	0	411	0	562	0
chr15	Maternal	Paternal	0.99246	867.2671899999999	6.59154	1582	18	27	0	1600	0	2589	0
chr16	Maternal	Paternal	0.99679	263.55347	0.8477	406	2	6	0	408	0	549	0
chr17	Maternal	Paternal	1.0	49.72608	0	64	0	1	0	64	0	139	0
chr18	Maternal	Paternal	1.0	117.04405	0	181	0	3	0	181	0	232	0
chr19	Maternal	Paternal	1.0	496.04068	0	632	0	9	0	632	0	733	0
chr2	Maternal	Paternal	0.96202	294.06507	11.61043	468	43	4	1	468	43	614	54
chr20	Maternal	Paternal	0.99961	920.14833	0.3628	1144	1	9	0	1145	0	1351	0
chr21	Maternal	Paternal	1.0	57.44926	0	94	0	2	0	94	0	112	0
chr22	Maternal	Paternal	0.97652	80.79082	1.94247	101	9	2	1	101	9	104	64
chr3	Paternal	Maternal	1.0	57.65863	0	83	0	2	0	83	0	84	0
chr4	Maternal	Paternal	1.0	241.11914000000002	0	340	0	6	0	340	0	348	0
chr5	Maternal	Paternal	1.0	147.99133	0	231	0	4	0	231	0	235	0
chr6	Maternal	Paternal	1.0	331.47028	0	423	0	5	0	423	0	470	0
chr7	Paternal	Maternal	0.99568	606.99075	2.6319500000000002	771	5	8	0	776	0	843	0
chr8	Maternal	Paternal	1.0	391.94756000000007	0	554	0	9	0	554	0	690	0
chr9	Maternal	Paternal	1.0	121.21780999999999	0	196	0	5	0	196	0	223	0
