File name::assembly/qc/phased_verkko/published_herro/T2T_contigs.haplotype1.paf, l.n::332
haplotype1-0000001	76708590	7536	76702951	+	chr18	80542538	164884	80539425
haplotype1-0000005	143608318	145931	143602123	+	chr8	146259331	2068	146253993
haplotype1-0000007	133574662	6206	133570055	-	chr11	135127769	1725	135124313
haplotype1-0000010	241635766	6769	241629724	-	chr2	242696752	3355	242693039
haplotype1-0000012	199402142	6176	199395370	-	chr3	201105948	3126	201101330
haplotype1-0000018	135305217	7799	135297828	+	chr10	134758134	3895	134672821
haplotype1-0000027	179421486	5467	179414243	-	chr5	182045439	3403	182043924
haplotype1-0000031	132459122	4321	132452706	-	chr12	133324548	3407	133322420
haplotype1-0000035	63892843	4175	63885964	+	chr20	66210255	2711	66207627
haplotype1-0000037	81018609	32131	81018262	+	chr17	84276897	33606	84269312
haplotype1-0000038	60057420	8370	60057103	-	chr19	61707364	106396	61703548
haplotype1-0000042	189902594	5400	189902238	+	chr4	193574945	3263	193490721
haplotype1-0000044	169969922	319	169865629	-	chr6	172126628	2882	172057121
