chrom	end_start	end_end	contig_name	contig_length	haplotype	end_side	nearest_gene_chrom	nearest_gene_start	nearest_gene_end	nearest_gene_name	distance
chr1	16336062	16336063	haplotype1-0000046	12203	haplotype1	left_end	chr1	16319772	16334879	LOC124904557	1184
chr1	16342601	16342602	haplotype1-0000031	22694	haplotype1	left_end	chr1	16319772	16334879	LOC124904557	7723
chr1	16348265	16348266	haplotype1-0000046	12203	haplotype1	right_end	chr1	16358552	16365915	MST1L	10287
chr1	16365251	16365252	haplotype1-0000031	22694	haplotype1	right_end	chr1	16358552	16365915	MST1L	0
chr1	35581274	35581275	unassigned-0000237	23350	unassigned	left_end	chr1	35131763	35285115	ZMYM4	296160
chr1	35604602	35604603	unassigned-0000237	23350	unassigned	right_end	chr1	35131763	35285115	ZMYM4	319488
chr1	35655831	35655832	unassigned-0000683	21468	unassigned	left_end	chr1	35131763	35285115	ZMYM4	370717
chr1	35677260	35677261	unassigned-0000683	21468	unassigned	right_end	chr1	35131763	35285115	ZMYM4	392146
chr1	51284398	51284399	unassigned-0000702	37876	unassigned	left_end	chr1	51116180	51153351	RNF11	131048
chr1	51299602	51299603	unassigned-0001016	36911	unassigned	left_end	chr1	51116180	51153351	RNF11	146252
chr1	51322255	51322256	unassigned-0000702	37876	unassigned	right_end	chr1	51116180	51153351	RNF11	168905
chr1	51336471	51336472	unassigned-0001016	36911	unassigned	right_end	chr1	51497015	51669512	OSBPL9	160544
chr1	111817030	111817031	unassigned-0000788	12878	unassigned	left_end	chr1	111394870	111395452	HIGD1AP12	421579
chr1	111829877	111829878	unassigned-0000788	12878	unassigned	right_end	chr1	111394870	111395452	HIGD1AP12	434426
chr1	117564738	117564739	unassigned-0000783	97635	unassigned	left_end	chr1	117785744	117788123	PNRC2P1	221006
chr1	117662359	117662360	unassigned-0000783	97635	unassigned	right_end	chr1	117785744	117788123	PNRC2P1	123385
chr1	145938221	145938222	unassigned-0000630	47829	unassigned	left_end	chr1	145898452	145979756	LOC124904395	0
chr1	145985999	145986000	unassigned-0000630	47829	unassigned	right_end	chr1	145898452	145979756	LOC124904395	6244
chr1	146526272	146526273	haplotype1-0000055	34822	haplotype1	left_end	chr1	146509817	146528098	LINC02806	0
chr1	146526272	146526273	haplotype1-0000055	34822	haplotype1	left_end	chr1	146526250	146535489	LINC01731	0
chr1	146544739	146544740	haplotype1-0000069	69024	haplotype1	left_end	chr1	146543793	146543950	RNVU1-22	790
chr1	146553259	146553260	haplotype1-0000070	20482	haplotype1	left_end	chr1	146560352	146599329	LOC101927468	7093
chr1	146561062	146561063	haplotype1-0000055	34822	haplotype1	right_end	chr1	146560352	146599329	LOC101927468	0
chr1	146573738	146573739	haplotype1-0000070	20482	haplotype1	right_end	chr1	146560352	146599329	LOC101927468	0
chr1	146613762	146613763	haplotype1-0000069	69024	haplotype1	right_end	chr1	146613583	146613706	RNA5SP57	57
