#sample	chromosome	file_name	variants	phased	unphased	singletons	blocks	variant_per_block_median	variant_per_block_avg	variant_per_block_min	variant_per_block_max	variant_per_block_sum	bp_per_block_median	bp_per_block_avg	bp_per_block_min	bp_per_block_max	bp_per_block_sum	heterozygous_variants	heterozygous_snvs	phased_snvs	phased_fraction	phased_snvs_fraction	block_n50
syndip	chr1	assembly/variants/T2TP02/phased_verkko/small_variants.dip.vcf.gz	358085	233838	793	0	1	233838	233838.0	233838	233838	233838	248380958	248380958.0	248380958	248380958	248380958	234631	194043	193318	0.9966202249489624	0.9962637147436393	248380958
syndip	chr2	assembly/variants/T2TP02/phased_verkko/small_variants.dip.vcf.gz	355620	231919	1	0	1	231919	231919.0	231919	231919	231919	242690616	242690616.0	242690616	242690616	242690616	231920	191747	191747	0.999995688168334	1.0	242690616
syndip	chr3	assembly/variants/T2TP02/phased_verkko/small_variants.dip.vcf.gz	317700	213758	666	0	1	213758	213758.0	213758	213758	213758	201079146	201079146.0	201079146	201079146	201079146	214424	180568	179931	0.9968940044024922	0.9964722431438572	201079146
syndip	chr4	assembly/variants/T2TP02/phased_verkko/small_variants.dip.vcf.gz	327619	215417	3231	0	1	215417	215417.0	215417	215417	215417	193498905	193498905.0	193498905	193498905	193498905	218648	184271	181154	0.9852228238996011	0.9830846959098285	193498905
syndip	chr5	assembly/variants/T2TP02/phased_verkko/small_variants.dip.vcf.gz	284024	194819	165	0	1	194819	194819.0	194819	194819	194819	182041896	182041896.0	182041896	182041896	182041896	194984	163203	163074	0.9991537767201412	0.999209573353431	182041896
syndip	chr6	assembly/variants/T2TP02/phased_verkko/small_variants.dip.vcf.gz	307650	198685	601	0	1	198685	198685.0	198685	198685	198685	172106733	172106733.0	172106733	172106733	172106733	199286	168387	167843	0.9969842337143603	0.9967693468023066	172106733
syndip	chr7	assembly/variants/T2TP02/phased_verkko/small_variants.dip.vcf.gz	296187	194521	2	0	1	194521	194521.0	194521	194521	194521	160562208	160562208.0	160562208	160562208	160562208	194523	163639	163637	0.9999897184394647	0.9999877779746882	160562208
syndip	chrX	assembly/variants/T2TP02/phased_verkko/small_variants.dip.vcf.gz	144705	114726	18449	0	1	114726	114726.0	114726	114726	114726	154069631	154069631.0	154069631	154069631	154069631	133175	107398	90481	0.8614679932419749	0.8424831002439525	154069631
syndip	chr9	assembly/variants/T2TP02/phased_verkko/small_variants.dip.vcf.gz	226088	148439	1834	0	1	148439	148439.0	148439	148439	148439	150611927	150611927.0	150611927	150611927	150611927	150273	122015	120563	0.9877955454406314	0.9880998237921567	150611927
syndip	chr8	assembly/variants/T2TP02/phased_verkko/small_variants.dip.vcf.gz	240520	161168	5	0	1	161168	161168.0	161168	161168	161168	146242586	146242586.0	146242586	146242586	146242586	161173	136087	136086	0.9999689774341857	0.9999926517595362	146242586
syndip	chr11	assembly/variants/T2TP02/phased_verkko/small_variants.dip.vcf.gz	278495	190796	434	0	1	190796	190796.0	190796	190796	190796	135122864	135122864.0	135122864	135122864	135122864	191230	167288	166866	0.9977304816189928	0.9974774042370045	135122864
syndip	chr10	assembly/variants/T2TP02/phased_verkko/small_variants.dip.vcf.gz	219978	147468	0	0	1	147468	147468.0	147468	147468	147468	134751561	134751561.0	134751561	134751561	134751561	147468	122055	122055	1.0	1.0	134751561
syndip	chr12	assembly/variants/T2TP02/phased_verkko/small_variants.dip.vcf.gz	208360	142947	0	0	1	142947	142947.0	142947	142947	142947	133308115	133308115.0	133308115	133308115	133308115	142947	118027	118027	1.0	1.0	133308115
syndip	chr13	assembly/variants/T2TP02/phased_verkko/small_variants.dip.vcf.gz	174649	119300	131	0	1	119300	119300.0	119300	119300	119300	113563208	113563208.0	113563208	113563208	113563208	119431	99224	99105	0.9989031323525718	0.9988006933806337	113563208
syndip	chr14	assembly/variants/T2TP02/phased_verkko/small_variants.dip.vcf.gz	223361	148705	15275	0	1	148705	148705.0	148705	148705	148705	101152904	101152904.0	101152904	101152904	101152904	163980	143122	128860	0.9068483961458714	0.9003507497100376	101152904
syndip	chr15	assembly/variants/T2TP02/phased_verkko/small_variants.dip.vcf.gz	224821	170738	5224	0	1	170738	170738.0	170738	170738	170738	99746930	99746930.0	99746930	99746930	99746930	175962	150979	146267	0.9703117718598334	0.9687903615734639	99746930
syndip	chr16	assembly/variants/T2TP02/phased_verkko/small_variants.dip.vcf.gz	179192	124758	0	0	1	124758	124758.0	124758	124758	124758	96323258	96323258.0	96323258	96323258	96323258	124758	107085	107085	1.0	1.0	96323258
syndip	chr17	assembly/variants/T2TP02/phased_verkko/small_variants.dip.vcf.gz	178459	123668	213	0	1	123668	123668.0	123668	123668	123668	84271368	84271368.0	84271368	84271368	84271368	123881	105450	105266	0.9982806080028415	0.9982550972024656	84271368
syndip	chr18	assembly/variants/T2TP02/phased_verkko/small_variants.dip.vcf.gz	137720	97066	5	0	1	97066	97066.0	97066	97066	97066	80374721	80374721.0	80374721	80374721	80374721	97071	82696	82691	0.9999484913104841	0.9999395375834381	80374721
syndip	chr20	assembly/variants/T2TP02/phased_verkko/small_variants.dip.vcf.gz	122932	88120	144	0	1	88120	88120.0	88120	88120	88120	66203678	66203678.0	66203678	66203678	66203678	88264	75625	75504	0.9983685307713224	0.9984	66203678
syndip	chr19	assembly/variants/T2TP02/phased_verkko/small_variants.dip.vcf.gz	128102	88811	327	0	1	88811	88811.0	88811	88811	88811	61699210	61699210.0	61699210	61699210	61699210	89138	73640	73321	0.9963315308846956	0.9956681151548071	61699210
syndip	chr22	assembly/variants/T2TP02/phased_verkko/small_variants.dip.vcf.gz	154500	114131	5302	0	1	114131	114131.0	114131	114131	114131	51318010	51318010.0	51318010	51318010	51318010	119433	105815	101194	0.9556069093131714	0.9563294428956197	51318010
syndip	chr21	assembly/variants/T2TP02/phased_verkko/small_variants.dip.vcf.gz	79593	58364	0	0	1	58364	58364.0	58364	58364	58364	45080328	45080328.0	45080328	45080328	45080328	58364	49086	49086	1.0	1.0	45080328
