contig	color	chromosome
haplotype1-0000001	#E69F00	chr1
haplotype1-0000002	#CCA0BF	chr18
haplotype1-0000003	#808080	chr21
haplotype1-0000004	#00A880	chr10
haplotype1-0000005	#009E73	chr3
haplotype1-0000006	#00B28C	chr17
haplotype1-0000007	#56B4E9	chr2
haplotype1-0000008	#666666	chr7
haplotype1-0000009	#808080	chr21
haplotype1-0000010	#E6B847	chr15
haplotype1-0000011	#8C564B	chrY
haplotype1-0000012	#D57533	chr13
haplotype1-0000013	#E6C47F	chr22
haplotype1-0000014	#338CC2	chr19
haplotype1-0000015	#E6AB23	chr8
haplotype1-0000016	#D58C66	chr20
haplotype1-0000017	#D57533	chr13
haplotype1-0000018	#737373	chr14
haplotype1-0000019	#CC8DB3	chr11
haplotype1-0000020	#1A7FBA	chr12
haplotype1-0000021	#0072B2	chr5
haplotype1-0000022	#CC79A7	chr4
haplotype1-0000023	#567DE9	chr16
haplotype1-0000024	#D55E00	chr6
haplotype1-0000025	#5699E9	chr9
haplotype1-0000026	#338CC2	chr19
haplotype1-0000027	#E69F00	chr1
haplotype1-0000028	#5699E9	chr9
haplotype1-0000029	#CC79A7	chr4
haplotype1-0000030	#5699E9	chr9
haplotype1-0000031	#5699E9	chr9
haplotype1-0000032	#5699E9	chr9
haplotype1-0000033	#5699E9	chr9
haplotype1-0000034	#5699E9	chr9
haplotype1-0000035	#5699E9	chr9
haplotype1-0000036	#E69F00	chr1
haplotype1-0000037	#E69F00	chr1
haplotype1-0000038	#9467BD	chrX
haplotype1-0000039	#009E73	chr3
haplotype1-0000040	#009E73	chr3
haplotype1-0000041	#CC79A7	chr4
haplotype1-0000042	#9467BD	chrX
haplotype1-0000043	#CC79A7	chr4
haplotype1-0000044	#CC8DB3	chr11
haplotype2-0000045	#E69F00	chr1
haplotype2-0000046	#D57533	chr13
haplotype2-0000047	#CCA0BF	chr18
haplotype2-0000048	#00A880	chr10
haplotype2-0000049	#009E73	chr3
haplotype2-0000050	#00B28C	chr17
haplotype2-0000051	#56B4E9	chr2
haplotype2-0000052	#666666	chr7
haplotype2-0000053	#E6B847	chr15
haplotype2-0000054	#E6C47F	chr22
haplotype2-0000055	#E69F00	chr1
haplotype2-0000056	#9467BD	chrX
haplotype2-0000057	#D58C66	chr20
haplotype2-0000058	#D58C66	chr20
haplotype2-0000059	#E6C47F	chr22
haplotype2-0000060	#E6AB23	chr8
haplotype2-0000061	#338CC2	chr19
haplotype2-0000062	#0072B2	chr5
haplotype2-0000063	#D55E00	chr6
haplotype2-0000064	#D57533	chr13
haplotype2-0000065	#737373	chr14
haplotype2-0000066	#CC8DB3	chr11
haplotype2-0000067	#1A7FBA	chr12
haplotype2-0000068	#CC79A7	chr4
haplotype2-0000069	#567DE9	chr16
haplotype2-0000070	#808080	chr21
haplotype2-0000071	#5699E9	chr9
haplotype2-0000072	#00B28C	chr17
haplotype2-0000073	#5699E9	chr9
haplotype2-0000074	#D58C66	chr20
haplotype2-0000075	#D57533	chr13
haplotype2-0000076	#737373	chr14
haplotype2-0000077	#737373	chr14
haplotype2-0000078	#737373	chr14
haplotype2-0000079	#737373	chr14
haplotype2-0000080	#E6B847	chr15
haplotype2-0000081	#E6B847	chr15
haplotype2-0000082	#E6B847	chr15
haplotype2-0000083	#808080	chr21
haplotype2-0000084	#D57533	chr13
haplotype2-0000085	#D57533	chr13
haplotype2-0000086	#808080	chr21
haplotype2-0000087	#808080	chr21
haplotype2-0000088	#E6B847	chr15
haplotype2-0000089	#E6C47F	chr22
haplotype2-0000090	#808080	chr21
haplotype2-0000091	#808080	chr21
haplotype2-0000092	#E6C47F	chr22
haplotype2-0000093	#D57533	chr13
haplotype2-0000094	#737373	chr14
haplotype2-0000095	#737373	chr14
haplotype2-0000096	#9467BD	chrX
haplotype2-0000097	#CC79A7	chr4
haplotype2-0000098	#D57533	chr13
haplotype2-0000099	#9467BD	chrX
haplotype2-0000100	#CC79A7	chr4
haplotype2-0000101	#338CC2	chr19
haplotype2-0000102	#666666	chr7
haplotype2-0000103	#CC79A7	chr4
haplotype2-0000104	#CC79A7	chr4
haplotype2-0000105	#CC79A7	chr4
haplotype2-0000106	#808080	chr21
haplotype2-0000107	#D57533	chr13
haplotype2-0000108	#D57533	chr13
haplotype2-0000109	#D57533	chr13
haplotype2-0000110	#CC79A7	chr4
haplotype2-0000111	#E6B847	chr15
haplotype2-0000112	#CC79A7	chr4
haplotype2-0000113	#E69F00	chr1
haplotype2-0000114	#00B28C	chr17
haplotype2-0000115	#00B28C	chr17
haplotype2-0000116	#CC79A7	chr4
haplotype2-0000117	#808080	chr21
unassigned-0000118	#666666	chr7
unassigned-0000119	#666666	chr7
unassigned-0000120	#808080	chr21
unassigned-0000121	#808080	chr21
unassigned-0000122	#808080	chr21
unassigned-0000123	#CC79A7	chr4
unassigned-0000124	#D57533	chr13
unassigned-0000125	#D57533	chr13
unassigned-0000126	#D57533	chr13
unassigned-0000127	#338CC2	chr19
unassigned-0000128	#00B28C	chr17
unassigned-0000129	#E6B847	chr15
unassigned-0000130	#E6C47F	chr22
unassigned-0000132	#338CC2	chr19
unassigned-0000133	#338CC2	chr19
unassigned-0000134	#338CC2	chr19
unassigned-0000135	#338CC2	chr19
unassigned-0000136	#666666	chr7
unassigned-0000137	#00B28C	chr17
unassigned-0000138	#00B28C	chr17
unassigned-0000139	#D57533	chr13
unassigned-0000140	#808080	chr21
unassigned-0000142	#E6C47F	chr22
unassigned-0000143	#00B28C	chr17
unassigned-0000144	#D57533	chr13
unassigned-0000145	#1A7FBA	chr12
unassigned-0000146	#D57533	chr13
unassigned-0000147	#D57533	chr13
unassigned-0000148	#D57533	chr13
unassigned-0000149	#E69F00	chr1
unassigned-0000150	#E69F00	chr1
unassigned-0000151	#D57533	chr13
unassigned-0000152	#D57533	chr13
unassigned-0000153	#338CC2	chr19
unassigned-0000155	#808080	chr21
unassigned-0000156	#808080	chr21
unassigned-0000157	#808080	chr21
unassigned-0000158	#808080	chr21
unassigned-0000159	#808080	chr21
unassigned-0000160	#808080	chr21
unassigned-0000161	#808080	chr21
unassigned-0000162	#808080	chr21
unassigned-0000163	#808080	chr21
unassigned-0000164	#808080	chr21
unassigned-0000165	#808080	chr21
unassigned-0000166	#808080	chr21
unassigned-0000167	#808080	chr21
unassigned-0000168	#808080	chr21
unassigned-0000169	#808080	chr21
unassigned-0000170	#808080	chr21
unassigned-0000171	#5699E9	chr9
unassigned-0000172	#808080	chr21
unassigned-0000173	#808080	chr21
unassigned-0000174	#808080	chr21
unassigned-0000175	#E69F00	chr1
unassigned-0000176	#666666	chr7
unassigned-0000177	#808080	chr21
unassigned-0000178	#E6B847	chr15
unassigned-0000179	#808080	chr21
unassigned-0000180	#D55E00	chr6
unassigned-0000181	#808080	chr21
unassigned-0000182	#666666	chr7
unassigned-0000183	#E69F00	chr1
