File name::assembly/qc/phased_verkko/TUE_02_05UL_01DX/T2T_contigs.unphased.paf, l.n::350
haplotype1-0000001	136578252	7723	136572253	+	chr10	134758134	3895	134755004
haplotype1-0000002	52705463	4793	52700824	-	chrY	62460029	5649	62453933
haplotype1-0000003	159252968	3435	159248090	+	chr7	160567428	3826	160565222
haplotype1-0000004	92812042	4486	92806510	-	chr16	96330374	3917	96327761
haplotype1-0000005	242615910	6035	242607594	+	chr2	242696752	3355	242693058
haplotype1-0000006	136531055	15	136525862	+	chr11	135127769	16877	135125193
haplotype1-0000008	79363640	3186	79358511	-	chr18	80542538	164380	80539358
haplotype1-0000009	183804679	75159	183802198	-	chr5	182045439	3403	181966202
haplotype1-0000010	191773193	6371	191736771	+	chr4	193574945	3254	193499924
haplotype1-0000011	200813058	5838	200805310	-	chr3	201105948	3117	201100860
haplotype1-0000012	64996559	5440	64991656	+	chr20	66210255	2711	66205788
haplotype1-0000013	61709935	5738	61704150	-	chr19	61707364	3375	61703590
haplotype1-0000014	145725381	145516	145725001	+	chr8	146259331	2068	146250208
haplotype1-0000016	133649295	8741	133643969	-	chr12	133324548	3407	133322219
haplotype1-0000017	84239037	4388	84231202	+	chr17	84276897	2214	84272750
haplotype1-0000018	136366886	4356	136361902	-	chr9	150617247	3677	150500186
haplotype1-0000019	102122453	7010	101435132	-	chr14	101161492	841094	101159045
haplotype1-0000020	101030439	7641	101024100	-	chr15	99753195	6432	99748914
haplotype1-0000022	172882619	105703	172877106	+	chr6	172126628	2882	172123886
haplotype1-0000023	247186786	22914	247171884	-	chr1	248387328	6457	248384213
haplotype2-0000027	136481473	8497	136447461	+	chr10	134758134	3895	134656311
haplotype2-0000028	154305515	5205	154295543	+	chrX	154259566	1815	154255197
haplotype2-0000029	159954413	4332	159947993	+	chr7	160567428	3374	160564029
haplotype2-0000030	92121966	5272	91911652	-	chr16	96330374	25639	96327790
haplotype2-0000031	242842949	5219	242836345	+	chr2	242696752	3355	242693051
haplotype2-0000032	137902035	6060	137895894	+	chr11	135127769	1840	135125239
haplotype2-0000034	80115607	4542	80110083	-	chr18	80542538	164922	80538991
haplotype2-0000035	182047855	3201	182041362	-	chr5	182045439	2287	182044180
haplotype2-0000036	192036694	8590	192000056	+	chr4	193574945	3263	193490696
haplotype2-0000037	200626608	6103	200617668	-	chr3	201105948	3126	201101343
haplotype2-0000038	138023368	124331	138017909	-	chr9	150617247	3570	150576373
haplotype2-0000039	62446192	7249	62441347	-	chr19	61707364	2061	61703624
haplotype2-0000040	145924480	147342	145918699	+	chr8	146259331	2068	146253993
haplotype2-0000042	65604552	5748	65600594	-	chr20	66210255	2724	66205814
haplotype2-0000043	133725758	5652	133720064	-	chr12	133324548	4043	133322282
haplotype2-0000044	83971485	5656	83967129	+	chr17	84276897	2214	84274189
haplotype2-0000046	94739868	133885	94730943	+	chr15	99753195	4692068	99748717
haplotype2-0000048	172013773	104403	172004931	+	chr6	172126628	2882	172122275
haplotype2-0000049	244895822	5100	244887216	-	chr1	248387328	3255	248384138
