asm_name	haplotype	MMC	MSC	asm_covered	candidate_inversions_at_contig_ends	candidate_inversions_in_the_middle	genome_completeness	inter-chromosomal_misjoins	intra-chromosomal_gaps	length	n_T2T	n_contigs	n_contigs_over_10mb	qv	ref_covered	total_gaps	total_n_count
T2T00	haplotype1	0.18	0.05	0.97	0	4	94.62	2	9	2926888795	39	44	23	64.2	0.9	29	694539
T2T00	haplotype2	0.23	0.02	0.97	2	1	98.39	1	8	3038358603	37	73	23	63.5	0.93	43	965836
T2T00	both	NA	NA	0.97	2	5	NA	3	17	6012131472	77	690	46	63.83	0.96	72	1660375
T2T00_1	haplotype1	0.3	0.06	0.97	2	1	94.16	1	12	2894940648	33	76	22	33.18	0.89	31	1109518
T2T00_1	haplotype2	0.1	0.01	0.97	2	2	98.82	1	9	3078475541	39	114	23	33.11	0.95	25	989480
T2T00_1	both	NA	NA	0.97	4	3	NA	2	21	6039149214	73	904	45	33.14	0.96	56	2098998
T2T00_2	haplotype1	0.24	0.03	0.97	0	3	96.61	0	10	3093835391	15	576	33	33.06	0.93	206	6873567
T2T00_2	haplotype2	0.26	0.03	0.97	1	0	96.86	1	14	3039028738	13	538	31	33.12	0.93	185	5717505
T2T00_2	both	NA	NA	0.97	1	3	NA	1	24	6340623632	29	3953	64	33.09	0.95	391	12591072
T2T01	haplotype1	0.23	0.01	0.98	0	2	98.57	2	8	3012154039	35	47	23	33.33	0.94	11	539000
T2T01	haplotype2	0.22	0.01	0.98	0	3	98.58	1	8	3020126942	35	64	23	33.42	0.94	21	843414
T2T01	both	NA	NA	0.98	0	5	NA	3	16	6098900266	0	751	46	33.37	0.95	32	1382414
T2T02	haplotype1	0.22	0.05	0.97	0	4	94.66	0	10	2927819193	33	95	25	33.17	0.9	18	1054000
T2T02	haplotype2	0.21	0.02	0.97	0	1	98.33	1	9	3036544838	35	138	24	33.42	0.94	39	1626187
T2T02	both	NA	NA	0.97	0	5	NA	1	19	6055043319	69	1163	49	33.29	0.96	57	2680187
T2T03	haplotype1	0.22	0.01	0.97	2	1	98.5	3	9	3020006413	37	35	22	33.25	0.93	8	134500
T2T03	haplotype2	0.22	0.02	0.97	2	0	98.42	1	11	3033495871	39	88	23	33.42	0.94	9	302396
T2T03	both	NA	NA	0.97	4	1	NA	4	20	6129536875	77	627	45	33.34	0.95	18	484174
T2T04	haplotype1	0.18	0.05	0.96	0	2	94.61	0	7	2927884430	33	67	24	33.28	0.9	24	1342716
T2T04	haplotype2	0.19	0.01	0.97	2	2	98.54	0	7	3024269354	33	55	25	33.25	0.94	22	613945
T2T04	both	NA	NA	0.97	2	4	NA	0	14	6048398635	67	938	49	33.26	0.96	46	1956661
T2T04_1	haplotype1	0.17	0.05	0.97	0	1	94.53	1	6	2923328753	33	99	25	33.28	0.9	41	1119960
T2T04_1	haplotype2	0.18	0.02	0.97	0	1	98.35	2	10	3059576999	35	127	24	33.29	0.94	41	1803760
T2T04_1	both	NA	NA	0.97	0	2	NA	3	16	6056284082	69	1050	49	33.29	0.96	82	2923720
T2T04_2	haplotype1	0.22	0.02	0.97	2	0	98.36	1	8	3042132968	27	198	25	33.22	0.94	57	2080503
T2T04_2	haplotype2	0.24	0.02	0.97	3	1	98.21	0	8	3028606142	27	124	27	33.31	0.94	51	2498094
T2T04_2	both	NA	NA	0.97	5	1	NA	1	16	6177272676	55	1551	52	33.27	0.95	108	4578597
T2T05	haplotype1	0.17	0.05	0.97	0	3	94.84	0	6	2907686692	37	37	23	33.37	0.9	11	533720
T2T05	haplotype2	0.2	0.01	0.98	2	2	98.6	1	6	3029816263	41	50	23	33.48	0.94	10	431665
T2T05	both	NA	NA	0.97	2	5	NA	1	12	6007946341	79	732	46	33.43	0.96	21	965385
T2T06	haplotype1	0.19	0.05	0.97	0	2	94.7	1	16	2905418720	37	47	23	33.25	0.9	13	575443
T2T06	haplotype2	0.2	0.02	0.98	0	1	98.44	0	9	3030858123	37	101	24	33.16	0.94	17	786488
T2T06	both	NA	NA	0.97	0	3	NA	1	25	6023394135	75	1085	47	33.2	0.96	30	1361931
T2T07	haplotype1	0.22	0.02	0.97	0	2	98.28	1	7	3031929679	29	116	24	32.96	0.94	40	1758627
T2T07	haplotype2	0.22	0.02	0.97	1	2	98.13	0	6	3033303663	27	146	25	32.89	0.94	47	1915818
T2T07	both	NA	NA	0.97	1	4	NA	1	13	6151382343	57	1372	49	32.92	0.95	87	3674445
T2T08	haplotype1	0.23	0.02	0.97	0	2	98.33	2	10	3019486569	39	39	23	32.82	0.93	17	384717
T2T08	haplotype2	0.24	0.01	0.97	0	2	98.51	2	9	3030233306	35	62	23	32.79	0.94	17	421761
T2T08	both	NA	NA	0.97	0	4	NA	4	19	6106382387	75	631	46	32.81	0.95	34	806478
T2T09	haplotype1	0.19	0.05	0.97	4	2	94.52	0	8	2902939078	29	84	25	32.99	0.9	33	984182
T2T09	haplotype2	0.22	0.02	0.97	1	1	98.33	0	6	3038085111	27	91	26	32.96	0.93	33	1620689
T2T09	both	NA	NA	0.97	5	3	NA	0	14	6008776184	57	910	51	32.97	0.96	67	2704871
T2T10	haplotype1	0.25	0.02	0.97	0	0	97.83	0	13	3022427736	25	160	26	33.22	0.93	75	3242639
T2T10	haplotype2	0.23	0.02	0.97	3	1	98.03	0	8	3031698927	25	178	27	33.21	0.93	88	3284897
T2T10	both	NA	NA	0.97	3	1	NA	0	21	6202961739	51	2035	53	33.22	0.94	164	6542281
T2T11	haplotype1	0.22	0.05	0.97	4	0	94.52	0	9	2908634318	27	172	25	33.38	0.89	51	1714929
T2T11	haplotype2	0.13	0.02	0.97	2	0	98.36	3	17	3092232418	31	154	24	33.13	0.95	33	1352309
T2T11	both	NA	NA	0.97	6	0	NA	3	26	6067875207	59	1166	49	33.25	0.96	84	3067238
T2T12	haplotype1	0.23	0.01	0.98	0	0	98.52	4	13	3012509690	39	37	23	33.3	0.94	6	244662
T2T12	haplotype2	0.22	0.02	0.97	0	2	98.46	1	7	3027564904	43	90	23	33.33	0.94	11	360000
T2T12	both	NA	NA	0.97	0	2	NA	5	20	6094450237	83	538	46	33.31	0.95	17	604662
T2T13	haplotype1	0.21	0.02	0.97	2	1	98.38	1	11	3026811903	37	60	24	32.68	0.94	27	914558
T2T13	haplotype2	0.23	0.02	0.97	2	2	98.29	1	11	3035761970	33	53	24	32.72	0.94	24	806389
T2T13	both	NA	NA	0.97	4	3	NA	2	22	6132410785	71	708	48	32.7	0.95	51	1720947
T2T15	haplotype1	0.22	0.02	0.98	4	0	98.35	0	8	3025620752	35	47	23	33.16	0.94	17	785312
T2T15	haplotype2	0.24	0.02	0.98	2	1	98.46	2	5	3006456242	37	36	23	33.24	0.94	8	300750
T2T15	both	NA	NA	0.98	6	1	NA	2	13	6105458968	73	556	46	33.2	0.95	25	1086062
T2T16	haplotype1	0.23	0.02	0.97	0	2	98.31	1	10	3011084438	35	73	23	33.24	0.93	28	1186222
T2T16	haplotype2	0.19	0.02	0.97	0	2	98.34	1	6	3038129021	37	105	24	33.25	0.94	38	1327500
T2T16	both	NA	NA	0.97	0	4	NA	2	16	6098080956	73	731	47	33.24	0.95	66	2513722
T2T17	haplotype1	0.17	0.05	0.97	0	1	94.78	1	9	2929704668	35	60	23	33.48	0.9	17	973438
T2T17	haplotype2	0.21	0.02	0.97	0	2	98.44	1	8	3015556685	37	34	23	33.22	0.93	6	131500
T2T17	both	NA	NA	0.97	0	3	NA	2	17	6016046136	73	567	46	33.35	0.96	23	1104938
T2T18	haplotype1	0.2	0.05	0.97	0	2	94.71	0	9	2937364534	41	40	23	33.44	0.91	10	669810
T2T18	haplotype2	0.2	0.02	0.97	0	2	98.47	1	9	3031914289	41	37	23	33.23	0.94	7	330000
T2T18	both	NA	NA	0.97	0	4	NA	1	18	6032554172	83	543	46	33.34	0.97	17	999810
T2T19	haplotype1	0.16	0.05	0.97	0	3	94.68	1	7	2928088673	35	29	23	32.72	0.9	8	631944
T2T19	haplotype2	0.22	0.02	0.97	2	2	98.38	1	9	3011699430	35	32	23	32.67	0.93	7	448036
T2T19	both	NA	NA	0.97	2	5	NA	2	16	6020670442	71	520	46	32.7	0.96	15	1079980
